Date	ActualValue	ForecastValue	PreviousValue
2020.07.27	73.4	74.6	74.6
2020.07.07	74.6	80.7	80.1
2020.06.24	80.1	81.5	81.5
2020.06.05	81.5	90.3	88.8
2020.05.25	90.2	90.5	90.5
2020.05.12	90.5	95.7	95.4
2020.04.23	95.5	95.8	95.8
2020.04.07	95.8	95.1	95.2
2020.03.24	95.2	94.7	94.7
2020.03.06	94.7	94.2	94.4
2020.02.25	94.1	94.7	94.7
2020.02.07	94.7	95.9	94.7
2020.01.23	94.7	95.1	95.1
2020.01.10	95.1	93.2	95.3
2019.12.23	95.3	94.8	94.8
2019.12.06	94.8	101.5	100.4
2019.11.25	101.1	101	101
2019.11.08	101	99.5	99
2019.10.24	99	99.3	99.3
2019.10.07	99.3	101.1	99.7
2019.09.24	99.7	99.8	99.8
2019.09.06	99.8	100.9	99.5
2019.08.26	100.4	100.4	100.4
2019.08.06	100.4	98.8	103.4
2019.07.24	103.4	103.2	103.2
2019.07.05	103.2	95.5	102.1
2019.06.24	102.1	101.9	101.9
2019.06.07	101.9	94.5	101.1
2019.05.27	99.4	99.6	99.6
2019.05.13	99.6	94.7	100.5
2019.04.24	100.4	98.8	98.8
2019.04.05	98.8	100.6	98.1
2019.03.22	98.1	97.9	97.9
2019.03.07	97.9	107.3	100.6
2019.02.25	101.8	102.3	102.3
2019.02.07	102.3	111.1	102.9
2019.01.24	102.9	110.3	103
2019.01.10	103	107.5	104.9
2018.12.25	104.9	112.1	104.5
2018.12.07	104.5	116	101.6
2018.11.26	114.4	116.8	114.6
2018.11.07	114.6	117.3	116.7
2018.10.24	116.7	117.3	117.5
2018.10.05	117.5	117.1	116.1
2018.09.25	116.1	117	116.3
2018.09.07	116.3	116.9	116.9
2018.08.23	116.4	116.7	116.3
2018.08.07	116.3	116.5	116.8
2018.07.24	116.8	116.2	116.1
2018.07.06	116.1	116.4	117.5
2018.06.25	117.5	115.7	117.7
2018.06.07	117.7	115.6	116
2018.05.24	116.3	116.3	116.4
2018.05.09	116.4	117.5	116
2018.04.24	116.1	117.5	115.6
2018.04.06	115.6	118	114.9
2018.03.20	114.9	119.1	114
2018.03.07	114	119.5	119.7
2018.02.26	120.2	118.3	120.7
2018.02.07	120.7	118.2	117.9
2018.01.24	117.9	117.1	118.1
2018.01.11	118.1	116.5	116.4
2017.12.25	116.4	116.6	116.5
2017.12.07	116.5	117	116.2
2017.11.24	116.2	117	115.8
2017.11.08	115.8	117	117.7
2017.10.23	117.7	116.9	117.6
2017.10.06	117.6	115.9	115.7
2017.09.25	115.7	116.6	115.6
2017.09.07	115.6	117.4	116.8
2017.08.24	117.1	116.7	117.2
2017.08.07	117.2	115.8	115.8
2017.07.24	115.8	116.5	115.5
2017.07.07	115.5	117.6	117.1
2017.06.26	117.1	116.2	117.7
2017.06.07	117.7	115.4	114.4
2017.05.24	114.4	115.5	114.6
2017.05.10	114.6	115.4	115.2
2017.04.24	115.3		115.5
2017.04.07	115.5		115.1
2017.03.24	115.1		114.9
2017.03.08	114.9		115.6
2017.02.23	114.8		115.2
2017.02.07	115.2		115.1
2017.01.23	115		115.1
2017.01.11	115.1		113.5
2016.12.26	113.5		113.9
2016.12.07	113.9		112.5
2016.11.24	112.7		112.1
2016.11.08	112.1		111.9
2016.10.24	112		112
2016.10.07	112		112.1
2016.09.26	112.1		112.8
2016.09.07	112.8		112.1
