Date	ActualValue	ForecastValue	PreviousValue
2022.01.31	36.7	39.1	39.1
2022.01.05	39.1	39.1	39.2
2021.12.02	39.2	38.4	39.2
2021.10.29	39.2	37.2	37.8
2021.10.01	37.8	37.0	36.7
2021.08.31	36.7	37.4	37.5
2021.08.02	37.5	35.7	37.4
2021.06.30	37.4	34.3	34.1
2021.05.31	34.1	35.3	34.7
2021.04.30	34.7	34.8	36.1
2021.04.08	36.1	31.6	33.8
2021.03.04	33.8	30.6	29.6
2021.01.29	29.6	32.6	31.8
2021.01.06	31.8	38.5	33.7
2020.12.02	33.7	29.0	33.6
2020.10.29	33.6	31.6	32.7
2020.10.02	32.7	33.8	29.3
2020.08.31	29.3	29.4	29.5
2020.07.31	29.5	32.7	28.4
2020.07.01	28.4	20.9	24.0
2020.05.29	24.0	12.8	21.6
2020.04.30	21.6	28.3	30.9
2020.04.06	30.9	38.4	38.4
2020.03.03	38.4	40.6	39.1
2020.01.29	39.1	40.8	39.1
2020.01.08	39.1	38.0	38.7
2019.11.29	38.7	35.4	36.2
2019.10.31	36.2	35.5	35.6
2019.10.02	35.6	36.9	37.1
2019.08.29	37.1	38.6	37.8
2019.07.31	37.8	39.6	38.7
2019.07.01	38.7	40.4	39.4
2019.05.31	39.4	41.2	40.4
2019.05.09	40.4	41.8	40.5
2019.04.08	40.5	42.3	41.5
2019.03.01	41.5	42.6	41.9
2019.01.30	41.9	42.8	42.7
2019.01.08	42.7	42.8	42.9
2018.11.30	42.9	43.0	43.0
2018.10.31	43.0	43.2	43.4
2018.10.02	43.4	43.4	43.3
2018.08.29	43.3	43.7	43.5
2018.07.31	43.5	44.0	43.7
2018.06.29	43.7	44.3	43.8
2018.05.30	43.8	44.5	43.6
2018.05.02	43.6	44.9	44.3
2018.04.09	44.3	44.9	44.3
2018.03.01	44.3	44.6	44.7
2018.01.31	44.7	44.7	44.7
2018.01.09	44.7	44.6	44.9
2017.12.04	44.9	44.5	44.5
2017.11.02	44.5	43.5	43.9
2017.10.03	43.9	43.9	43.3
2017.09.01	43.3	43.4	43.8
2017.08.02	43.8	42.8	43.3
2017.07.03	43.3	44.2	43.6
2017.06.02	43.6	44.2	43.2
2017.05.08	43.2	43.1	43.9
2017.04.06	43.9		43.1
2017.03.03	43.1		43.2
2017.02.02	43.2		43.1
2017.01.10	43.1		40.9
2016.12.05	40.9		42.3
2016.11.02	42.3		43.0
2016.10.04	43.0		42.0
2016.09.02	42.0		41.3
2016.08.02	41.3		41.8
2016.07.01	41.8		40.9
2016.06.02	40.9		40.8
2016.05.09	40.8		41.7
2016.04.08	41.7		40.1
2016.03.08	40.1		42.5
2016.02.03	42.5		42.7
2016.01.12	42.7		42.6
2015.12.04	42.6		41.5
2015.11.04	41.5		40.6
2015.10.13	40.6		41.7
2015.09.09	41.7		40.3
2015.08.10	40.3		41.7
2015.07.10	41.7		41.4
2015.06.09	41.4		41.5
2015.05.15	41.5		41.7
2015.04.17	41.7		40.7
2015.03.12	40.7		39.1
2015.02.09	39.1		38.8
2015.01.19	38.8		37.7
2014.12.10	37.7		38.9
2014.11.11	38.9		39.9
2014.10.10	39.9		41.2
2014.09.09	41.2		41.5
2014.08.11	41.5		41.1
2014.07.10	41.1		39.3
2014.06.09	39.3		37.0
2014.05.15	37.0		37.5
2014.04.17	37.5		38.3
2014.03.12	38.3		40.5
2014.02.10	40.5		41.3
2014.01.17	41.3		42.5
2013.12.10	42.5		41.2
2013.11.12	41.2		45.4
2013.10.10	45.4		43.0
2013.09.09	43.0		43.6
2013.08.09	43.6		44.3
2013.07.10	44.3		45.7
2013.06.10	45.7		44.5
2013.05.15	44.5		44.8
2013.04.17	44.8		44.3
2013.03.12	44.3		43.3
2013.02.12	43.3		39.2
2013.01.16	39.2		39.4
2012.12.10	39.4		39.7
2012.11.09	39.7		40.1
2012.10.11	40.1		40.5
2012.09.10	40.5		39.7
2012.08.09	39.7		40.4
2012.07.10	40.4		40.7
2012.06.11	40.7		40.0
2012.05.15	40.0		40.3
2012.04.17	40.3		39.5
2012.03.12	39.5		40.0
2012.02.09	40.0		38.9
2012.01.16	38.9		38.1
2011.12.12	38.1		38.6
2011.11.10	38.6		38.6
2011.10.11	38.6		37.0
2011.09.09	37.0		37.0
2011.08.09	37.0		35.3
2011.07.11	35.3		34.2
2011.06.09	34.2		33.1
2011.05.16	33.1		38.6
2011.04.19	38.6		40.6
2011.03.14	40.6		41.1
2011.02.09	41.1		40.1
2011.01.17	40.1		40.4
2010.12.10	40.4		41.1
2010.11.10	40.9		41.4
2010.10.12	41.2		42.4
2010.09.09	42.4		43.3
2010.08.12	43.3		43.6
2010.07.13	43.5		42.7
2010.06.10	42.7		42.4
2010.05.18	42.1		41.0
2010.04.19	41.0		40.0
2010.03.15	40.0		37.9
2010.01.19	37.9		39.9
2009.12.11	39.9		40.8
2009.11.13	40.8		40.4
2009.09.11	40.4		39.7
2009.08.11	39.7		38.1
2009.07.13	38.1		36.3
2009.06.12	36.3		33.2
2009.05.18	33.2		29.6
2009.04.17	29.6		27.6
2009.03.13	27.6		27.0
2009.02.10	27.0		26.7
2009.01.20	26.7		28.7
2008.12.12	28.7		29.8
2008.11.12	29.8		31.8
2008.10.14	31.8		30.5
2008.09.16	30.5		31.6
2008.08.12	31.6		32.9
2008.07.11	32.9		33.9
2008.06.13	33.9		35.4
2008.05.15	35.4		37.0
2008.04.18	37.0		36.4
2008.03.12	36.4		37.9
2008.02.13	37.9		38.3
2008.01.14	38.3		40.0
2007.12.14	40.0		44.1
2007.10.12	44.1		44.1
2007.09.13	44.1		45.2
2007.07.11	45.2		47.4
2007.06.12	47.4		47.4
2007.05.16	47.4		47.2
2007.04.17	46.8		48.4
2007.03.12	48.4		48.4
2007.02.13	48.4		
