Date	ActualValue	ForecastValue	PreviousValue
2020.07.08	38.8	21.1	15.5
2020.06.08	15.5	10.7	7.9
2020.05.13	7.9	4.2	14.2
2020.04.08	14.2	27.6	27.4
2020.03.09	27.4	44.6	41.9
2020.02.10	41.9	40.5	39.7
2020.01.14	39.8	36.9	39.4
2019.12.09	39.4	39.3	36.7
2019.11.11	36.7	47.1	46.7
2019.10.08	46.7	42.4	42.8
2019.09.09	42.8	43.5	41.2
2019.08.08	41.2	44.8	44
2019.07.08	44	45	44.1
2019.06.10	44.1	45.7	45.3
2019.05.14	45.3	46.7	44.8
2019.04.08	44.8	46.7	47.5
2019.03.08	47.5	46.9	45.6
2019.02.08	45.6	49.6	48
2019.01.11	48	50.4	51
2018.12.10	51	49.2	49.5
2018.11.08	49.5	50.4	48.6
2018.10.09	48.6	48.7	48.7
2018.09.10	48.7	46.7	46.6
2018.08.08	46.6	49.8	48.1
2018.07.09	48.1	49.1	47.1
2018.06.08	47.1	48.5	49
2018.05.10	49	47.3	48.9
2018.04.09	48.9	48.9	48.6
2018.03.08	48.6	52.7	49.9
2018.02.08	49.9	55.2	53.9
2018.01.12	53.9	55.5	54.1
2017.12.08	55.1	52.1	52.2
2017.11.09	52.2	49.3	51.3
2017.10.10	51.3	49.2	49.7
2017.09.08	49.7	50.4	49.7
2017.08.08	49.7	50.8	50
2017.07.10	50	50.3	48.6
2017.06.08	48.6		48.1
2017.05.11	48.1		47.4
2017.04.10	47.4		48.6
2017.03.08	48.6		49.8
2017.02.08	49.8		51.4
2017.01.12	51.4		48.6
2016.12.08	48.6		46.2
2016.11.09	46.2		44.8
2016.10.11	44.8		45.6
2016.09.08	45.6		45.1
2016.08.08	45.1		41.2
2016.07.08	41.2		43
2016.06.08	43		43.5
2016.05.12	43.5		45.4
2016.04.08	45.4		44.6
2016.03.08	44.6		46.6
2016.02.08	46.6		48.7
2016.01.12	48.7		46.1
2015.12.08	46.1		48.2
2015.11.10	48.2		47.5
2015.10.08	47.5		49.3
2015.09.08	49.3		51.6
2015.08.10	51.6		51
2015.07.08	51		53.3
2015.06.08	53.3		53.6
2015.05.13	53.6		52.2
2015.04.08	52.2		50.1
2015.03.09	50.1		45.6
2015.02.09	45.6		45.2
2015.01.13	45.2		41.5
2014.12.08	41.5		44
2014.11.11	44		47.4
2014.10.08	47.4		47.4
2014.09.08	47.4		51.3
2014.08.08	51.3		47.7
2014.07.08	47.7		45.1
2014.06.09	45.1		41.6
2014.05.12	41.6		57.9
2014.04.08	57.9		53
2014.03.10	53		54.7
2014.02.10	54.7		55.7
2014.01.14	55.7		53.5
2013.12.09	53.5		51.8
2013.11.11	51.8		52.8
2013.10.08	52.8		51.2
2013.09.09	51.2		52.3
2013.08.08	52.3		53
2013.07.08	53		55.7
2013.06.10	55.7		56.5
2013.05.10	56.5		57.3
2013.04.08	57.3		53.2
2013.03.08	53.2		49.5
2013.02.08	49.5		45.8
2013.01.11	45.8		40
2012.12.10	40		39
2012.11.08	39		41.2
2012.10.09	41.2		43.6
2012.09.10	43.6		44.2
2012.08.08	44.2		43.8
2012.07.09	43.8		47.2
2012.06.08	47.2		50.9
2012.05.10	50.9		51.8
2012.04.09	51.8		45.9
2012.03.08	45.9		44.1
2012.02.08	44.1		47
2012.01.12	47		45
2011.12.08	45		45.9
2011.11.09	45.9		45.3
2011.10.11	45.3		47.3
2011.09.08	47.3		52.6
2011.08.08	52.6		49.6
2011.07.08	49.6		36
2011.06.08	36		28.3
2011.05.12	28.3		27.7
2011.04.08	27.7		48.4
2011.03.08	48.4		44.3
2011.02.08	44.3		45.1
2011.01.12	45.1		43.6
2010.12.08	43.6		40.2
2010.11.09	40.2		41.2
2010.10.08	41.2		45.1
2010.09.08	45.1		49.8
2010.08.09	49.8		47.5
2010.07.08	47.5		47.7
2010.06.08	47.7		49.8
2010.05.13	49.8		47.4
2010.04.08	47.4		42.1
2010.03.08	42.1		38.8
2010.02.08	38.8		35.4
2010.01.12	35.4		33.9
2009.12.08	33.9		40.9
2009.11.10	40.9		43.1
2009.10.08	43.1		41.7
2009.09.08	41.7		42.4
2009.08.10	42.4		42.2
2009.07.08	42.2		36.7
2009.06.08	36.7		34.2
2009.05.13	34.2		28.4
2009.04.08	28.4		19.4
2009.03.09	19.4		17.1
2009.02.09	17.1		15.9
2009.01.09	15.9		21
2008.12.08	21		22.6
2008.11.11	22.6		28
2008.10.08	28		28.3
2008.09.08	28.3		32.1
2008.07.08	32.1		35.1
2008.06.10	35.1		
