Date	ActualValue	ForecastValue	PreviousValue
2020.06.08	36.5	9.5	16.6
2020.05.13	16.6	15.2	18.8
2020.04.08	18.8	38.1	24.6
2020.03.09	24.6	45.7	41.8
2020.02.10	41.8	47.1	45.5
2020.01.14	45.4	44.7	45.7
2019.12.09	45.7	40.5	43.7
2019.11.11	43.7	41.3	36.9
2019.10.08	36.9	44.2	39.7
2019.09.09	39.7	45.2	44.3
2019.08.08	44.3	46.9	45.8
2019.07.08	45.8	48.3	45.6
2019.06.10	45.6	49.5	48.4
2019.05.14	48.4	49.4	48.6
2019.04.08	48.6	49.3	48.9
2019.03.08	48.9	49.7	49.4
2019.02.08	49.4	50.3	48.5
2019.01.11	48.5	51.6	52.2
2018.12.10	52.2	51	50.6
2018.11.08	50.6	51.2	51.3
2018.10.09	51.3	50.6	51.4
2018.09.10	51.4	50.5	49
2018.08.08	49	51	50
2018.07.09	50	50.3	49.2
2018.06.08	49.2	49.9	50.1
2018.05.10	50.1	50	49.6
2018.04.09	49.6	51.5	51.4
2018.03.08	51.4	52.8	52.4
2018.02.08	52.4	53.5	52.7
2018.01.12	52.7	53.7	53.4
2017.12.08	53.8	52.6	54.9
2017.11.09	54.9	51.3	51
2017.10.10	51	51.5	51.1
2017.09.08	51.1	51.5	50.3
2017.08.08	50.3	50.8	50.5
2017.07.10	50.5	49.3	49.6
2017.06.08	49.6		48.8
2017.05.11	48.8		48.1
2017.04.10	48.1		50.6
2017.03.08	50.6		49.4
2017.02.08	49.4		50.9
2017.01.12	50.9		49.1
2016.12.08	49.1		49
2016.11.09	49		48.5
2016.10.11	48.5		47.4
2016.09.08	47.4		47.1
2016.08.08	47.1		41.5
2016.07.08	41.5		47.3
2016.06.08	47.3		45.5
2016.05.12	45.5		46.7
2016.04.08	46.7		48.2
2016.03.08	48.2		49.5
2016.02.08	49.5		48.2
2016.01.12	48.2		48.2
2015.12.08	48.2		49.1
2015.11.10	49.1		49.1
2015.10.08	49.1		48.2
2015.09.08	48.2		51.9
2015.08.10	51.9		53.5
2015.07.08	53.5		54.5
2015.06.08	54.5		54.2
2015.05.13	54.2		53.4
2015.04.08	53.4		53.2
2015.03.09	53.2		50
2015.02.09	50		46.7
2015.01.13	46.7		44
2014.12.08	44		46.6
2014.11.11	46.6		48.7
2014.10.08	48.7		50.4
2014.09.08	50.4		51.5
2014.08.08	51.5		53.3
2014.07.08	53.3		53.8
2014.06.08	53.8		50.3
2014.05.12	50.3		34.7
2014.04.08	34.7		40
2014.03.10	40		49
2014.02.10	49		54.7
2014.01.14	54.7		54.8
2013.12.09	54.8		54.5
2013.11.11	54.5		54.2
2013.10.08	54.2		51.2
2013.09.09	51.2		53.6
2013.08.08	53.6		53.6
2013.07.08	53.6		56.2
2013.06.10	56.2		57.8
2013.05.10	57.8		57.5
2013.04.08	57.5		57.7
2013.03.08	57.7		56.5
2013.02.08	56.5		51
2013.01.11	51		41.9
2012.12.10	41.9		41.7
2012.11.08	41.7		43.5
2012.10.09	43.5		43.6
2012.09.10	43.6		44.9
2012.08.08	44.9		45.7
2012.07.09	45.7		48.1
2012.06.08	48.1		50.9
2012.05.10	50.9		49.7
2012.04.09	49.3		50.1
2012.03.08	50.1		47.1
2012.02.08	47.1		44.4
2012.01.12	44.4		44.7
2011.12.08	44.7		45.9
2011.11.09	45.9		46.4
2011.10.11	46.4		47.1
2011.09.08	47.1		48.5
2011.08.08	48.5		49
2011.07.08	49		44.9
2011.06.08	44.9		38.4
2011.05.12	38.4		47.2
2011.03.08	47.2		47.2
2011.02.08	47.2		43.9
2011.01.12	43.9		41.4
2010.12.08	41.4		41.4
2010.10.08	41.1		40
2010.09.08	40		46.6
2010.08.09	46.6		48.3
2010.07.08	48.3		49.9
2010.06.08	48.7		49.9
2010.05.13	49.9		47
2010.04.08	47		44.8
2010.03.08	44.8		41.9
2010.02.08	41.9		36.3
2010.01.12	36.3		34.5
2009.12.08	34.5		42.8
2009.11.10	42.8		44.5
2009.10.08	44.5		44
2009.09.08	44		44.9
2009.08.10	44.9		45.6
2009.07.08	45.6		43.3
2009.06.08	43.3		39.7
2009.05.13	39.7		35.8
2009.04.08	35.8		26.5
2009.03.09	26.5		22.1
2009.02.09	22.1		17.6
2009.01.09	17.6		24.7
2008.12.08	24.7		25.2
2008.11.11	25.2		32.1
2008.10.08	32.1		32
2008.09.10	32		29.5
2008.07.08	29.5		32.1
2008.06.10	32.1		
