Date	ActualValue	ForecastValue	PreviousValue
2020.06.07	-0.6	-0.9	-0.9
2020.05.17	-0.9	-0.4	-1.9
2020.03.08	-1.8	-1.6	-1.6
2020.02.16	-1.6	-0.1	0.1
2019.12.08	0.4	0.1	0.1
2019.11.13	0.1	0.3	0.4
2019.09.08	0.3	0.4	0.4
2019.08.08	0.4	0.4	0.7
2019.06.09	0.6	0.5	0.5
2019.05.19	0.5	0.0	0.4
2019.03.07	0.5	0.3	0.3
2019.02.13	0.3	-0.5	-0.7
2018.12.09	-0.6	0.3	-0.3
2018.11.13	-0.3	0.1	0.8
2018.09.09	0.7	0.1	0.5
2018.08.09	0.5	0.1	-0.2
2018.06.07	-0.2	0.0	-0.2
2018.05.15	-0.2	0.0	0.1
2018.03.07	0.4	0.0	0.1
2018.02.13	0.1	0.0	0.6
2017.12.07	0.6	0.0	0.3
2017.11.14	0.3	0.0	0.6
2017.09.07	0.6	0.0	1.0
2017.08.13	1.0	0.1	0.4
2017.06.07	0.3	0.1	0.5
2017.05.17	0.5	0.1	0.3
2017.03.07	0.3		0.2
2017.02.12	0.2		0.3
2016.12.07	0.3		0.5
2016.11.13	0.5		0.2
2016.09.07	0.2		0.0
2016.08.14	0.0		0.5
2016.06.07	0.5		0.4
2016.05.17	0.4		-0.3
2016.03.07	-0.3		-0.4
2016.02.14	-0.4		0.3
2015.12.07	0.3		-0.2
2015.11.15	-0.2		-0.2
2015.09.07	-0.3		-0.4
2015.08.16	-0.4		1.0
2015.06.07	1.0		0.6
2015.05.19	0.6		0.4
2015.03.08	0.4		0.6
2015.02.15	0.6		-0.5
2014.12.07	-0.6		-0.4
2014.11.16	-0.4		-1.8
2014.09.07	-1.9		-1.7
2014.08.12	1.5		1.6
2014.06.08	1.5		1.5
2014.05.14	1.5		0.1
2014.03.09	0.2		0.3
2014.02.16	0.3		0.3
2013.12.08	0.3		0.5
2013.11.13	0.5		0.5
2013.09.08	0.5		0.6
2013.08.11	0.6		1.0
2013.06.09	1.0		0.9
2013.05.15	0.9		0.0
2013.03.07	0.3		-0.1
2013.02.13	-0.1		-0.9
2012.12.09	-1.0		-0.9
2012.11.11	-0.9		0.2
2012.09.09	0.1		0.3
2012.08.12	0.3		1.2
2012.06.07	1.2		0.0
2012.05.16	1.0		-0.2
2012.03.07	1.0		-0.6
2012.02.12	-0.6		-0.6
2011.12.08	-0.6		-0.5
2011.11.13	1.5		1.5
2011.09.08	1.5		-0.9
2011.08.14	-0.3		-0.3
2011.06.08	-0.3		-0.3
2011.05.18	-0.9		-0.3
2011.03.09	-0.9		-0.8
2011.02.13	-0.8		1.1
2010.12.08	1.1		0.9
2010.11.14	0.9		0.4
2010.09.09	0.4		0.1
2010.08.15	0.1		1.2
2010.06.09	1.2		1.0
2010.05.19	1.2		0.9
2010.03.10	1.2		1.1
2010.02.14	1.1		0.3
2009.12.08	0.0		0.7
2009.11.15	1.2		0.6
2009.09.10	1.2		-0.9
2009.08.16	0.9		-3.8
2009.06.10	0.9		-3.8
2009.05.19	-4.0		-3.2
2009.03.11	-4.0		-0.5
2009.02.15	-3.3		-3.3
2008.12.08	-3.3		-0.1
2008.11.16	-0.1		-0.7
2008.09.11	-0.7		-0.6
2008.08.12	-0.6		1.0
2008.06.10	1.0		0.8
2008.05.15	0.8		0.9
2008.03.11	0.9		0.9
2008.02.13	0.9		0.4
2007.12.06	0.4		0.6
2007.11.12	0.6		-0.2
2007.10.09	-0.2		-0.3
2007.09.09	-0.3		0.1
2007.08.12	0.1		0.8
2007.06.10	0.8		0.6
2007.03.11	0.6		1.2
2007.02.14	1.2		
