Date	ActualValue	ForecastValue	PreviousValue
2020.10.30	-9.9	-8.7	-9.1
2020.09.30	-9.1	-8.8	-11.3
2020.08.31	-11.4	-7.1	-12.8
2020.07.31	-12.8	-6.8	-12.3
2020.06.30	-12.3	-6.5	-12.9
2020.05.29	-12.9	-7.9	-7.6
2020.04.30	-7.6	-9.4	-12.3
2020.03.31	-12.3	-7.0	-10.1
2020.02.28	-10.1	-8.5	-7.9
2020.01.31	-7.9	-6.2	-12.7
2019.12.26	-12.7	-5.1	-7.4
2019.11.29	-7.4	-4.0	-4.9
2019.10.31	-4.9		-7.1
2019.09.30	-7.1		-4.1
2019.08.30	-4.1		0.3
2019.07.31	0.3		-8.7
2019.06.28	-8.7		-5.7
2019.05.31	-5.7		10.0
2019.04.26	10.0		4.2
2019.03.29	4.2		1.1
2019.02.28	1.1		2.1
2019.01.31	2.1		-0.6
2018.12.27	-0.6		0.3
2018.11.30	0.3		-1.5
2018.10.31	-1.5		1.6
2018.09.28	1.6		-0.7
2018.08.31	-0.7		-7.1
2018.07.31	-7.1		1.3
2018.06.29	1.3		0.3
2018.05.31	0.3		-8.3
2018.04.27	-8.3		-2.6
2018.03.30	-2.6		-13.2
2018.02.28	-13.2		-2.1
2018.01.31	-2.1		-0.4
2017.12.27	-0.4		-4.8
2017.11.30	-4.8		-2.9
2017.10.31	-2.9		-2.0
2017.09.29	-2.0		-2.3
2017.08.31	-2.3		1.7
2017.07.31	1.7		-0.3
2017.06.30	-0.3		1.9
2017.05.31	1.9		0.2
2017.04.28	0.2		-2.6
2017.03.31	-2.6		12.8
2017.02.28	12.8		3.9
2017.01.31	3.9		6.7
2016.12.27	6.7		13.7
2016.11.30	13.7		10.0
2016.10.31	10.0		2.5
2016.09.30	2.5		8.9
2016.08.31	8.9		-2.5
2016.07.29	-2.5		9.8
2016.06.30	9.8		9.0
2016.05.31	9.0		8.4
2016.04.28	8.4		7.8
2016.03.31	7.8		0.2
2016.02.29	0.2		-1.3
2016.01.29	-1.3		1.7
2015.12.25	1.7		-2.5
2015.11.30	-2.5		2.6
2015.10.30	2.6		8.8
2015.09.30	8.8		7.4
2015.08.31	7.4		16.3
2015.07.31	16.3		5.8
2015.06.30	5.8		0.4
2015.05.29	0.4		0.7
2015.04.30	0.7		-3.1
2015.03.31	-3.1		-13.0
2015.02.27	-13.0		-14.7
2015.01.30	-14.7		-14.3
2014.12.25	-14.3		-12.3
2014.11.28	-12.3		-14.3
2014.10.31	-14.3		-12.5
2014.09.30	-12.5		-14.1
2014.08.29	-14.1		-9.5
2014.07.31	-9.5		-15.0
2014.06.30	-15.0		-3.3
2014.05.30	-3.3		-2.9
2014.04.30	-2.9		1.0
2014.03.31	1.0		12.3
2014.02.28	12.3		18.0
2014.01.31	18.0		14.1
2013.12.26	14.1		7.1
2013.11.29	7.1		19.4
2013.10.31	19.4		8.8
2013.09.30	8.8		12.0
2013.08.30	12.0		15.3
2013.07.31	15.3		14.5
2013.06.28	14.5		5.8
2013.05.31	5.8		7.3
2013.04.30	7.3		3.0
2013.03.29	3.0		5.0
2013.02.28	5.0		10.0
2013.01.31	10.0		10.3
2012.12.27	10.3		25.2
2012.11.30	25.2		15.5
2012.10.31	15.5		-5.5
2012.09.28	-5.5		-9.6
2012.08.31	-9.6		-0.2
2012.07.31	-0.2		9.3
2012.06.29	9.3		10.3
2012.05.31	10.3		5.0
2012.04.27	5.0		7.5
2012.03.30	7.5		-1.1
2012.02.29	-1.1		-7.3
2012.01.31	-7.3		-0.3
2011.12.27	-0.3		-5.8
2011.11.30	-5.8		-10.8
2011.10.31	-10.8		14.0
2011.09.30	14.0		21.2
2011.08.31	21.2		5.8
2011.07.29	5.8		6.4
2011.06.30	6.4		0.3
2011.05.31	0.3		-2.4
2011.04.28	-2.4		10.1
2011.03.31	10.1		2.7
2011.02.28	2.7		7.5
2011.01.31	7.5		6.8
2010.12.27	6.8		6.4
2010.11.30	6.4		17.7
2010.10.29	17.7		20.5
2010.09.30	20.5		4.3
2010.08.31	4.3		0.6
2010.07.30	0.6		-4.6
2010.06.30	-4.6		0.6
2010.05.31	0.6		-2.4
2010.04.30	-2.4		-9.3
2010.03.31	-9.3		-8.1
2010.02.26	-8.1		-15.7
2010.01.29	-15.7		-19.1
2009.12.25	-19.1		-27.1
2009.11.30	-27.1		-37.0
2009.10.30	-37.0		-38.3
2009.09.30	-38.3		-32.1
2009.08.31	-32.1		-32.4
2009.07.31	-32.4		-30.8
2009.06.30	-30.8		-32.4
2009.05.29	-32.4		-20.7
2009.04.30	-20.7		-24.9
2009.03.31	-24.9		-18.7
2009.02.27	-18.7		-5.8
2009.01.30	-5.8		0.0
2008.12.25	0.0		19.8
2008.11.28	19.8		54.2
2008.10.31	54.2		53.6
2008.09.30	53.6		19.0
2008.08.29	19.0		-16.7
2008.07.31	-16.7		-6.5
2008.06.30	-6.5		-8.7
2008.05.30	-8.7		-15.6
2008.04.30	-15.6		-5.0
2008.03.31	-5.0		-5.7
2008.02.29	-5.7		
