Date	ActualValue	ForecastValue	PreviousValue
2020.10.14	-13.8	-13.3	-13.3
2020.09.29	-13.3	-10.0	-15.5
2020.09.14	-15.5	-16.1	-16.1
2020.08.30	-16.1	-15.7	-18.2
2020.08.17	-18.2	-17.7	-17.7
2020.07.30	-17.7	-21.0	-26.3
2020.07.14	-26.3	-25.9	-25.9
2020.06.29	-25.9	-11.3	-15.0
2020.06.12	-15.0	-14.4	-14.4
2020.05.28	-14.4	-7.9	-5.2
2020.05.19	-5.2	-5.2	-5.2
2020.04.29	-5.2	0.2	-5.7
2020.04.17	-5.7	-4.7	-4.7
2020.03.30	-4.7	-5.5	-2.3
2020.03.17	-2.3	-2.5	-2.5
2020.02.27	-2.5	-9.5	-3.1
2020.02.17	-3.1	-3.0	-3.0
2020.01.30	-3.0	-2.4	-8.2
2020.01.20	-8.2	-8.1	-8.1
2019.12.26	-8.1	0.9	-7.7
2019.12.13	-7.7	-7.4	-7.4
2019.11.28	-7.4	1.9	1.3
2019.11.15	1.3	1.1	1.1
2019.10.30	1.1	-4.1	-4.7
2019.10.15	-4.7	-4.7	-4.7
2019.09.29	-4.7	-1.8	0.7
2019.09.13	0.7	0.7	0.7
2019.08.29	0.7	-2.2	-3.8
2019.08.15	-3.8	-4.1	-4.1
2019.07.29	-4.1	-1.6	-2.1
2019.07.12	-2.1	-1.8	-1.8
2019.06.27	-1.8	-2.6	-1.1
2019.06.14	-1.1	-1.1	-1.1
2019.05.30	-1.1	-1.7	-4.3
2019.05.20	-4.3	-4.6	-4.6
2019.04.25	-4.6	-0.6	-1.1
2019.04.17	-1.1	-1.0	-1.0
2019.03.28	-1.0	-0.1	0.3
2019.03.18	0.3	0.0	0.0
2019.02.27	0.0	1.0	-1.9
2019.02.15	-1.9	-1.9	-1.9
2019.01.30	-1.9	-0.7	1.5
2019.01.18	1.5	0.4	1.4
2018.12.27	1.4	0.1	4.2
2018.12.14	4.2	5.2	4.2
2018.11.29	4.2	-2.4	-2.5
2018.11.14	-2.5	-2.5	-2.9
2018.10.30	-2.9	-4.4	0.2
2018.10.15	0.2	-1.4	0.6
2018.09.27	0.6	3.9	2.2
2018.09.14	2.2	3.1	2.3
2018.08.30	2.3	1.0	-0.9
2018.08.14	-0.9	-5.0	-1.2
2018.07.30	-1.2	3.4	4.2
2018.07.13	4.2	6.0	4.2
2018.06.28	4.2	1.1	2.6
2018.06.14	2.6	3.1	2.5
2018.05.30	2.5	1.9	2.4
2018.05.16	2.4	0.5	2.2
2018.04.26	2.2	4.1	1.6
2018.04.17	1.6	2.3	1.4
2018.03.29	1.4	2.4	2.5
2018.03.16	2.5	2.4	2.7
2018.02.27	2.7	2.4	4.4
2018.02.15	4.4	3.9	4.2
2018.01.30	4.2	1.9	3.6
2018.01.18	3.6	1.9	3.7
2017.12.27	3.7	6.0	5.9
2017.12.14	5.9	2.0	5.9
2017.11.29	5.9	2.2	2.6
2017.11.15	2.6	2.5	2.5
2017.10.30	2.5	2.9	5.3
2017.10.16	5.3	2.9	5.4
2017.09.28	5.4	3.0	4.7
2017.09.14	4.7	3.1	4.7
2017.08.30	4.7	3.2	5.5
2017.08.15	5.5	3.8	4.9
2017.07.30	4.9	3.6	6.5
2017.07.14	6.5	3.4	6.8
2017.06.29	6.8	3.6	5.7
2017.06.14	5.7	3.1	5.7
2017.05.30	5.7	3.4	3.5
2017.05.17	3.5	3.1	3.3
2017.04.27	3.3		4.7
2017.04.14	4.7		4.8
2017.03.30	4.8		3.7
2017.03.15	3.7		3.2
2017.02.27	3.2		3.2
2017.02.14	3.2		3.0
2017.01.30	3.0		4.6
2017.01.17	4.6		4.6
2016.12.27	4.6		-1.4
2016.12.14	-1.4		-1.3
2016.11.29	-1.3		1.5
2016.11.14	1.5		0.9
2016.10.30	0.9		4.5
2016.10.17	4.5		4.6
2016.09.29	4.6		-4.2
2016.09.14	-4.2		-3.8
2016.08.30	-3.8		-1.5
2016.08.15	-1.5		-1.9
2016.07.28	-1.9		-0.4
2016.07.13	-0.4		-0.1
2016.06.29	-0.1		-3.3
2016.06.14	-3.3		-3.5
2016.05.30	-3.5		0.2
2016.05.17	0.2		0.1
2016.04.27	0.1		-1.2
2016.04.15	-1.2		-1.5
2016.03.29	-1.5		-3.8
2016.03.15	-3.8		-3.8
2016.02.28	-3.8		-1.9
2016.02.15	-1.9		-1.6
2016.01.28	-1.6		1.7
2016.01.18	1.7		1.6
2015.12.27	1.6		-1.4
2015.12.14	-1.4		-1.4
2015.11.29	-1.4		-0.8
2015.11.13	-0.8		-0.9
2015.10.28	-0.9		-0.4
2015.10.15	-0.4		0.2
2015.09.29	0.2		0.0
2015.09.14	0.0		0.2
2015.08.30	0.2		2.3
2015.08.12	2.3		2.0
2015.07.29	2.0		-3.9
2015.07.13	-3.9		-4.0
