Date	ActualValue	ForecastValue	PreviousValue
2021.03.22	98.5	99.1	99.1
2021.03.08	99.1	94.4	97.7
2021.02.25	95.3	94.9	94.9
2021.02.05	94.9	97.9	96.1
2021.01.27	96.4	96.6	96.6
2021.01.08	96.6	94.9	94.3
2020.12.23	94.3	93.8	93.8
2020.12.07	93.8	92.7	93.3
2020.11.26	92.5	92.9	92.9
2020.11.09	92.9	88.6	88.5
2020.10.26	88.4	88.8	88.8
2020.10.07	88.8	82.7	86.7
2020.09.30	86.7	86.9	86.9
2020.09.07	86.9	84.6	83.8
2020.08.26	84.4	85.0	85.0
2020.08.07	85.0	78.8	78.3
2020.07.27	78.4	79.3	79.3
2020.07.07	79.3	73.2	77.7
2020.06.24	77.7	76.2	76.2
2020.06.05	76.2	80.5	85.1
2020.05.25	84.7	83.8	83.8
2020.05.12	83.8	91.9	91.9
2020.04.23	91.7	92.1	92.1
2020.04.07	92.1	90.4	90.5
2020.03.24	90.5	90.3	90.3
2020.03.06	90.3	91.9	91.0
2020.02.25	91.6	91.6	91.6
2020.02.07	91.6	90.8	90.8
2020.01.23	90.8	90.9	90.9
2020.01.10	90.9	90.6	91.6
2019.12.23	91.6	91.8	91.8
2019.12.06	91.8	92.0	91.9
2019.11.25	91.9	92.2	92.2
2019.11.08	92.2	91.7	91.9
2019.10.24	91.9	91.7	91.7
2019.10.07	91.7	93.6	93.7
2019.09.24	93.7	93.6	93.6
2019.09.06	93.6	93.2	93.6
2019.08.26	93.3	93.3	93.3
2019.08.06	93.3	95.0	94.9
2019.07.24	94.9	95.2	95.2
2019.07.05	95.2	95.7	95.9
2019.06.24	95.9	95.5	95.5
2019.06.07	95.5	96.1	95.7
2019.05.27	95.9	96.3	96.3
2019.05.13	96.3	97.3	97.1
2019.04.24	97.1	97.4	97.4
2019.04.05	97.4	96.2	96.5
2019.03.22	96.5	95.9	95.9
2019.03.07	95.9	97.7	97.2
2019.02.25	97.5	97.9	97.9
2019.02.07	97.9	99.2	99.1
2019.01.24	99.1	99.5	99.3
2019.01.10	99.3	100.1	99.6
2018.12.25	99.6	102.4	100.5
2018.12.07	100.5	104.1	99.6
2018.11.26	104.3	104.2	103.9
2018.11.07	103.9	104.5	104.5
2018.10.24	104.5	104.2	104.4
2018.10.05	104.4	103.7	103.9
2018.09.25	103.9	104.1	103.5
2018.09.07	103.5	105.0	104.6
2018.08.23	104.7	106.1	105.2
2018.08.07	105.2	107.0	106.9
2018.07.24	106.9	106.6	106.9
2018.07.06	106.9	106.0	106.2
2018.06.25	106.2	105.1	105.6
2018.06.07	105.6	104.8	104.5
2018.05.24	104.4	105.6	105.0
2018.05.09	105.0	106.0	105.9
2018.04.24	106.0	105.8	105.8
2018.04.06	105.8	105.3	105.6
2018.03.20	105.6	106.2	104.8
2018.03.07	104.8	107.8	106.6
2018.02.26	107.4	108.3	107.9
2018.02.07	107.9	108.6	108.2
2018.01.24	108.3	107.7	108.6
2018.01.11	108.6	106.5	106.5
2017.12.25	106.5	106.5	106.1
2017.12.07	106.1	106.7	106.5
2017.11.24	106.4	107.1	106.6
2017.11.08	106.6	107.2	107.2
2017.10.23	107.2	106.2	106.8
2017.10.06	106.8	105.3	105.2
2017.09.25	105.2	105.7	105.0
2017.09.07	105.0	106.3	105.7
2017.08.24	105.9	106.4	106.3
2017.08.07	106.3	106.3	104.7
2017.07.24	104.6	105.6	104.7
2017.07.07	104.7	106.4	104.2
2017.06.26	104.2	106.3	104.5
