Date	ActualValue	ForecastValue	PreviousValue
2020.09.23	47.3	47.3	47.2
2020.09.01	47.2	46.6	46.6
2020.08.21	46.6	47.1	45.2
2020.08.03	45.2	42.6	42.6
2020.07.22	42.6	39.6	40.1
2020.07.01	40.1	37.8	37.8
2020.06.23	37.8	36.9	38.4
2020.06.01	38.4	38.4	38.4
2020.05.21	38.4	42.2	41.9
2020.05.01	41.9	43.7	43.7
2020.04.23	43.7	44.1	44.8
2020.04.01	44.8	44.8	44.8
2020.03.24	44.8	47.6	47.8
2020.03.02	47.8	47.6	47.6
2020.02.21	47.6	49.0	48.8
2020.02.03	48.8	49.3	49.3
2020.01.24	49.3	48.7	48.4
2020.01.06	48.4	48.8	48.8
2019.12.16	48.8	48.4	48.9
2019.12.02	48.9	48.6	48.6
2019.11.22	48.6	48.7	48.4
2019.11.01	48.4	48.5	48.5
2019.10.24	48.5	48.8	48.9
2019.10.01	48.9	48.9	48.9
2019.09.24	48.9	49.8	49.3
2019.09.02	49.3	49.5	49.5
2019.08.22	49.5	49.5	49.4
2019.08.01	49.4	49.6	49.6
2019.07.24	49.6	49.7	49.3
2019.07.01	49.3	49.5	49.5
2019.06.21	49.5	50.1	49.8
2019.06.03	49.8	49.6	49.6
2019.05.23	49.6	49.8	50.2
2019.05.07	50.2	49.5	49.5
2019.04.18	49.5	49.0	49.2
2019.04.01	49.2	48.9	48.9
2019.03.22	48.9	49.1	48.9
2019.03.01	48.9	48.5	48.5
2019.02.21	48.5	49.5	50.3
2019.02.01	50.3	50.0	50.0
2019.01.24	50.0	52.1	52.6
2019.01.04	52.6	51.9	52.4
2018.12.14	52.4	52.0	52.2
2018.12.03	52.2	52.1	51.8
2018.11.26	51.8	53.1	52.9
2018.11.01	52.9	53.2	53.1
2018.10.24	53.1	53.2	52.5
2018.10.01	52.5	53.4	52.9
2018.09.21	52.9	52.9	52.5
2018.09.03	52.5	52.5	52.5
2018.08.23	52.5	52.0	52.3
2018.08.01	52.3	52.2	51.6
2018.07.24	51.6	52.7	53.0
2018.07.02	53.0	53.0	53.1
2018.06.22	53.1	52.7	52.8
2018.06.01	52.8	53.0	52.5
2018.05.23	52.5	53.3	53.8
2018.05.01	53.8	52.6	53.3
2018.04.23	53.3	52.6	53.1
2018.04.02	53.1	52.9	53.2
2018.03.22	53.2	53.8	54.1
2018.03.01	54.1	53.8	54.0
2018.02.21	54.0	55.2	54.8
2018.02.01	54.8	54.4	54.4
2018.01.24	54.4	53.8	54.0
2018.01.04	54.0	54.2	54.2
2017.12.14	54.2	54.2	53.6
2017.12.01	53.6	54.1	53.8
2017.11.24	53.8	52.7	52.8
2017.11.01	52.8	52.8	52.5
2017.10.24	52.5	53.1	52.9
2017.10.02	52.9	52.3	52.6
2017.09.25	52.6	52.5	52.2
2017.09.01	52.2	53.4	52.8
2017.08.23	52.8	51.9	52.1
2017.08.01	52.1	52.0	52.2
2017.07.24	52.2	52.4	52.4
2017.07.03	52.4	52.5	52.0
2017.06.23	52.0	52.5	53.1
2017.06.01	53.1	52.0	52.0
2017.05.23	52.0	52.1	52.7
2017.05.01	52.7		52.8
2017.04.21	52.8		52.4
2017.04.03	52.4		52.6
2017.03.24	52.6		53.3
2017.03.01	53.3		53.5
2017.02.21	53.5		52.7
2017.02.01	52.7		52.8
2017.01.24	52.8		52.4
2017.01.04	52.4		51.9
2016.12.15	51.9		51.3
2016.12.01	51.3		51.1
2016.11.24	51.1		51.4
2016.11.01	51.4		51.7
2016.10.24	51.7		50.4
2016.10.03	50.4		50.3
2016.09.23	50.3		49.5
2016.09.01	49.5		49.6
2016.08.23	49.6		49.3
2016.08.01	49.3		49.0
2016.07.22	49.0		48.1
2016.07.01	48.1		47.8
2016.06.23	47.8		47.7
2016.06.01	47.7		47.6
2016.05.23	47.6		48.2
2016.05.02	48.2		48.0
2016.04.22	48.0		49.1
2016.04.01	49.1		49.1
2016.03.22	49.1		50.1
2016.03.01	50.1		50.2
2016.02.22	50.2		52.3
2016.02.01	52.3		52.4
2016.01.22	52.4		52.6
2016.01.04	52.6		52.5
2015.12.16	52.5		52.6
2015.12.01	52.6		52.8
2015.11.24	52.8		52.4
2015.11.02	52.4		52.5
