Date	ActualValue	ForecastValue	PreviousValue
2020.08.05	45.4	45.2	45.2
2020.07.22	45.2	43.6	45.0
2020.07.03	45.0	42.3	42.3
2020.06.23	42.3	48.6	26.5
2020.06.03	26.5	25.3	25.3
2020.05.21	25.3	22.0	21.5
2020.05.08	21.5	22.8	22.8
2020.04.23	22.8	3.2	33.8
2020.04.03	33.8	32.7	32.7
2020.03.24	32.7	51.0	46.8
2020.03.04	46.8	46.7	46.7
2020.02.21	46.7	50.7	51.0
2020.02.05	51.0	52.1	52.1
2020.01.24	52.1	50.7	49.4
2020.01.07	49.4	50.6	50.6
2019.12.16	50.6	50.5	50.3
2019.12.04	50.3	50.4	50.4
2019.11.22	50.4	52.4	49.7
2019.11.06	49.7	50.3	50.3
2019.10.24	50.3	53.4	52.8
2019.10.03	52.8	52.8	52.8
2019.09.24	52.8	53.0	53.3
2019.09.04	53.3	53.4	53.4
2019.08.22	53.4	52.0	51.8
2019.08.05	51.8	52.3	52.3
2019.07.24	52.3	52.0	51.9
2019.07.03	51.9	52.0	51.7
2019.06.05	51.7	51.9	51.8
2019.05.08	51.8	51.8	52.0
2019.04.03	52.0	52.1	52.3
2019.03.05	52.3	52.1	51.6
2019.02.05	51.6	52.2	51.0
2019.01.07	51.0	51.8	52.3
2018.12.05	52.3	51.4	52.4
2018.11.05	52.4	51.5	50.7
2018.10.03	50.7	51.8	51.5
2018.09.05	51.5	51.7	51.3
2018.08.03	51.3	51.6	51.4
2018.07.04	51.4	51.6	51.0
2018.06.05	51.0	51.9	52.5
2018.05.02	52.5	51.7	50.9
2018.04.04	50.9	51.6	51.7
2018.03.05	51.7	52.0	51.9
2018.02.05	51.9	49.9	51.1
2018.01.05	51.1	52.5	51.2
2017.12.05	51.2	52.4	53.4
2017.11.06	53.4	50.8	51.0
2017.10.04	51.0	50.7	51.6
2017.09.05	51.6	51.1	52.0
2017.08.03	52.0	53.1	53.3
2017.07.05	53.3	52.7	53.0
2017.06.05	53.0	52.4	52.2
2017.05.02	52.2		52.9
2017.04.05	52.9		51.3
2017.03.03	51.3		51.9
2017.02.03	51.9		52.3
2017.01.05	52.3		51.8
2016.12.05	51.8		50.5
2016.11.04	50.5		48.2
2016.10.05	48.2		49.6
2016.09.05	49.6		50.4
2016.08.03	50.4		49.4
2016.07.05	49.4		50.4
2016.06.03	50.4		49.3
2016.05.06	49.3		50.0
2016.04.05	50.0		51.2
2016.03.03	51.2		52.4
2016.02.03	52.4		51.5
2016.01.06	51.5		51.6
2015.12.03	51.6		52.2
2015.11.04	52.2		51.4
2015.10.05	51.4		53.7
2015.09.03	53.7		51.2
2015.08.05	51.2		51.8
2015.07.03	51.8		51.5
2015.06.03	51.5		51.3
2015.05.07	51.3		48.4
2015.04.03	48.4		48.5
2015.03.04	48.5		51.3
2015.02.04	51.3		51.7
2015.01.06	51.7		50.6
2014.12.03	50.6		52.4
2014.11.04	48.7		52.5
2014.10.03	52.5		49.9
2014.09.03	49.9		50.4
2014.08.05	50.4		49.0
2014.07.03	49.0		49.3
2014.06.04	49.3		46.4
2014.05.06	46.4		52.2
2014.04.02	52.2		52.5
2014.03.05	49.3		51.2
2014.01.06	51.2		
