Date	ActualValue	ForecastValue	PreviousValue
2020.06.30	3.2	8.5	1.8
2020.03.31	1.8	-4.8	6.8
2019.12.12	6.8	11.5	6.6
2019.09.30	6.6	6.6	7.4
2019.06.30	7.4	11.4	1.2
2019.03.31	1.2	8.0	14.3
2018.12.13	14.3	10.0	13.4
2018.09.30	13.4	9.5	13.6
2018.07.01	13.6	5.9	2.3
2018.04.01	2.3	5.3	7.4
2017.12.14	7.4	4.6	7.7
2017.10.01	7.7	4.1	8.0
2017.07.02	8.0	3.8	0.6
2017.04.02	0.6		5.5
2016.12.13	5.5		6.3
2016.10.02	6.3		6.2
2016.06.30	6.2		-0.9
2016.03.31	-0.9		10.8
2015.12.13	10.8		10.9
2015.09.30	10.9		9.3
2015.06.30	9.3		-1.2
2015.03.31	-1.2		8.9
2014.12.14	8.9		8.6
2014.09.30	8.6		7.4
2014.06.30	7.4		0.1
2014.03.31	0.1		4.6
2013.12.15	4.6		5.1
2013.09.30	5.1		5.5
2013.06.30	5.5		-2.0
2013.03.31	-2.0		6.8
2012.12.13	6.8		6.4
2012.09.30	6.4		6.2
2012.07.01	6.2		0.0
2012.04.01	0.0		1.4
2011.12.14	1.4		3.0
2011.10.02	3.0		4.2
2011.06.30	4.2		-0.4
2011.03.31	-0.4		2.9
2010.12.14	2.9		2.4
2010.09.28	2.4		4.4
2010.06.30	4.4		-0.4
2010.03.31	-0.4		-10.8
2009.09.30	-10.8		-9.4
2009.06.30	-9.4		-6.6
2009.03.31	-6.6		-0.2
2008.12.14	-0.2		-1.7
2008.09.30	-1.7		2.4
2008.06.30	2.4		-1.6
2008.03.28	-1.6		0.0
2007.12.13	0.0		8.7
2007.09.30	8.7		7.7
2007.07.01	7.7		2.9
2007.04.01	2.9		
