Date	ActualValue	ForecastValue	PreviousValue
2020.09.30	-12	-20	-17
2020.06.30	-17	9	8
2020.03.31	8	21	20
2019.12.12	20	22	21
2019.09.30	21	22	23
2019.06.30	23	24	21
2019.03.31	21	24	24
2018.12.13	24	25	22
2018.09.30	22	25	24
2018.07.01	24	22	23
2018.04.01	23	21	25
2017.12.14	23	19	23
2017.10.01	23	19	23
2017.07.02	23	21	20
2017.04.02	20		18
2016.12.13	18		18
2016.10.02	18		19
2016.06.30	19		22
2016.03.31	22		25
2015.12.13	25		25
2015.09.30	25		23
2015.06.30	23		19
2015.03.31	19		16
2014.12.14	16		13
2014.09.30	13		19
2014.06.30	19		24
2014.03.31	24		20
2013.12.15	20		14
2013.09.30	14		12
2013.06.30	12		6
2013.03.31	6		4
2012.12.13	4		8
2012.09.30	8		8
2012.07.01	8		5
2012.04.01	5		4
2011.12.14	4		1
2011.10.02	1		-5
2011.06.30	-5		3
2011.03.31	3		1
2010.12.14	1		2
2010.09.28	2		-5
2010.06.30	-5		-14
2010.03.31	-14		-22
2009.12.13	-22		-24
2009.09.30	-24		-29
2009.06.30	-29		-31
2009.03.31	-31		-9
2008.12.14	-9		1
2008.09.30	1		10
2008.06.30	10		12
2008.03.28	12		16
2007.12.13	16		20
2007.09.30	20		22
2007.07.01	22		22
2007.04.01	22		
