Date	ActualValue	ForecastValue	PreviousValue
2021.03.09	17.4	23.2	21.3
2021.02.25	21.3	22.3	22.3
2021.02.04	22.3	27.7	21.7
2020.12.18	21.7	2.5	9.1
2020.11.30	9.1	4.6	4.6
2020.11.05	4.6	18.1	4.7
2020.10.29	4.7	3.6	3.6
2020.10.08	3.6	-14.6	-5.4
2020.09.30	-5.4	-9.9	-9.9
2020.09.09	-9.9	-8.4	-17.5
2020.08.31	-17.5	-17.0	-17.0
2020.08.10	-17.0	-28.8	-8.9
2020.07.30	-8.9	-6.8	-6.8
2020.07.09	-6.8	-31.6	-25.9
2020.06.30	-25.9	-29.1	-29.1
2020.06.09	-29.1		-38.7
2020.05.28	-38.7	-73.2	-55.1
2020.04.30	-55.1	-54.0	-26.7
2020.03.31	-26.7	7.3	12.0
2020.02.27	12.0	24.7	17.2
2019.12.17	17.2	17.5	12.9
2019.11.28	12.9	-3.6	-3.5
2019.10.31	-3.5	-2.6	-1.8
2019.09.30	-1.8	-3.5	-0.5
2019.08.29	-0.5	6.5	5.0
2019.07.31	5.0	8.3	8.0
2019.06.27	8.0	7.8	8.5
2019.05.29	8.5	2.9	7.1
2019.04.30	7.1	3.1	6.3
2019.03.28	6.3	11.8	10.5
2019.02.28	10.5	11.2	13.6
2018.12.18	13.6	10.0	7.6
2018.11.29	7.6	7.6	7.4
2018.10.31	7.4	5.8	7.8
2018.09.26	7.8		3.8
2018.08.30	3.8		3.8
2018.07.31	3.8		9.4
2018.06.27	9.4		13.6
2018.05.31	13.6		17.8
2018.04.30	17.8		21.8
2018.03.28	21.8		20.4
2018.02.28	20.4		15.6
2017.12.19	15.6		6.5
2017.11.30	6.5		22.2
2017.10.31	22.2		29.6
2017.09.26	29.6		38.2
2017.08.31	38.2		40.3
2017.07.31	40.3		42.8
2017.06.29	42.8		38.3
2017.05.31	38.3		37.7
2017.04.28	37.7		38.8
2017.03.31	38.8		37.2
2017.02.28	37.2		39.6
2016.12.19	39.6		37.6
2016.11.30	37.6		38.4
2016.10.31	38.4		42.4
2016.09.30	42.4		33.7
2016.08.31	33.7		31.4
2016.07.29	31.4		35.1
2016.06.30	35.1		30.4
2016.05.31	30.4		32.1
2016.04.29	32.1		29.4
2016.03.31	29.4		25.5
2016.02.29	25.5		34.4
2015.12.18	34.4		32.0
2015.11.30	32.0		23.7
2015.10.30	23.7		16.7
2015.09.30	16.7		12.2
2015.08.31	12.2		19.0
2015.07.31	19.0		23.6
2015.06.30	23.6		32.6
2015.05.29	32.6		41.3
2015.04.29	41.3		42.2
2015.03.31	42.2		40.9
2015.02.27	40.9		37.3
2014.12.19	37.3		41.7
2014.11.28	41.7		37.8
2014.10.29	37.8		37.0
2014.09.30	37.0		36.6
2014.08.29	45.1		45.8
2014.07.25	45.8		51.0
2014.06.30	51.0		52.5
2014.05.28	52.5		58.2
2014.04.30	58.2		58.5
2014.03.31	58.5		53.5
2014.02.28	53.5		47.1
2013.12.18	47.1		47.1
2013.11.28	47.1		45.3
2013.10.31	45.3		43.3
2013.09.30	43.3		43.7
2013.08.29	43.7		45.0
2013.07.31	45.0		34.3
2013.06.27	34.3		30.3
2013.05.31	30.3		32.4
2013.04.30	32.4		37.6
2013.03.27	37.6		31.4
2013.02.28	31.4		31.6
2012.12.20	31.6		25.5
2012.11.29	25.5		29.3
2012.10.26	29.3		26.4
2012.09.27	26.4		24.0
2012.08.30	24.0		20.8
2012.07.31	20.8		34.9
2012.06.28	34.9		36.1
2012.05.31	36.1		38.8
2012.04.30	38.8		31.2
2012.03.29	31.2		25.7
2012.02.29	25.7		28.8
2011.12.19	28.8		26.1
2011.11.28	26.1		35.4
2011.10.26	35.4		43.3
2011.09.30	43.3		43.7
2011.08.31	43.7		38.7
2011.07.27	38.7		39.7
2011.06.30	39.7		29.5
2011.05.31	29.5		14.7
2011.04.27	14.7		36.6
2011.03.31	36.6		34.5
2011.02.28	34.5		35.3
2010.12.16	35.3		30.5
2010.11.29	30.5		26.7
2010.10.27	26.7		25.7
2010.09.30	25.7		32.4
2010.08.30	32.4		38.5
2010.07.28	38.5		45.3
2010.06.28	45.3		43.0
2010.05.31	43.0		38.6
2010.04.28	38.6		41.9
2010.03.31	41.9		36.9
2010.02.25	36.9		33.7
2009.12.17	33.7		30.5
2009.11.26	30.5		32.2
2009.10.28	32.2		26.0
2009.09.30	26.0		12.6
2009.08.31	12.6		8.3
2009.07.29	8.3		3.8
2009.06.30	3.8		-3.8
2009.05.27	-3.8		-21.2
2009.04.29	-21.2		-20.1
2009.03.31	-20.1		-21.5
2009.02.26	-21.5		-14.1
2008.12.18	-14.1		-11.4
2008.11.27	-11.4		16.7
2008.10.30	16.7		4.7
2008.09.30	4.7		-8.2
2008.08.27	-8.2		-4.0
2008.07.31	-4.0		-4.4
2008.06.30	-4.4		-3.8
2008.05.27	-3.8		-6.4
2008.04.30	-6.4		
