Date	ActualValue	ForecastValue	PreviousValue
2020.10.29	-15.7	-14.5	-14.5
2020.10.08	-14.5	-32.6	-28.5
2020.09.30	-28.5	-26.0	-26.0
2020.09.09	-26.0	-25.1	-41.8
2020.08.31	-41.8	-42.4	-42.4
2020.08.10	-42.4	-53.1	-31.8
2020.07.30	-31.8	-29.8	-29.8
2020.07.09	-29.8	-1.2	-34.4
2020.06.30	-34.4	-33.0	-33.0
2020.06.09	-33.0		-41.8
2020.05.28	-41.8	-86.3	-66.6
2020.04.30	-66.6	-69.5	-63.5
2020.03.31	-63.5	-24.1	-19.4
2020.02.27	-19.4	-7.9	-13.2
2019.12.17	-13.2	-13.6	-26.4
2019.11.28	-26.4	-30.8	-42.4
2019.10.31	-42.4	-54.1	-53.5
2019.09.30	-53.5	-58.5	-52.3
2019.08.29	-52.3	-51.1	-44.3
2019.07.31	-44.3	-34.9	-38.1
2019.06.27	-38.1	-22.7	-32.0
2019.05.29	-32.0	-42.7	-37.5
2019.04.30	-37.5	-42.8	-38.0
2019.03.28	-38.0	-24.3	-30.9
2019.02.28	-30.9	-19.1	-24.1
2018.12.18	-24.1	-36.1	-37.1
2018.11.29	-37.1	-34.4	-37.1
2018.10.31	-37.1	-38.1	-38.3
2018.09.26	-38.3		-50.3
2018.08.30	-50.3		-44.9
2018.07.31	-44.9		-39.0
2018.06.27	-39.0		-27.2
2018.05.31	-27.2		-23.4
2018.04.30	-23.4		-20.0
2018.03.28	-20.0		-19.0
2018.02.28	-19.0		-37.8
2017.12.19	-37.8		-39.3
2017.11.30	-39.3		-10.1
2017.10.31	-10.1		0.0
2017.09.26	0.0		18.3
2017.08.31	18.3		19.4
2017.07.31	19.4		24.8
2017.06.29	24.8		14.9
2017.05.31	14.9		11.0
2017.04.28	11.0		11.3
2017.03.31	11.3		16.6
2017.02.28	16.6		21.7
2016.12.19	21.7		20.5
2016.11.30	20.5		24.5
2016.10.31	24.5		27.9
2016.09.30	27.9		15.5
2016.08.31	15.5		16.0
2016.07.29	16.0		20.2
2016.06.30	20.2		11.3
2016.05.31	11.3		6.2
2016.04.29	6.2		3.2
2016.03.31	3.2		7.1
2016.02.29	7.1		23.0
2015.12.18	23.0		14.6
2015.11.30	14.6		10.5
2015.10.30	10.5		-18.9
2015.09.30	-18.9		-29.1
2015.08.31	-29.1		-15.3
2015.07.31	-15.3		-2.3
2015.06.30	-2.3		15.7
2015.05.29	15.7		30.2
2015.04.29	30.2		35.8
2015.03.31	35.8		34.4
2015.02.27	34.4		30.4
2014.12.19	30.4		31.5
2014.11.28	31.5		26.5
2014.10.29	26.5		13.4
2014.09.30	13.4		24.4
2014.08.29	24.4		39.7
2014.07.25	39.7		42.8
2014.06.30	42.8		53.5
2014.05.28	53.5		64.8
2014.04.30	64.8		67.3
2014.03.31	67.3		70.8
2014.02.28	70.8		64.1
2013.12.18	64.1		60.5
2013.11.28	60.5		53.2
2013.10.31	53.2		54.1
2013.09.30	54.1		48.1
2013.08.29	48.1		52.8
2013.07.31	52.8		50.1
2013.06.27	50.1		41.8
2013.05.31	41.8		32.3
2013.04.30	32.3		34.6
2013.03.27	34.6		39.4
2013.02.28	39.4		22.7
2012.12.20	22.7		26.4
2012.11.29	26.4		17.2
2012.10.26	17.2		17.0
2012.09.27	17.0		19.5
2012.08.30	19.5		15.1
2012.07.31	15.1		12.6
2012.06.28	12.6		27.1
2012.05.31	27.1		35.8
2012.04.30	35.8		33.8
2012.03.29	33.8		28.0
2012.02.29	28.0		16.9
2011.12.19	16.9		18.3
2011.11.28	18.3		13.2
2011.10.26	13.2		30.3
2011.09.30	30.3		34.4
2011.08.31	34.4		47.6
2011.07.27	47.6		46.5
2011.06.30	46.5		38.3
2011.05.31	38.3		14.2
2011.04.27	14.2		-8.7
2011.03.31	-8.7		34.5
2011.02.28	34.5		29.5
2010.12.16	29.5		33.2
2010.11.29	33.2		23.7
2010.10.27	23.7		13.5
2010.09.30	13.5		16.4
2010.08.30	16.4		27.9
2010.07.28	27.9		40.2
2010.06.28	40.2		48.2
2010.05.31	48.2		49.5
2010.04.28	49.5		42.5
2010.03.31	42.5		50.1
2010.02.25	50.1		38.5
2009.12.17	38.5		43.4
2009.11.26	43.4		48.2
2009.10.28	48.2		49.1
2009.09.30	49.1		34.2
2009.08.31	34.2		18.7
2009.07.29	18.7		5.5
2009.06.30	5.5		1.9
2009.05.27	1.9		-14.5
2009.04.29	-14.5		-39.3
2009.03.31	-39.3		-41.2
2009.02.26	-41.2		-35.0
2008.12.18	-35.0		-43.0
2008.11.27	-43.0		-42.3
2008.10.30	-42.3		1.6
2008.09.30	1.6		-20.5
2008.08.27	-20.5		-43.2
2008.07.31	-43.2		-38.7
2008.06.30	-38.7		-49.7
2008.05.27	-49.7		-54.8
2008.04.30	-54.8		
