Date	ActualValue	ForecastValue	PreviousValue
2022.02.25	-11.6		-9.3
2022.02.18	-9.3		-10.4
2022.02.11	-10.4		-11.7
2022.02.04	-11.7		-10.8
2022.01.28	-10.8		-8.3
2022.01.21	-8.3		-8.6
2022.01.14	-8.6		-8.8
2022.01.07	-8.8		-8.4
2022.01.03	-8.4		-6.1
2021.12.27	-6.1		-5.9
2021.12.17	-5.9		10.7
2021.12.10	10.7		10.6
2021.12.03	10.6		13.9
2021.11.29	13.9		14.0
2021.11.19	14.0		12.9
2021.11.15	12.9		13.9
2021.11.05	13.9		8.9
2021.10.29	8.9		6.4
2021.10.22	6.4		8.7
2021.10.15	8.7		8.1
2021.10.08	8.1		10.2
2021.10.01	10.2		8.1
2021.09.24	8.1		6.2
2021.09.17	6.2		3.9
2021.09.10	3.9		-2.1
2021.09.03	-2.1		-0.4
2021.08.27	-0.4		-0.2
2021.08.20	-0.2		-1.0
2021.08.13	-1.0		-0.3
2021.08.06	-0.3		1.4
2021.07.30	1.4		3.0
2021.07.23	3.0		3.2
2021.07.16	3.2		1.8
2021.07.09	1.8		3.1
2021.07.02	3.1		3.3
2021.06.25	3.3		3.3
2021.06.21	3.3		5.5
2021.06.11	5.5		5.9
2021.06.04	5.9		8.6
2021.05.28	8.6		8.5
2021.05.21	8.5		9.3
2021.05.14	9.3		8.6
2021.05.07	8.6		7.0
2021.04.30	7.0		4.3
2021.04.23	4.3		2.5
2021.04.16	2.5		3.1
2021.04.09	3.1		4.0
2021.04.02	4.0		4.7
2021.03.26	4.7		6.0
2021.03.19	6.0		17.1
2021.03.12	17.1		16.4
2021.03.05	16.4		14.6
2021.02.26	14.6		13.7
2021.02.19	13.7		11.5
2021.02.12	11.5		11.6
2021.02.05	11.6		14.8
2021.01.29	14.8		16.0
2021.01.22	16.0		14.7
2021.01.15	14.7		12.0
2021.01.08	12.0		12.5
2021.01.04	12.5		13.7
2020.12.28	13.7		14.2
2020.12.18	14.2		10.6
2020.12.11	10.6		9.1
2020.12.04	9.1		8.3
2020.11.30	8.3		8.9
2020.11.20	8.9		7.7
2020.11.16	7.7		7.1
2020.11.06	7.1		7.0
2020.10.30	7.0		6.6
2020.10.23	6.6		6.5
2020.10.16	6.5		5.1
2020.10.09	5.1		3.3
2020.10.02	3.3		4.9
2020.09.25	4.9		3.2
2020.09.18	3.2		4.9
2020.09.11	4.9		7.0
2020.09.04	7.0		4.2
2020.08.28	4.2		3.8
2020.08.21	3.8		-0.2
2020.08.14	-0.2		-1.4
2020.08.07	-1.4		-0.8
2020.07.31	-0.8		2.5
2020.07.24	2.5		1.1
2020.07.17	1.1		-0.3
2020.07.10	-0.3		0.4
2020.07.06	0.4		0.0
2020.06.26	0.0		-1.9
2020.06.19	-1.9		-11.2
2020.06.12	-11.2		-12.9
2020.06.05	-12.9		-15.0
2020.05.29	-15.0		-15.9
2020.05.22	-15.9		-15.9
2020.05.15	-15.9		-15.0
2020.05.08	-15.0		-13.8
2020.05.01	-13.8		-14.3
2020.04.24	-14.3		-14.6
2020.04.17	-14.6		-14.7
2020.04.10	-14.7		-16.1
2020.04.03	-16.1		-16.0
2020.03.27	-16.0		-20.3
2020.03.20	-20.3		-15.4
2020.03.13	-15.4		-17.0
2020.03.06	-17.0		-15.3
2020.02.28	-15.3		-12.2
2020.02.21	-12.2		-4.1
2020.02.14	-4.1		-2.2
2020.02.07	-2.2		2.1
2020.01.31	2.1		1.8
2020.01.24	1.8		-0.4
2020.01.17	-0.4		-1.5
2020.01.10	-1.5		-5.1
2020.01.06	-5.1		-7.8
2019.12.30	-7.8		-8.2
2019.12.20	-8.2		-25.3
2019.12.13	-25.3		-27.0
2019.12.06	-27.0		-35.8
2019.12.02	-35.8		-35.1
2019.11.22	-35.1		-36.2
2019.11.15	-36.2		-39.0
2019.11.08	-39.0		-40.4
2019.11.01	-40.4		-40.1
2019.10.25	-40.1		-40.2
2019.10.18	-40.2		-38.2
2019.10.11	-38.2		-42.5
2019.10.04	-42.5		-39.6
2019.09.27	-39.6		-36.0
2019.09.20	-36.0		-29.8
2019.09.13	-29.8		-30.7
2019.09.06	-30.7		-26.0
2019.08.30	-26.0		-18.3
2019.08.23	-18.3		-13.4
2019.08.16	-13.4		-11.6
2019.08.09	-11.6		-12.3
2019.08.02	-12.3		-12.2
2019.07.26	-12.2		-17.3
2019.07.19	-17.3		-22.2
2019.07.12	-22.2		-24.0
