Date	ActualValue	ForecastValue	PreviousValue
2020.08.12	0.25		0.25
2020.06.24	0.25		0.25
2020.05.13	0.25		0.25
2020.03.15	0.25		1.00
2020.02.12	1.00		1.00
2019.11.13	1.00		1.00
2019.09.25	1.00		1.00
2019.08.07	1.00		1.50
2019.06.26	1.50		1.50
2019.05.08	1.50		1.75
2019.03.27	1.75		1.75
2019.02.13	1.75		1.75
2018.11.07	1.75		1.75
2018.09.26	1.75		1.75
2018.08.08	1.75		1.75
2018.06.27	1.75		1.75
2018.05.09	1.75		1.75
2018.03.21	1.75		1.75
2018.02.07	1.75		1.75
2017.11.08	1.75		1.75
2017.09.27	1.75		1.75
2017.08.09	1.75		1.75
2017.06.21	1.75		1.75
2017.05.10	1.75		1.75
2017.03.22	1.75		1.75
2017.02.08	1.75		1.75
2016.11.09	1.75		2.00
2016.09.21	2.00		2.00
2016.08.10	2.00		2.25
2016.06.08	2.25		2.25
2016.04.27	2.25		2.25
2016.03.09	2.25		2.50
2016.01.27	2.50		2.50
2015.12.09	2.50		2.75
2015.10.28	2.75		2.75
2015.09.09	2.75		3.00
2015.07.22	3.00		3.25
2015.06.10	3.25		3.50
2015.04.29	3.50		3.50
2015.03.11	3.50		3.50
2015.01.28	3.50		3.50
2014.12.10	3.50		3.50
2014.10.29	3.50		3.50
2014.09.10	3.50		3.50
2014.07.23	3.50		3.25
2014.06.11	3.25		3.00
2014.04.23	3.00		2.75
2014.03.12	2.75		2.50
2014.01.29	2.50		2.50
2013.12.11	2.50		2.50
2013.10.30	2.50		2.50
2013.09.11	2.50		2.50
2013.07.24	2.50		2.50
2013.06.12	2.50		2.50
2013.04.23	2.50		2.50
2013.03.13	2.50		2.50
2013.01.30	2.50		2.50
2012.12.05	2.50		2.50
2012.10.24	2.50		2.50
2012.09.12	2.50		2.50
2012.07.25	2.50		2.50
2012.06.13	2.50		2.50
2012.04.25	2.50		2.50
2012.03.07	2.50		2.50
2012.01.25	2.50		2.50
2011.12.07	2.50		2.50
2011.10.26	2.50		2.50
2011.09.14	2.50		2.50
2011.07.27	2.50		2.50
2011.06.08	2.50		2.50
2011.04.27	2.50		2.50
2011.03.09	2.50		3.00
2011.01.26	3.00		3.00
2010.12.08	3.00		3.00
2010.10.27	3.00		3.00
2010.09.15	3.00		3.00
2010.07.28	3.00		2.75
2010.06.09	2.75		2.50
2010.04.28	2.50		2.50
2010.03.10	2.50		2.50
2010.01.27	2.50		2.50
2009.12.09	2.50		2.50
2009.10.28	2.50		2.50
2009.09.09	2.50		2.50
2009.06.10	2.50		2.50
2009.04.30	2.50		2.50
2009.04.29	2.50		3.00
2009.03.11	3.00		3.50
2009.01.28	3.50		5.00
2008.12.03	5.00		6.50
2008.10.22	6.50		7.50
2008.09.10	7.50		8.00
2008.07.23	8.00		8.25
2008.06.04	8.25		8.25
2008.04.23	8.25		8.25
2008.03.05	8.25		8.25
2008.01.23	8.25		8.25
2007.12.05	8.25		8.25
2007.10.24	8.25		8.25
2007.09.12	8.25		8.25
2007.07.25	8.25		8.00
2007.06.06	8.00		7.75
2007.04.26	7.75		
