Date	ActualValue	ForecastValue	PreviousValue
2020.05.25	1.267	0.928	0.722
2020.04.28	0.672	0.156	0.531
2020.03.24	0.594	0.61	-0.414
2020.02.26	-0.34	-0.717	0.384
2020.01.29	0.547	0.575	-0.791
2019.12.18	-0.753	-0.875	-1.039
2019.11.26	-1.013	-1.621	-1.319
2019.10.22	-1.242	-1.112	-1.628
2019.09.24	-1.565	-1.464	-0.7
2019.08.25	-0.685	-0.267	0.331
2019.07.23	0.365	0.306	0.175
2019.06.24	0.264	0.971	0.383
2019.05.23	0.433	0.009	0.824
2019.04.25	0.922	-0.271	-0.068
2019.03.25	0.012	-0.109	-0.948
2019.02.26	-0.914	-0.193	0.012
2019.01.28	0.264	-0.139	-0.955
2018.12.19	-0.861	-0.912	-1.317
2018.11.26	-1.295	-1.732	-1.596
2018.10.24	-1.56	-1.037	-1.47
2018.09.25	-1.484		-0.196
2018.08.23	-0.143		-0.288
2018.07.24	-0.113		0.208
2018.06.26	0.294		0.193
2018.05.23	0.263		-0.156
2018.04.26	-0.086		0.172
2018.03.25	0.217		-0.655
2018.02.26	-0.566		0.596
2018.01.29	0.64		-1.233
2017.12.19	-1.193		-0.843
2017.11.23	-0.871		-1.156
2017.10.25	-1.143		-1.179
2017.09.25	-1.235		0.098
2017.08.23	0.085		0.246
2017.07.25	0.242		0.074
2017.06.26	0.13		0.572
2017.05.23	0.572		0.277
2017.04.27	0.332		-0.05
2017.03.23	-0.018		-0.257
2017.02.27	-0.285		-0.036
2017.01.29	-0.041		-0.746
2016.12.20	-0.705		-0.815
2016.11.24	-0.846		-1.394
2016.10.26	-1.436		-1.243
2016.09.25	-1.265		-0.433
2016.08.23	-0.433		0.127
2016.07.25	0.127		0.358
2016.06.26	0.358		0.326
2016.05.24	0.292		0.117
2016.04.26	0.117		0.367
2016.03.23	0.339		0.008
2016.02.25	0.008		-0.038
2016.01.27	-0.053		-0.779
2015.12.22	-0.779		-0.963
2015.11.25	-0.963		-1.14
2015.10.26	-1.222		-1.079
2015.09.23	-1.035		-0.726
2015.08.25	-0.649		-0.194
2015.07.23	-0.06		0.35
2015.06.25	0.35		0.183
2015.05.25	0.123		0.754
2015.04.28	0.631		0.05
2015.03.24	0.083		0.056
2015.02.25	0.033		-0.159
2015.01.28	-0.195		-0.213
2014.12.22	-0.285		-0.908
2014.11.26	-0.911		-1.35
2014.10.23	-1.35		-0.472
2014.09.23	-0.489		-0.692
2014.08.25	-0.724		0.247
2014.07.23	0.242		0.285
2014.06.26	0.27		0.534
2014.05.25	0.498		0.92
2014.04.28	0.92		0.818
2014.03.26	0.793		0.306
2014.02.26	0.306		0.523
2014.01.30	0.493		0.183
2013.12.19	0.183		-0.168
2013.11.26	-0.173		-0.199
2013.10.23	-0.216		-1.234
2013.09.24	-1.23		-0.774
2013.08.25	-0.771		0.414
2013.07.23	0.374		0.071
2013.06.26	0.039		0.157
2013.05.23	0.174		0.718
2013.04.25	0.732		0.414
2013.03.25	0.441		-0.305
2013.02.26	-0.287		0.486
2013.01.28	0.486		-0.7
2013.01.09	-0.59		-0.718
2012.11.26	-0.666		-0.791
2012.10.25	-0.775		-0.789
2012.09.25	-0.789		0.015
2012.08.23	0.015		0.331
2012.07.24	0.287		0.301
2012.06.26	0.232		0.355
2012.05.23	0.335		0.134
2012.04.29	0.186		0.161
2012.03.25	0.202		-0.199
2012.02.26	-0.159		0.338
2012.01.26	0.306		-0.308
2012.01.08	-0.307		-0.282
2011.11.23	-0.228		-0.751
2011.10.26	-0.789		-0.641
2011.09.25	-0.697		0.129
2011.08.23	0.111		0.23
2011.07.25	0.197		0.605
2011.06.26	0.552		1.113
2011.05.29	1.148		0.578
2011.04.28	0.586		0.182
2011.03.28	0.184		0.011
2011.02.27	0.009		-0.25
2011.01.30	-0.218		-0.186
2011.01.09	-0.177		-0.224
2010.11.28	-0.22		-0.457
2010.10.28	-0.455		-0.437
2010.09.28	-0.43		-0.186
2010.08.29	-0.186		0.276
2010.07.28	0.221		0.814
2010.06.24	0.77		0.665
2010.05.26	0.66		0.567
2010.04.28	0.608		0.335
2010.03.25	0.328		0.263
2010.02.25	0.271		0.002
2010.01.28	0.002		-0.269
2010.01.06	-0.276		-0.487
2009.11.26	-0.495		-0.424
2009.10.28	-0.563		-0.725
2009.09.24	-0.719		-0.163
2009.08.26	-0.163		-0.417
2009.07.27	-0.417		0.858
2009.06.28	0.907		0.276
2009.05.25	0.319		0.324
2009.04.28	0.447		0.489
2009.03.26	0.489		-0.187
2009.02.25	-0.104		-0.347
2009.01.28	-0.334		-0.52
2009.01.06	-0.588		-0.942
2008.11.26	-0.942		-1.183
2008.10.28	-1.183		-0.75
2008.09.28	-0.75		-0.781
2008.08.25	-0.781		-0.223
2008.07.27	-0.223		-0.196
2008.06.26	-0.196		-0.334
2008.05.25	-0.334		-0.05
2008.04.28	-0.05		0.258
2008.03.26	0.258		-0.32
2008.02.28	-0.32		0.033
2008.01.30	0.033		-0.65
2008.01.06	-0.65		-0.69
2007.11.25	-0.69		-0.54
2007.10.28	-0.54		-0.95
2007.09.25	-0.95		-0.791
2007.08.23	-0.791		-0.525
2007.07.26	-0.525		0.009
2007.06.26	0.009		-0.21
2007.05.23	-0.21		
