Date	ActualValue	ForecastValue	PreviousValue
2020.09.25	15.9		12.1
2020.09.18	12.1		11.5
2020.09.11	11.5		11.6
2020.09.04	11.6		11.9
2020.08.28	11.9		14.5
2020.08.21	14.5		17.2
2020.08.14	17.2		11.7
2020.08.07	11.7		8.4
2020.07.31	8.4		7.4
2020.07.24	7.4		7.1
2020.07.17	7.1		3.8
2020.07.10	3.8		4.3
2020.07.06	4.3		1.4
2020.06.26	1.4		1.6
2020.06.19	1.6		1.8
2020.06.12	1.8		9.0
2020.06.05	9.0		8.7
2020.05.29	8.7		8.7
2020.05.22	8.7		6.6
2020.05.15	6.6		7.8
2020.05.08	7.8		5.6
2020.05.01	5.6		4.9
2020.04.24	4.9		4.7
2020.04.17	4.7		5.6
2020.04.10	5.6		4.9
2020.04.03	4.9		4.9
2020.03.27	4.9		7.4
2020.03.20	7.4		0.6
2020.03.13	0.6		-3.2
2020.03.06	-3.2		0.6
2020.02.28	0.6		1.5
2020.02.21	1.5		3.8
2020.02.14	3.8		4.9
2020.02.07	4.9		3.5
2020.01.31	3.5		1.5
2020.01.24	1.5		-0.2
2020.01.17	-0.2		-4.5
2020.01.10	-4.5		-5.7
2020.01.06	-5.7		-9.7
2019.12.30	-9.7		-11.1
2019.12.20	-11.1		-20.9
2019.12.13	-20.9		-22.3
2019.12.06	-22.3		-21.0
2019.12.02	-21.0		-16.2
2019.11.22	-16.2		-15.1
2019.11.15	-15.1		-14.2
2019.11.08	-14.2		-12.5
2019.11.01	-12.5		-11.3
2019.10.25	-11.3		-12.8
2019.10.18	-12.8		-11.0
2019.10.11	-11.0		-11.5
2019.10.04	-11.5		-10.6
2019.09.27	-10.6		-4.6
2019.09.20	-4.6		-2.9
2019.09.13	-2.9		-5.8
2019.09.06	-5.8		-3.8
2019.08.30	-3.8		-11.1
2019.08.23	-11.1		-13.0
2019.08.16	-13.0		-16.4
2019.08.09	-16.4		-14.5
2019.08.02	-14.5		-13.2
2019.07.26	-13.2		-11.7
2019.07.19	-11.7		-10.4
2019.07.12	-10.4		-10.7
2019.07.08	-10.7		-16.5
2019.06.28	-16.5		-15.5
2019.06.21	-15.5		-24.8
2019.06.14	-24.8		-36.1
2019.06.07	-36.1		-34.7
2019.05.31	-34.7		-37.5
2019.05.24	-37.5		-40.0
2019.05.17	-40.0		-39.6
2019.05.10	-39.6		-39.7
2019.05.03	-39.7		-37.5
2019.04.26	-37.5		-32.6
2019.04.19	-32.6		-28.1
2019.04.12	-28.1		-26.3
2019.04.05	-26.3		-27.3
2019.03.29	-27.3		-27.2
2019.03.22	-27.2		-23.3
2019.03.15	-23.3		-24.1
2019.03.08	-24.1		-25.3
2019.03.05	-25.3		-23.4
2019.03.01	-23.4		-20.7
2019.02.26	-20.7		-18.1
2019.02.22	-18.1		-18.1
2019.02.19	-18.1		-16.4
2019.02.15	-16.4		-15.3
2019.02.12	-15.3		-23.2
2019.02.08	-23.2		-25.5
2019.02.05	-25.5		-23.3
2019.02.01	-23.3		-22.9
2018.12.21	-22.9		-18.3
2018.12.14	-18.3		-19.8
2018.12.10	-19.8		-21.1
2018.11.30	-21.1		-19.6
2018.11.26	-19.6		-18.6
2018.11.16	-18.6		-19.9
2018.11.09	-19.9		-14.5
2018.11.02	-14.5		-17.1
2018.10.26	-17.1		-16.5
2018.10.19	-16.5		-12.8
2018.10.12	-12.8		-13.4
2018.10.05	-13.4		-16.1
2018.09.28	-16.1		-18.4
