Date	ActualValue	ForecastValue	PreviousValue
2020.03.03	0.3	0.2	0.4
2019.11.28	0.4	0.3	0.3
2019.09.05	0.3	0.3	0.4
2019.05.28	0.6	-0.6	0.3
2019.02.28	0.2	-0.7	-0.3
2018.11.29	-0.2	0.5	0.7
2018.09.06	0.7	0.3	1.0
2018.05.31	0.6	-0.4	0.6
2018.03.01	0.6	0.0	0.7
2017.11.30	0.6	0.1	0.4
2017.09.05	0.3		0.1
2017.06.01	0.3		0.2
2017.03.02	0.1		0.1
2016.12.02	0.0		0.6
2016.09.06	0.6		0.3
2016.06.01	0.1		0.4
2016.03.02	0.4		-0.1
2015.12.01	0.0		0.2
2015.08.28	0.2		-0.2
2015.05.29	-0.2		0.6
2015.03.03	0.6		0.6
2014.12.03	0.7		0.0
2014.09.02	0.3		0.5
2014.05.28	0.5		0.2
2014.02.27	0.2		0.5
2013.11.28	0.5		0.5
2013.09.03	0.5		0.6
2013.05.30	0.6		0.2
2013.02.28	0.3		0.6
2012.11.29	0.6		-0.1
2012.09.04	-0.1		0.7
2012.05.31	0.5		0.1
2012.03.01	0.5		0.2
2011.12.01	0.3		0.4
2011.09.01	0.5		0.6
2011.05.31	0.6		0.9
2011.03.01	0.8		0.7
2010.12.02	0.8		0.7
2010.09.02	0.7		0.4
2010.06.01	0.8		0.7
2010.03.02	0.5		0.3
2009.12.01	0.7		-0.5
2009.09.01	-0.5		-0.8
2009.06.02	-0.9		-1.1
2009.03.03	-1.1		-0.7
2008.12.04	-0.7		0.4
2008.09.02	0.4		0.3
2008.06.02	0.3		0.9
2008.03.04	1.0		
