Date	ActualValue	ForecastValue	PreviousValue
2020.08.28	110.2	101.6	86.0
2020.07.30	85.7	75.0	60.6
2020.06.30	59.4	35.1	49.6
2020.05.29	53.2	13.9	59.7
2020.04.30	63.5	96.7	91.7
2020.03.30	92.9	102.0	101.8
2020.02.28	100.9	100.6	100.1
2020.01.30	100.1	95.0	96.2
2019.12.30	96.4	92.7	92.6
2019.11.29	93.0	93.9	94.8
2019.10.30	94.7	94.6	93.1
2019.09.30	93.2	96.2	95.5
2019.08.30	97.0	93.6	97.0
2019.07.30	97.1	97.9	93.8
2019.06.28	93.6	98.5	93.8
2019.05.29	94.4	95.5	96.2
2019.04.30	96.2	91.9	97.1
2019.03.29	97.4	94.2	93.0
2019.02.28	92.4	94.2	96.2
2019.01.30	95.0	96.8	96.4
2018.12.28	96.3	100.8	98.9
2018.11.30	99.1	99.1	100.2
2018.10.30	100.1	100.2	102.3
2018.09.28	102.2	102.7	98.9
2018.08.30	100.3	103.5	101.7
2018.07.30	101.1	104.0	101.3
2018.06.29	101.7	103.0	100.0
2018.05.30	100.0	103.0	103.3
2018.04.30	105.3	110.7	105.1
2018.03.29	106.0	111.5	108.4
2018.02.28	108.0	103.1	107.6
2018.01.30	106.9	111.3	111.4
2017.12.22	111.3	110.3	110.4
2017.11.30	110.3	106.5	109.8
2017.10.30	109.1		105.8
2017.09.29	105.8		104.2
2017.08.30	104.1		108.0
2017.07.28	106.8		105.8
2017.06.30	105.5		102.0
2017.05.30	101.6		106.3
2017.04.28	106.0		107.2
2017.03.30	107.6		106.9
2017.02.28	107.2		102.0
2017.01.30	101.7		102.1
2016.12.23	102.2		102.2
2016.11.30	102.2		103.9
2016.10.28	104.7		101.6
2016.09.30	101.3		99.7
2016.08.30	99.8		103.5
2016.07.29	102.7		102.6
2016.06.30	102.4		101.8
2016.05.30	102.9		102.6
2016.04.29	102.7		102.8
2016.03.30	102.5		102.6
2016.02.29	102.4		100.4
2016.01.29	100.3		96.8
2015.12.23	96.6		97.3
2015.11.30	97.9		100.4
2015.10.30	99.8		100.3
2015.09.30	100.4		101.2
2015.08.31	100.7		100.4
2015.07.30	99.8		89.8
2015.06.30	89.7		92.7
2015.05.29	93.1		89.8
2015.04.30	89.5		90.9
2015.03.30	90.8		90.3
2015.02.27	90.1		96.1
2015.01.30	97.0		98.8
2014.12.24	98.7		98.9
2014.11.28	98.7		99.5
2014.10.30	99.8		99.3
2014.09.30	99.1		99.6
2014.08.29	99.5		97.9
2014.07.30	98.1		100.5
2014.06.27	100.4		100.1
2014.05.30	99.8		101.8
2014.04.30	102.0		
