Date	ActualValue	ForecastValue	PreviousValue
2019.01.25	38.779	40.108	39.205
2018.12.28	39.403	39.186	39.64
2018.11.26	39.697	38.567	38.712
2018.10.24	38.505	39.393	39.241
2018.09.26	39.402	40.312	39.619
2018.08.24	39.584	40.944	40.33
2018.07.25	40.541	40	39.528
2018.06.26	39.244	40.129	38.327
2018.05.25	38.049	39.183	37.606
2018.04.26	37.567	37.689	38.035
2018.03.26	38.12	36.55	40.031
2018.02.26	40.117	35.928	36.085
2018.01.25	36.115	39.049	39.007
2017.12.28	39.507	41.472	40.417
2017.11.24	40.488	43.457	41.576
2017.10.25	41.584	42.635	41.762
2017.09.26	41.807	42.298	41.644
2017.08.24	41.587	41.804	40.385
2017.07.26	40.2	41.564	40.287
2017.06.26	40.35		40.69
2017.05.25	40.75		40.872
2017.04.28	41.1		42.247
2017.03.24	42.613		44.142
2017.02.24	44.657		43.581
2017.01.26	43.228		41.003
2016.12.28	40.659		40.835
2016.11.24	40.851		38.69
2016.10.26	38.252		37.241
2016.09.26	36.997		37.672
2016.08.24	37.662		39.763
2016.07.26	40.1		41.8
2016.06.24	42.2		40.104
2016.05.26	40.104		43.854
2016.04.26	45.096		45.646
2016.03.24	45.892		46.916
2016.02.24	47.509		43.66
2016.01.27	43.975		44.533
2015.12.24	44.96		45.463
2015.11.25	45.437		44.825
2015.10.26	44.489		46.567
2015.09.24	46.743		46.315
2015.08.26	46		44.8
2015.07.24	44.5		42.5
2015.06.24	42.5		42.1
2015.05.28	42.1		38.8
2015.04.28	38.8		37.3
2015.03.25	37.3		36.4
2015.02.25	36.5		35.7
2015.01.27	35.7		36.7
2014.12.23	36.7		37.1
2014.11.25	37.1		39.3
2014.10.23	39.3		41.6
2014.09.23	41.6		42.8
2014.08.26	42.8		43.3
2014.07.23	43.3		41.8
2014.06.24	41.8		42.2
2014.05.27	42.2		45.9
2014.04.25	45		47.6
2014.03.25	47.6		50
2014.02.25	50		46.5
2014.01.24	47.1		45
2013.12.24	45.4		42.8
2013.11.25	42.8		43
2013.10.23	43.2		38.2
2013.09.24	38.8		37.2
2013.08.23	37.4		37.3
2013.07.23	37.3		36.1
2013.06.25	36.1		32.2
2013.05.24	33		31.2
2013.04.24	31.4		30.5
2013.03.25	30.5		32.3
2013.02.25	32		33.6
2013.01.24	33.6		33.6
2012.12.27	33.6		33
2012.11.23	33.1		31.2
2012.10.23	31.2		30.5
2012.09.25	30.5		28.4
2012.08.23	28.4		26.269
2012.07.24	26.269		30.2
2012.06.27	29.567		32.4
2012.05.24	31.2		31.9
2012.04.26	31.9		33.1
2012.03.23	32.8		38.1
2012.02.23	38		36.2
2012.01.25	36.6		34.7
2011.12.23	34.8		35.3
2011.11.23	35.2		33.1
2011.10.25	33.5		35.2
2011.09.23	35.1		33.7
2011.08.23	33.7		31.7
2011.07.25	32.1		30.8
2011.06.23	30.8		29.4
2011.05.25	29.7		31.7
2011.04.27	31.2		29.9
2011.03.23	30.2		28.9
2011.02.23	29.2		28.7
2011.01.26	28.9		30
2010.12.23	29.7		30.7
2010.11.23	30.4		31.1
2010.10.25	30.8		31.8
2010.09.23	31.6		34.2
2010.08.25	34.056		34.2
2010.07.23	34.273		36.7
2010.06.23	36.002		35.9
2010.05.26	36.032		35
2010.04.27	35.276		33.3
2010.03.23	33.378		35.2
2010.02.23	36.555		45.65
2010.01.26	46.388		45
2009.12.23	43.652		42.5
2009.11.24	41.608		42.1
2009.10.23	41.725		40
2009.09.23	40.667		38.18
2009.08.25	40.763		35.56
2009.07.23	37.34		31.9
2009.06.23	34.034		29
2009.05.27	31.273		26.7
2009.04.27	29.369		31.273
2009.03.24	30.105		24.3
2009.02.24	26.086		22.4
2009.01.26	22.97		17.4
2008.12.23	17.339		21.584
2008.11.25	20.767		23.422
2008.10.23	23.383		21.086
2008.09.23	21.342		22.4
2008.08.26	22.239		21.118
2008.07.23	21.118		27.968
2008.06.24	27.499		38.7
2008.05.27	34.752		35.4
2008.04.23	35.5		43.8
2008.03.27	43.1		44.3
2008.02.25	43.7		42.1
2008.01.24	43.3		44.8
2007.12.27	43.9		44.1
