Date	ActualValue	ForecastValue	PreviousValue
2020.11.12	-20.7	-27.9	-26.1
2020.09.30	-26.1	-31.3	-31.3
2020.08.12	-31.3	0.8	0.8
2020.06.30	0.8	0.7	0.7
2020.05.13	0.7	1.2	1.8
2020.03.31	1.8	0.9	0.9
2020.02.11	0.9	0.8	1.3
2019.12.20	0.5	-0.6	-0.6
2019.11.11	-0.6	-1.4	-1.4
2019.09.30	-1.4	-1.6	-1.6
2019.08.09	-1.6	-0.7	-1.5
2019.06.28	-1.5	-1.4	-1.4
2019.05.10	-1.4	-2.9	-2.5
2019.03.29	-2.5	-3.7	-3.7
2019.02.11	-3.7	-2.9	-1.9
2018.12.21	-1.8	-2.0	-1.9
2018.11.09	-1.9	0.0	-0.2
2018.09.28	-0.2	1.0	0.8
2018.08.10	0.8	1.6	2.0
2018.06.29	2.0	2.0	2.0
2018.05.25	2.0	2.3	2.6
2018.03.29	2.6	1.9	2.1
2018.02.22	2.1	0.0	1.9
2017.12.22	1.7		1.3
2017.11.23	1.3		2.5
2017.09.29	2.5	0.3	0.0
2017.08.24	0.0	0.7	0.7
2017.06.30	0.7		-0.9
2017.05.25	0.8		-0.9
2017.03.31	-0.9		-0.9
2017.02.22	-0.9		-2.2
2016.12.23	-2.2		-1.6
2016.11.25	-1.6		-0.8
2016.09.30	-0.8		-1.9
2016.08.26	-0.8		-0.8
2016.06.30	-0.8		-0.4
2016.05.26	-0.4		3.0
2016.03.31	3.0		2.4
2016.02.25	2.4		4.5
2015.12.23	5.8		6.6
2015.11.27	6.6		3.1
2015.09.30	3.1		5.0
2015.08.28	5.0		5.7
2015.06.30	5.7		3.7
2015.05.28	3.7		3.7
2015.03.31	3.7		6.3
2015.02.26	2.1		5.2
2014.12.23	7.4		11.0
2014.11.26	6.3		10.7
2014.09.30	10.7		10.6
2014.06.27	6.7		8.7
2014.05.22	8.7		8.7
2014.03.28	8.7		8.5
2014.02.26	8.5		-5.3
2013.12.20	-5.3		-6.3
2013.11.27	-6.3		-8.5
2013.09.26	-8.5		-3.5
2013.08.23	-3.5		-16.5
2013.06.27	-16.5		0.7
2013.05.23	0.7		0.8
2013.03.27	0.8		0.4
2013.02.27	0.4		5.1
2012.12.21	5.1		4.5
2012.11.27	4.5		3.1
2012.09.27	3.1		-1.5
2012.08.24	-1.5		6.6
2012.06.28	1.9		14.2
2012.05.24	14.2		1.6
2012.03.28	1.6		4.3
2012.02.24	-2.0		-2.0
2011.12.22	-2.0		0.3
2011.11.24	0.3		3.8
2011.10.05	3.8		2.7
2011.06.28	2.7		-3.2
2011.05.25	-3.2		12.2
2011.03.29	12.2		10.0
2011.02.25	10.0		8.9
2010.12.22	8.9		1.9
2010.11.24	4.6		4.6
2010.09.28	4.6		-7.7
2010.06.30	-7.7		-11.0
2010.05.21	-11.0		-23.5
2010.03.26	-23.5		-24.1
2010.02.25	-24.1		-19.9
2009.12.18	-19.9		-21.8
2009.11.24	-21.7		-21.7
2009.09.25	-21.7		-18.4
2009.08.27	-18.4		-9.7
2009.06.30	-9.7		-6.8
2009.05.21	-6.8		-4.5
2009.03.26	-4.5		-7.7
2009.02.24	-7.7		-0.1
2008.12.19	-0.1		-0.5
2008.11.25	-0.5		1.2
2008.09.30	1.2		1.9
2008.08.21	1.9		4.5
2008.06.26	4.5		3.7
2008.05.22	3.7		5.3
2008.03.27	5.3		2.2
2008.02.26	2.2		6.6
2007.12.18	6.6		4.6
2007.11.22	4.6		
