Date	ActualValue	ForecastValue	PreviousValue
2020.07.10	-16.4		-21
2020.07.06	-21		-18.5
2020.06.26	-18.5		-16
2020.06.19	-16		-24
2020.06.12	-24		-36
2020.06.05	-36		-22.3
2020.05.29	-22.3		-19
2020.05.22	-19		-13.7
2020.05.15	-13.7		-12
2020.05.08	-12		-6.7
2020.05.01	-6.7		-1.4
2020.04.24	-1.4		3.2
2020.04.17	3.2		3.7
2020.04.10	3.7		5
2020.04.03	5		10.9
2020.03.27	10.9		18.6
2020.03.20	18.6		26.3
2020.03.13	26.3		35.2
2020.03.06	35.2		29.6
2020.02.28	29.6		29.3
2020.02.21	29.3		21.1
2020.02.14	21.1		13
2020.02.07	13		17.7
2020.01.31	17.7		24.9
2020.01.24	24.9		31.5
2020.01.17	31.5		16.5
2020.01.10	16.5		12.4
2020.01.06	12.4		8.7
2019.12.30	8.7		-5.8
2019.12.20	-5.8		-22.6
2019.12.13	-22.6		-30.1
2019.12.06	-30.1		-36.6
2019.12.02	-36.6		-31.9
2019.11.22	-31.9		-28.1
2019.11.15	-28.1		-29
2019.11.08	-29		-32.4
2019.11.01	-32.4		-52.4
2019.10.25	-52.4		-73
2019.10.18	-73		-73.2
2019.10.11	-73.2		-77.1
2019.10.04	-77.1		-80.8
2019.09.27	-80.8		-86.1
2019.09.20	-86.1		-92.2
2019.09.13	-92.2		-85
2019.09.06	-85		-89
2019.08.30	-89		-92.4
2019.08.23	-92.4		-95.8
2019.08.16	-95.8		-102.7
2019.08.09	-102.7		-90.2
2019.08.02	-90.2		-78.6
2019.07.26	-78.6		-76.4
2019.07.19	-76.4		-73
2019.07.12	-73		-64.2
2019.07.08	-64.2		-58.9
2019.06.28	-58.9		-52.6
2019.06.21	-52.6		-44.8
2019.06.14	-44.8		-47.8
2019.06.07	-47.8		-32
2019.05.31	-32		-26.2
2019.05.24	-26.2		-3.3
2019.05.17	-3.3		-6.9
2019.05.10	-6.9		-4.7
2019.05.03	-4.7		-1.8
2019.04.26	-1.8		0.9
2019.04.19	0.9		-6.5
2019.04.12	-6.5		-9.9
2019.04.05	-9.9		-8.6
2019.03.29	-8.6		-13.8
2019.03.22	-13.8		-36.7
2019.03.15	-36.7		-34.9
2019.03.08	-34.9		-39.3
2019.03.05	-39.3		-47.5
2019.03.01	-47.5		-42.9
2019.02.26	-42.9		-33.7
2019.02.22	-33.7		-35.2
2019.02.19	-35.2		-52.1
2019.02.15	-52.1		-60.5
2019.02.12	-60.5		-60.1
2019.02.08	-60.1		-56.9
2019.02.05	-56.9		-56.5
2019.02.01	-56.5		-60.7
2018.12.21	-60.7		-42.4
2018.12.14	-42.4		-39.8
2018.12.10	-39.8		-39.2
2018.11.30	-39.2		-43.5
2018.11.26	-43.5		-47.1
2018.11.16	-47.1		-56.8
2018.11.09	-56.8		-52.5
2018.11.02	-52.5		-47
2018.10.26	-47		-50.4
2018.10.19	-50.4		-60.5
2018.10.12	-60.5		-59.3
2018.10.05	-59.3		-67.1
2018.09.28	-67.1		-79.3
2018.09.21	-79.3		-61.2
2018.09.14	-61.2		-69.6
2018.09.07	-69.6		-76.9
2018.08.31	-76.9		-72.3
2018.08.24	-72.3		-60.7
2018.08.17	-60.7		-58.9
2018.08.10	-58.9		-47.4
2018.08.03	-47.4		-46.7
2018.07.27	-46.7		-38.8
2018.07.20	-38.8		-40.4
2018.07.13	-40.4		-28.8
2018.07.09	-28.8		-21.6
2018.06.29	-21.6		-19.2
2018.06.22	-19.2		11
2018.06.15	11		7.3
2018.06.08	7.3		9.5
2018.06.01	9.5		5.7
2018.05.25	5.7		5.6
