Date	ActualValue	ForecastValue	PreviousValue
2022.02.11	7.4	5.0	3.6
2022.01.14	6.8	5.2	4.3
2021.12.10	3.3	8.6	7.2
2021.11.11	7.2	9.4	9.3
2021.10.13	10.1	19.3	13.1
2021.09.10	8.6	45.1	30.0
2021.08.12	30.0	75.1	57.6
2021.07.09	56.5	91.3	79.4
2021.06.11	77.9	0.8	6.0
2021.05.12	6.0	-3.6	-3.3
2021.04.13	-4.3	-3.4	-6.5
2021.03.12	-3.0	-2.6	-3.9
2021.02.12	-3.9	-4.4	-2.0
2021.01.15	-1.4	-8.7	-2.2
2020.12.10	-7.5	-11.5	-10.0
2020.11.12	-10.0	-13.0	-12.2
2020.10.09	-13.0	-18.9	-15.6
2020.09.11	-12.8	-30.1	-24.8
2020.08.12	-24.8	-44.5	-40.0
2020.07.14	-39.7	-48.6	-44.3
2020.06.12	-44.0	-4.1	-7.1
2020.05.13	-7.1	0.4	-2.8
2020.04.09	-2.7	1.3	0.5
2020.03.11	1.6	4.5	5.0
2020.02.11	5.0	2.1	2.6
2020.01.13	2.0	-2.8	-0.3
2019.12.10	-2.1	-2.3	0.5
2019.11.11	0.5	-0.1	1.8
2019.10.10	2.4	1.5	1.9
2019.09.09	0.3	1.7	-0.2
2019.08.09	-0.2	3.4	1.3
2019.07.10	1.7	3.4	3.1
2019.06.10	2.4	6.2	3.2
2019.05.10	3.2	6.0	3.2
2019.04.10	3.3	1.7	2.2
2019.03.12	1.8	1.3	-2.4
2019.02.11	-2.4	1.7	1.8
2019.01.11	3.0	3.5	4.1
2018.12.10	3.8	1.9	3.0
2018.11.09	3.0	0.3	0.5
2018.10.10	0.3	1.8	2.8
2018.09.10	3.5	-2.4	2.2
2018.08.10	2.2	-1.7	1.5
2018.07.10	1.6	-4.5	-1.2
2018.06.11	-3.3	-3.4	-4.9
2018.05.10	-4.9	-4.0	-1.8
2018.04.11	-3.0	0.1	-2.1
2018.03.09	-3.9	-0.3	-0.2
2018.02.09	-0.2	1.1	0.8
2018.01.10	0.4	0.1	1.3
2017.12.08	-0.2	1.7	1.1
2017.11.10	1.1	1.2	3.9
2017.10.10	3.5	-0.3	2.7
2017.09.08	-0.4	2.9	0.9
2017.08.10	0.9	1.2	0.5
2017.07.07	-0.3		-0.1
2017.06.09	-0.6		4.3
2017.05.11	2.4		0.9
2017.04.07	0.5		2.3
2017.03.10	2.0		2.6
2017.02.10	0.6		1.8
2017.01.11	1.5		0.7
2016.12.09	0.7		2.5
2016.11.11	0.2		0.8
2016.10.14	0.8		-0.8
2016.09.09	-0.8		-0.7
2016.08.12	-0.7		0.3
2016.07.15	0.3		1.7
2016.06.20	1.7		-1.2
2016.05.20	-1.2		3.4
2016.04.10	3.4		1.7
2016.03.12	1.7		4.3
2016.02.10	4.3		1.1
2016.01.10	1.1		4.0
2015.12.11	4.0		2.0
2015.11.10	2.0		1.3
2015.10.11	1.3		5.3
2015.09.10	5.3		6.3
2015.08.10	6.3		6.4
2015.07.11	6.4		6.3
2015.06.10	6.3		7.7
2015.05.11	7.7		7.0
2015.04.10	7.0		7.5
2015.03.13	7.5		7.7
2015.02.10	7.7		8.7
2015.01.10	8.7		5.2
2014.12.11	5.2		8.4
2014.11.10	8.4		7.4
2014.10.11	7.4		9.2
2014.09.10	9.2		7.1
2014.08.10	7.1		8.7
2014.07.11	8.7		9.9
2014.06.10	9.9		8.7
2014.05.11	8.7		6.5
2014.04.10	6.5		10.6
2014.03.13	10.6		6.1
2014.02.10	6.1		3.7
2014.01.10	3.7		6.9
2013.12.11	6.9		5.7
2013.11.10	5.7		6.5
2013.10.11	6.5		2.9
2013.09.10	2.9		4.7
2013.08.10	4.7		-1.4
2013.07.11	-1.4		-1.6
2013.06.10	-1.6		-4.7
2013.05.11	-4.7		-2.9
2013.04.10	-2.9		-7.2
2013.03.13	-7.2		-11.1
2013.02.10	-11.1		-6.2
2013.01.10	-6.2		-6.2
2012.12.11	-6.2		-8.3
2012.11.10	-8.3		-7.8
2012.10.11	-7.8		-9.6
2012.09.10	-9.6		-11.0
2012.08.10	-11.0		-5.8
2012.07.11	-5.8		-6.5
2012.06.10	-6.5		-4.0
2012.05.11	-4.0		-3.8
2012.04.10	-3.8		-2.1
2012.03.12	-2.1		7.1
2012.02.10	7.1		-0.1
2012.01.10	-0.1		-2.0
2011.12.11	-2.0		-1.3
2011.11.10	-1.3		-3.8
2011.10.11	-3.8		1.9
2011.09.10	1.9		1.3
2011.08.10	1.3		0.9
2011.07.11	0.9		3.5
2011.06.10	3.5		5.6
2011.05.11	5.6		4.8
2011.04.10	4.8		10.0
2011.03.13	10.0		
