Date	ActualValue	ForecastValue	PreviousValue
2020.06.19	-9.8	-14.3	-18.5
2020.05.22	-18.4	-1.8	-4.2
2020.04.24	-4.1	0.8	0.4
2020.03.26	0.5	0.9	1.3
2020.02.20	1.2	0.7	0.7
2020.01.17	0.7	2.0	0.6
2019.12.19	0.8	2.3	2.7
2019.11.14	2.7	2.6	2.9
2019.10.17	3.0	2.5	2.2
2019.09.19	2.2	3.3	3.1
2019.08.15	2.9	2.9	3.6
2019.07.18	3.6	3.5	2.0
2019.06.20	2.2	5.6	4.7
2019.05.24	4.9	5.1	6.3
2019.04.18	6.2	4.0	3.8
2019.03.21	3.8	3.4	4.0
2019.02.15	4.1	3.2	2.9
2019.01.18	2.6	3.3	3.5
2018.12.20	3.8	3.0	2.8
2018.11.15	2.7	3.4	3.6
2018.10.18	3.2	3.6	3.6
2018.09.20	3.5	3.6	4.0
2018.08.16	3.7	2.9	2.9
2018.07.19	3.0	2.1	4.5
2018.06.14	4.4	1.2	1.4
2018.05.24	1.5	1.8	1.3
2018.04.19	1.1	2.0	1.2
2018.03.22	1.1	2.9	1.3
2018.02.16	1.5	1.0	1.3
2018.01.19	1.3	2.7	1.5
2017.12.14	1.5	1.1	0.0
2017.11.16	-0.3	2.2	1.6
2017.10.19	1.6	1.9	2.6
2017.09.20	2.8	0.8	1.7
2017.08.17	1.5	2.0	2.8
2017.07.20	3.0	2.0	0.6
2017.06.15	0.6		4.6
2017.05.18	4.5		2.8
2017.04.21	2.6		4.1
2017.03.23	4.1		2.1
2017.02.17	2.6		4.7
2017.01.20	4.9		6.4
2016.12.15	6.6		7.5
2016.11.17	7.6		4.0
2016.10.20	4.0		6.2
2016.09.15	5.9		5.8
2016.08.18	5.4		3.9
2016.07.21	3.9		5.2
2016.06.16	5.7		4.8
2016.05.19	4.2		2.6
2016.04.21	1.8		3.7
2016.03.24	4.1		5.1
2016.02.19	5.0		1.8
2016.01.22	2.1		3.4
2015.12.17	3.9		3.2
2015.11.19	3.0		5.7
2015.10.22	5.9		3.2
2015.09.17	3.5		4.1
2015.08.20	4.3		4.1
2015.07.23	4.2		4.5
2015.06.18	4.4		4.6
2015.05.21	4.7		4.8
2015.04.23	5.0		5.1
2015.03.26	4.8		4.8
2015.02.20	5.2		4.2
2015.01.23	4.2		6.9
2014.12.18	6.8		4.6
2014.11.20	4.9		3.1
2014.10.23	2.8		4.5
2014.09.18	4.4		3.4
2014.08.21	3.3		4.0
2014.07.24	3.8		4.7
2014.06.19	4.5		7.7
2014.05.21	7.4		4.2
2014.04.25	4.9		4.2
2014.03.27	3.9		4.8
2014.02.21	4.4		6.1
2014.01.17	6.1		2.3
2013.12.19	2.1		2.3
2013.11.14	2.3		2.8
2013.10.17	2.5		2.3
2013.09.19	2.3		3.1
2013.08.15	3.2		2.1
2013.07.18	2.1		2.1
2013.06.20	2.3		0.2
2013.05.22	0.2		0.4
2013.04.18	0.4		3.3
2013.03.21	3.2		0.2
2013.02.15	0.5		1.1
2013.01.18	0.8		2.0
2012.12.20	2.0		1.1
2012.11.15	1.4		2.9
2012.10.18	2.7		3.1
2012.09.20	2.9		3.3
2012.08.16	2.8		2.2
2012.07.19	3.3		3.0
2012.06.21	2.7		-0.3
2012.05.23	-0.3		2.8
2012.04.20	2.7		1.0
2012.03.22	1.0		1.9
2012.02.17	1.1		1.7
2012.01.20	1.4		0.5
2011.12.15	0.0		0.9
2011.11.17	1.1		0.3
2011.10.20	0.3		-0.1
2011.09.15	-1.0		-0.2
2011.08.18	0.0		0.2
2011.07.21	0.2		0.0
2011.06.16	-0.2		2.7
2011.05.19	2.3		
