Date	ActualValue	ForecastValue	PreviousValue
2020.10.22		-26	-25
2020.09.24	-25	-27	-27
2020.08.20	-27	-29	-27
2020.07.23	-27	-25	-30
2020.06.18	-30	-14	-34
2020.05.21	-34	-10	-34
2020.04.23	-34	-10	-9
2020.03.30	-9	-12	-7
2020.02.28	-7	-6	-9
2020.01.31	-9	-13	-11
2019.12.20	-11	-13	-14
2019.11.29	-14	-12	-14
2019.10.31	-14	-11	-12
2019.09.26	-12	-11	-14
2019.08.29	-14		-11
2019.07.30	-11		-13
2019.06.27	-13		-10
2019.05.30	-10		-13
2019.04.29	-13		-13
2019.03.29	-13		-13
2019.02.28	-13		-14
2019.01.31	-14		-14
2018.12.21	-14		-13
2018.11.30	-13		-10
2018.10.31	-10		-9
2018.09.27	-9		-7
2018.08.30	-7		-10
2018.07.30	-10		-9
2018.06.28	-9		-7
2018.05.30	-7		-9
2018.04.26	-9		-7
2018.03.28	-7		-10
2018.02.28	-10		-9
2018.01.31	-9		-13
2017.12.21	-13		-12
2017.11.30	-12		-10
2017.10.31	-10		-9
2017.09.28	-9		-10
2017.08.30	-10		-12
2017.07.27	-12		-10
2017.06.29	-10		-5
2017.05.30	-5		-7
2017.04.27	-7		-6
2017.03.30	-6		-6
2017.02.28	-6		-5
2017.01.31	-5		-7
2016.12.22	-7		-8
2016.11.30	-8		-3
2016.10.28	-3		-1
2016.09.29	-1		-7
2016.08.30	-7		-12
2016.07.28	-12		-9
2016.07.07	-9		-1
2016.06.29	-1		-1
2016.05.26	-1		-3
2016.04.28	-3		0
2016.03.30	0		0
2016.02.26	0		4
2016.01.29	4		2
2015.12.22	2		1
2015.11.27	1		2
2015.10.30	2		3
2015.09.29	3		7
2015.08.27	7		4
2015.07.30	4		7
2015.06.29	7		1
2015.05.28	1		4
2015.04.29	4		4
2015.03.30	4		1
2015.02.27	1		1
2015.01.30	1		-4
2014.12.19	-4		-2
2014.11.28	-2		-2
2014.10.31	-2		-1
2014.09.29	-1		1
2014.08.28	1		-2
2014.07.30	-2		1
2014.06.26	1		0
2014.05.29	0		-3
2014.04.29	-3		-5
2014.03.28	-5		-7
2014.02.28	-7		-7
2014.01.31	-7		-13
2013.12.19	-13		-12
2013.11.29	-12		-11
2013.10.31	-11		-10
2013.09.26	-10		-13
2013.08.29	-13		-16
2013.07.30	-16		-21
2013.06.27	-21		-22
2013.05.30	-22		-27
2013.04.29	-27		-26
2013.03.28	-26		-26
2013.02.28	-26		-26
2013.01.31	-26		-29
2012.12.21	-29		-22
2012.11.30	-22		-30
2012.10.31	-30		-28
2012.09.27	-28		-29
2012.08.30	-29		-29
2012.07.30	-29		-29
2012.06.28	-29		-29
2012.05.30	-29		-31
2012.04.26	-31		-31
2012.03.29	-31		-29
2012.02.29	-29		-29
2012.01.31	-29		-33
2011.12.21	-33		-31
2011.11.30	-31		-32
2011.10.27	-32		-30
2011.09.29	-30		-31
2011.08.30	-31		-30
2011.07.28	-30		-25
2011.06.29	-25		-21
2011.05.26	-21		-31
2011.04.27	-31		-28
2011.03.30	-28		-28
2011.02.25	-28		-29
2011.01.28	-29		-21
2010.12.21	-21		-21
2010.11.30	-21		-19
2010.10.28	-19		-20
2010.09.29	-20		-18
2010.08.30	-18		-22
2010.07.29	-22		-19
2010.06.29	-19		-18
2010.05.27	-18		-16
2010.04.29	-16		-15
2010.03.30	-15		-14
2010.02.26	-14		-17
2010.01.29	-17		-19
2009.12.18	-19		-17
2009.11.30	-17		-13
2009.10.30	-13		-16
2009.09.29	-16		-25
2009.08.27	-25		-25
2009.07.30	-25		-25
2009.06.29	-25		-27
2009.05.28	-27		-27
2009.04.29	-27		-30
2009.03.30	-30		-35
2009.02.27	-35		-37
2009.01.30	-37		-33
2008.12.19	-33		-35
2008.11.28	-35		-36
2008.10.31	-36		-32
2008.09.29	-32		-36
2008.08.28	-36		-39
2008.07.30	-39		-34
2008.06.29	-34		-29
2008.05.29	-29		-24
2008.04.29	-24		-19
2008.03.28	-19		-17
2008.02.28	-17		
