Date	ActualValue	ForecastValue	PreviousValue
2020.06.05	2.6	2.8	2.7
2020.05.07	2.7	2.9	3.0
2020.04.07	3.0	3.4	2.8
2020.03.06	2.8	4.0	4.1
2020.02.07	4.1	3.0	4.0
2020.01.08	4.0	1.5	2.1
2019.12.06	2.1	1.0	0.9
2019.11.07	0.9	1.4	1.1
2019.10.07	1.1	2.9	1.8
2019.09.06	1.8	4.9	1.5
2019.08.07	4.1	5.4	5.7
2019.07.05	5.7	5.1	5.2
2019.06.07	5.2	3.8	5.0
2019.05.08	5.0	1.3	2.6
2019.04.05	2.6	1.0	2.8
2019.03.07	2.8	1.0	0.8
2019.02.07	0.8	1.7	1.3
2019.01.08	1.3	2.0	0.3
2018.12.07	0.3	4.0	1.5
2018.11.07	1.5	4.0	2.5
2018.10.05	2.5	3.8	3.7
2018.09.07	3.7	2.5	3.3
2018.08.07	3.3	1.3	1.8
2018.07.06	1.8	1.0	1.9
2018.06.07	1.9	2.4	2.2
2018.05.08	2.2	2.2	2.7
2018.04.09	2.7	3.1	1.8
2018.03.07	1.8	2.4	2.2
2018.02.07	2.2	3.3	2.7
2018.01.08	2.7	4.8	3.9
2017.12.07	3.9	4.0	4.5
2017.11.07	4.5	3.8	4.0
2017.10.06	4.0	2.3	2.6
2017.09.07	2.6	2.3	2.1
2017.08.07	2.1	2.9	2.6
2017.07.07	2.6		3.3
2017.06.07	3.3		3.8
2017.05.08	3.8		3.8
2017.04.07	3.8		5.1
2017.03.07	5.1		2.4
2017.02.07	2.4		6.5
2017.01.09	6.5		6.0
2016.12.07	6.0		5.2
2016.11.07	5.2		5.8
2016.10.07	5.8		6.9
2016.09.07	6.9		8.4
2016.08.05	8.4		8.4
2016.07.07	8.4		9.2
2016.06.07	9.2		9.2
2016.05.09	9.2		10.1
2016.04.07	10.1		9.7
2016.03.03	9.7		9.7
2016.02.04	9.7		9.5
2016.01.07	9.5		9.0
2015.12.08	9.0		9.7
2015.11.05	9.7		8.6
2015.10.06	8.6		9.0
2015.09.10	9.0		7.8
2015.08.06	7.9		9.6
2015.07.08	9.6		8.6
2015.06.05	8.6		8.5
2015.05.08	8.5		8.1
2015.04.09	8.1		8.3
2015.03.05	8.3		8.5
2015.02.05	8.5		7.8
2015.01.08	7.8		8.2
2014.12.04	8.1		8.8
2014.11.06	8.8		9.6
2014.10.08	9.6		9.7
2014.09.08	9.7		10.2
2014.08.06	10.2		8.8
2014.07.09	8.8		8.7
2014.06.05	8.7		8.5
2014.05.08	8.5		8.7
2014.04.04	8.7		7.9
2014.03.06	7.9		7.3
2014.02.06	7.3		7.5
2014.01.08	7.5		7.7
2013.12.06	7.7		6.9
2013.11.06	6.9		6.2
2013.10.03	6.2		5.4
2013.09.06	5.4		4.6
2013.08.06	4.6		3.7
2013.07.04	3.7		2.6
2013.06.06	2.6		2.0
2013.05.08	2.0		1.1
2013.04.05	1.1		1.9
2013.03.06	1.9		1.3
2013.02.06	1.3		-0.3
2013.01.07	-0.3		-1.3
2012.12.06	-1.3		-1.7
2012.11.06	-1.7		-1.2
2012.10.04	-1.2		-0.9
2012.09.06	-0.9		-0.6
2012.08.06	-0.6		-0.5
2012.07.05	-0.5		-0.1
2012.06.07	-0.1		-0.5
2012.05.04	-0.5		-0.6
2012.04.04	-0.6		-1.9
2012.03.06	-1.9		-1.8
2012.02.06	-1.8		-1.3
2012.01.06	-1.3		-1.0
2011.12.06	-1.0		-1.8
2011.11.07	-1.8		-2.3
2011.10.06	-2.3		-2.6
2011.09.07	-2.6		-2.6
2011.08.05	-2.6		-3.5
2011.07.06	-3.5		-4.2
2011.06.07	-4.2		-3.7
2011.05.09	-3.7		-2.9
2011.04.06	-2.9		-2.8
2011.03.04	-2.8		-2.4
2011.02.04	-2.4		-0.7
2011.01.10	-1.6		-1.6
2010.12.09	-1.6		1.2
2010.11.04	1.2		2.6
2010.10.07	2.6		4.6
2010.09.08	4.6		4.9
2010.08.04	4.9		6.3
2010.07.08	6.3		6.9
2010.06.04	6.9		6.6
2010.05.07	6.6		5.2
2010.04.08	5.2		4.5
2010.03.04	4.5		3.6
2010.02.04	3.6		1.1
2010.01.07	1.1		-1.6
2009.12.08	-1.6		-4.7
2009.11.03	-4.7		-7.4
2009.10.06	-7.4		-10.1
2009.09.10	-10.1		-12.1
2009.08.05	-12.1		-15.0
2009.07.08	-15.0		-16.3
2009.06.04	-16.3		-17.7
2009.05.06	-17.7		-17.5
2009.04.03	-17.5		-17.7
2009.03.05	-17.7		-17.2
2009.02.05	-17.2		-16.2
2009.01.02	-16.2		-14.9
2008.12.04	-14.9		-13.7
2008.11.06	-13.7		-12.4
2008.10.09	-12.4		-10.9
2008.09.04	-10.9		-8.8
2008.08.07	-8.8		-6.1
2008.07.10	-6.1		-3.8
2008.06.05	-3.8		-0.9
2008.05.02	-0.9		1.1
2008.04.08	1.1		4.2
2008.03.06	4.2		4.5
2008.02.05	4.5		5.2
2008.01.08	5.2		6.3
2007.12.05	6.3		8.9
2007.11.07	8.9		
