Date	ActualValue	ForecastValue	PreviousValue
2020.08.21	60.1	56.5	56.5
2020.08.05	56.5	56.6	56.6
2020.07.24	56.6	47.0	47.1
2020.07.03	47.1	47.0	47.0
2020.06.23	47.0	28.3	29.0
2020.06.03	29.0	27.8	27.8
2020.05.21	27.8	12.8	13.4
2020.05.05	13.4	12.3	12.3
2020.04.23	12.3	35.0	34.5
2020.04.03	34.5	35.7	35.7
2020.03.24	35.7	53.2	53.2
2020.03.04	53.2	53.3	53.3
2020.02.21	53.3	53.4	53.9
2020.02.05	53.9	52.9	52.9
2020.01.24	52.9	49.4	50.0
2020.01.06	50.0	49.0	49.0
2019.12.16	49.0	48.9	49.3
2019.12.04	49.3	48.6	48.6
2019.11.22	48.6	49.7	50.0
2019.11.05	50.0	50.0	49.5
2019.10.03	49.5	50.9	50.6
2019.09.04	50.6	50.7	51.4
2019.08.05	51.4	50.5	50.2
2019.07.03	50.2	50.6	51.0
2019.06.05	51.0	49.6	50.4
2019.05.03	50.4	50.0	48.9
2019.04.03	48.9	50.6	51.3
2019.03.05	51.3	50.6	50.1
2019.02.05	50.1	50.7	51.2
2019.01.04	51.2	51.2	50.4
2018.12.05	50.4	53.0	52.2
2018.11.05	52.2	54.1	53.9
2018.10.03	53.9	53.9	54.3
2018.09.05	54.3	54.3	53.5
2018.08.03	53.5	54.5	55.1
2018.07.04	55.1	53.4	54.0
2018.06.05	54.0	52.2	52.8
2018.05.03	52.8	53.0	51.7
2018.04.05	51.7	53.7	54.5
2018.03.05	54.5	53.5	53.0
2018.02.05	53.0	53.8	54.2
2018.01.04	54.2	53.9	53.8
2017.12.05	53.8	54.1	55.6
2017.11.03	55.6	54.3	53.6
2017.10.04	53.6	54.8	53.2
2017.09.05	53.2	55.4	53.8
2017.08.03	53.8	53.6	53.4
2017.07.05	53.4		53.8
2017.06.05	53.8		55.8
2017.05.04	55.8		55.0
2017.04.05	55.0		53.3
2017.03.03	53.3		54.5
2017.02.03	54.5		56.2
2017.01.05	56.2		55.2
2016.12.05	55.2		54.5
2016.11.03	54.5		52.6
2016.10.05	52.6		52.9
2016.09.05	52.9		47.4
2016.08.03	47.4		52.3
2016.07.05	52.3		53.5
2016.06.03	53.5		52.3
2016.05.05	52.3		53.7
2016.04.05	53.7		52.7
2016.03.03	52.7		55.6
2016.02.03	55.6		55.5
2016.01.06	55.5		55.9
2015.12.03	55.9		54.9
2015.11.04	54.9		53.3
2015.10.05	53.3		55.6
2015.09.03	55.6		57.4
2015.08.05	57.4		58.5
2015.07.03	58.5		56.5
2015.06.03	56.5		59.5
2015.05.06	59.5		58.9
2015.04.07	58.9		56.7
2015.03.04	56.7		57.2
2015.02.04	57.2		55.8
2015.01.06	55.8		58.6
2014.12.03	58.6		56.2
2014.11.05	56.2		58.7
2014.10.03	58.7		60.5
2014.09.03	60.5		59.1
2014.08.05	59.1		57.7
2014.07.03	57.7		58.6
2014.06.04	58.6		58.7
2014.05.06	58.7		57.6
2014.04.03	57.6		58.2
2014.03.05	58.2		58.3
2014.02.05	58.3		58.8
2014.01.06	58.8		60.0
2013.12.04	60.0		62.5
2013.11.05	62.5		60.3
2013.10.03	60.3		60.5
2013.09.04	60.5		60.2
2013.08.05	60.2		56.9
2013.07.03	56.9		54.9
2013.06.05	54.9		52.9
2013.05.03	52.9		52.4
2013.04.04	52.4		51.8
2013.03.05	51.8		51.5
2013.02.05	51.5		48.9
2013.01.04	48.9		50.2
2012.12.05	50.2		50.6
2012.11.05	50.6		52.2
2012.10.03	52.2		53.7
2012.09.04	53.7		51.0
2012.08.03	51.0		51.3
2012.07.04	51.3		53.3
2012.06.07	53.3		53.3
2012.05.03	53.3		55.3
2012.04.04	55.3		53.8
2012.03.05	53.8		56.0
2012.02.03	56.0		54.0
2012.01.05	54.0		52.1
2011.12.05	52.1		51.3
2011.11.03	51.3		52.9
2011.10.05	52.9		51.1
2011.09.05	51.1		55.4
2011.08.03	55.4		53.9
2011.07.05	53.9		53.8
2011.06.03	53.8		54.3
2011.05.05	54.3		57.1
2011.04.05	57.1		52.6
2011.03.03	52.6		54.5
2011.02.03	54.5		49.7
2011.01.06	49.7		53.0
2010.12.03	53.0		53.2
2010.11.03	53.2		52.8
2010.10.05	52.8		51.3
2010.09.03	51.3		53.1
2010.08.04	53.1		54.4
2010.07.05	54.4		55.4
2010.06.03	55.4		55.3
2010.05.06	55.3		56.5
2010.04.07	56.5		58.4
2010.03.03	58.4		54.5
2010.02.03	54.5		56.8
2010.01.06	56.8		56.6
2009.12.03	56.6		56.9
2009.11.04	56.9		55.3
2009.10.05	55.3		54.1
2009.09.03	54.1		53.2
2009.08.05	53.2		51.6
2009.07.03	51.6		51.7
2009.06.03	51.7		48.7
2009.05.06	48.7		45.5
2009.04.03	45.5		43.2
2009.03.04	43.2		42.5
2009.02.04	42.5		40.2
2009.01.06	40.2		40.1
2008.12.03	40.1		42.4
2008.11.05	42.4		46.0
2008.10.03	46.0		49.2
2008.09.03	49.2		47.4
2008.08.05	47.4		47.1
2008.07.03	47.1		49.8
2008.06.04	49.8		50.4
2008.05.06	50.4		52.1
2008.04.03	52.1		54.0
2008.03.05	54.0		52.5
2008.02.05	52.5		52.9
2008.01.04	52.4		51.9
2007.12.05	51.9		53.1
2007.11.05	53.1		56.7
2007.10.03	56.7		57.6
2007.09.05	57.6		57.0
2007.08.03	57.0		57.7
2007.07.04	57.7		57.2
2007.06.05	57.2		57.2
2007.05.03	57.2		57.6
2007.04.04	57.6		57.4
2007.03.05	57.4		
