Date	ActualValue	ForecastValue	PreviousValue
2020.06.12	-17.6	-15.7	-10.3
2020.05.13	-11.8	-13.2	-2.0
2020.04.09	-4.8	0.3	0.1
2020.03.11	0.2	0.1	0.0
2020.02.11	0.0	0.2	0.0
2020.01.13	0.0	-0.3	0.1
2019.12.10	0.0	-0.1	0.0
2019.11.11	0.1	0.5	0.3
2019.10.10	0.5	0.1	0.3
2019.09.09	0.1	0.1	0.0
2019.08.09	-0.1	-0.2	-0.2
2019.07.10	-0.1	-0.1	0.3
2019.06.10	0.1	0.5	0.3
2019.05.10	0.4	0.5	0.5
2019.04.10	0.4	0.0	0.3
2019.03.12	0.1	0.1	0.2
2019.02.11	0.2	0.3	0.2
2019.01.11	0.3	0.2	0.3
2018.12.10	0.3	0.3	0.4
2018.11.09	0.4	0.7	0.6
2018.10.10	0.7	0.7	0.7
2018.09.10	0.6	0.7	0.6
2018.08.10	0.5	0.4	0.4
2018.07.10	0.4	0.3	0.2
2018.06.11	0.2	0.4	0.0
2018.05.10	0.1	0.4	0.1
2018.04.11	0.2	0.3	0.1
2018.03.09	0.3	0.3	0.4
2018.02.09	0.5	0.3	0.5
2018.01.10	0.6	0.3	0.6
2017.12.08	0.5	0.3	0.5
2017.11.10	0.5	0.3	0.4
2017.10.10	0.4	0.3	0.5
2017.09.08	0.4	0.3	0.2
2017.08.10	0.2	0.3	0.3
2017.07.07	0.3		0.2
2017.06.09	0.2		0.2
2017.05.11	0.2		0.3
2017.04.07	0.5		0.5
2017.03.10	0.6		0.8
2017.02.10	0.7		0.6
2017.01.11	0.5		0.5
2016.12.07	0.4		0.4
2016.11.08	0.4		0.5
2016.10.07	0.4		0.3
2016.09.07	0.3		0.4
2016.08.09	0.3		0.6
2016.07.07	0.6		0.5
2016.06.08	0.5		0.4
2016.05.11	0.3		0.3
2016.04.08	0.3		0.3
2016.03.09	0.3		0.4
2016.02.10	0.4		0.6
2016.01.12	0.6		0.6
2015.12.08	0.6		0.6
2015.11.06	0.6		0.5
2015.10.07	0.5		0.5
2015.09.09	0.5		0.7
2015.08.06	0.7		0.7
2015.07.07	0.7		0.6
2015.06.10	0.6		0.5
2015.05.12	0.4		0.3
2015.04.10	0.6		0.6
2015.03.11	0.6		0.7
2015.02.10	0.6		0.6
2015.01.09	0.5		0.7
2014.12.09	0.7		0.7
2014.11.06	0.7		0.7
2014.10.07	0.7		0.6
2014.09.09	0.8		0.6
2014.08.06	0.5		0.9
2014.07.08	0.9		0.9
2014.06.10	0.9		1.0
2014.05.09	1.1		0.9
2014.04.08	0.9		0.8
2014.03.11	0.9		0.8
2014.02.07	0.7		0.7
2014.01.10	0.7		0.8
2013.12.10	0.8		0.7
2013.11.06	0.7		0.8
2013.10.09	0.8		0.9
2013.09.06	0.9		0.7
2013.08.06	0.7		0.6
2013.07.09	0.6		0.6
2013.06.11	0.6		0.8
2013.05.09	0.8		0.1
2013.04.09	0.1		-0.1
2013.03.12	-0.1		0.0
2013.02.07	-0.2		-0.3
2013.01.11	-0.3		0.1
2012.12.07	0.1		0.5
2012.11.06	0.5		0.8
2012.10.09	1.0		0.2
2012.09.07	0.2		-0.2
2012.08.07	-0.2		-0.2
2012.07.08	-0.2		0.1
2012.06.12	0.1		0.1
2012.05.10	0.1		0.1
2012.04.05	-0.2		0.1
2012.03.09	0.0		-0.2
2012.02.09	-0.2		0.1
2012.01.12	-0.2		0.3
2011.12.07	0.3		0.5
2011.11.08	0.4		0.5
2011.10.11	0.5		0.2
2011.09.07	0.4		0.6
2011.08.09	0.6		0.1
2011.07.07	0.2		0.4
2011.06.10	0.5		0.3
2011.05.12	0.1		0.7
2011.04.06	0.5		0.2
2011.03.10	0.1		-0.1
2011.02.10	-0.2		0.5
2011.01.13	-0.5		0.6
2010.12.07	0.6		0.5
2010.11.09	0.5		0.5
2010.10.07	0.8		0.6
2010.09.08	0.6		0.9
2010.08.06	1.3		1.3
2010.07.08	1.1		0.6
2010.06.11	0.9		0.5
2010.05.11	0.5		0.4
2010.04.08	0.2		0.4
2010.03.10	0.4		0.4
2010.02.10	0.6		0.3
2010.01.13	0.1		0.2
2009.12.08	0.2		-0.4
2009.11.05	-0.4		0.0
2009.10.06	0.0		0.2
2009.09.09	0.1		-0.4
2009.08.05	-0.4		-0.4
2009.07.07	-0.8		-0.9
2009.06.10	-1.3		-1.5
2009.05.12	-1.5		-1.5
2009.04.07	-1.9		-1.7
2009.03.11	-1.8		-1.5
2009.02.09	-1.5		-1.5
2009.01.09	-1.5		-1.0
2008.12.10	-1.0		-0.5
2008.11.06	-0.5		-0.2
2008.10.07	-0.2		-0.2
2008.09.09	-0.2		0.1
2008.08.05	0.1		0.2
2008.07.07	0.2		0.2
2008.06.10	0.2		0.4
2008.05.07	0.4		0.5
2008.04.09	0.5		0.5
2008.03.11	0.5		0.5
2008.02.08	0.5		0.5
2008.01.09	0.5		0.6
2007.12.07	0.6		0.7
2007.11.06	0.7		0.7
2007.10.08	0.7		0.7
2007.09.06	0.7		0.8
2007.08.06	0.8		
