Date	ActualValue	ForecastValue	PreviousValue
2020.06.10	1.2	0.7	1.4
2020.05.12	1.4	1.9	2.1
2020.04.10	2.1	2.5	2.4
2020.03.11	2.4	2.4	2.3
2020.02.13	2.3	2.4	2.3
2020.01.14	2.3	2.2	2.3
2019.12.11	2.3	2.2	2.3
2019.11.13	2.3	2.5	2.4
2019.10.10	2.4	2.6	2.4
2019.09.12	2.4	2.2	2.2
2019.08.13	2.2	2.1	2.1
2019.07.11	2.1	2.0	2.0
2019.06.12	2.0	2.2	2.1
2019.05.10	2.1	1.8	2.0
2019.04.10	2.0	1.8	2.1
2019.03.12	2.1	2.2	2.2
2019.02.13	2.2	2.2	2.2
2019.01.11	2.2	2.2	2.2
2018.12.12	2.2	2.1	2.1
2018.11.14	2.1	2.1	2.2
2018.10.11	2.2	2.3	2.2
2018.09.13	2.2	2.4	2.4
2018.08.10	2.4	2.2	2.3
2018.07.12	2.3	2.1	2.2
2018.06.12	2.2	2.1	2.1
2018.05.10	2.1	1.9	2.1
2018.04.11	2.1	2.0	1.8
2018.03.13	1.8	1.8	1.8
2018.02.14	1.8	1.8	1.8
2018.01.12	1.8	1.7	1.7
2017.12.13	1.7	1.7	1.8
2017.11.15	1.8	1.7	1.7
2017.10.13	1.7	1.7	1.7
2017.09.14	1.7	1.7	1.7
2017.08.11	1.7	1.8	1.7
2017.07.14	1.7	1.5	1.7
2017.06.14	1.7	1.7	1.9
2017.05.12	1.9	1.9	2.0
2017.04.14	2.0		2.2
2017.03.15	2.2		2.3
2017.02.15	2.3		2.2
2017.01.18	2.2		2.1
2016.12.15	2.1		2.1
2016.11.17	2.1		2.2
2016.10.18	2.2		2.3
2016.09.16	2.3		2.2
2016.08.16	2.2		2.3
2016.07.15	2.3		2.2
2016.06.16	2.2		2.1
2016.05.17	2.1		2.2
2016.04.14	2.2		2.3
2016.03.16	2.3		2.2
2016.02.19	2.2		2.1
2016.01.20	2.1		2.0
2015.12.15	2.0		1.9
2015.11.17	1.9		1.9
2015.10.15	1.9		1.8
2015.09.16	1.8		1.8
2015.08.19	1.8		1.8
2015.07.17	1.8		1.7
2015.06.18	1.7		1.8
2015.05.22	1.8		1.8
2015.04.17	1.8		1.7
2015.03.24	1.7		1.6
2015.02.26	1.6		1.6
2015.01.16	1.6		1.7
2014.12.17	1.7		1.8
2014.11.20	1.8		1.7
2014.10.22	1.7		1.7
2014.09.17	1.7		1.9
2014.08.19	1.9		1.9
2014.07.22	1.9		2.0
2014.06.17	2.0		1.8
2014.05.15	1.8		1.7
2014.04.15	1.7		1.6
2014.03.18	1.6		1.6
2014.02.20	1.6		1.7
2014.01.16	1.7		1.7
2013.12.17	1.7		1.7
2013.11.20	1.7		1.7
2013.10.30	1.7		1.8
2013.09.17	1.8		1.7
2013.08.15	1.7		1.6
2013.07.16	1.6		1.7
2013.06.18	1.7		1.7
2013.05.16	1.7		1.9
2013.04.16	1.9		2.0
2013.03.15	2.0		1.9
2013.02.21	1.9		1.9
2013.01.16	1.9		1.9
2012.12.14	1.9		2.0
2012.11.15	2.0		2.0
2012.10.16	2.0		1.9
2012.09.14	1.9		2.1
2012.08.15	2.1		2.2
2012.07.17	2.2		2.3
2012.06.14	2.3		2.3
2012.05.15	2.3		2.3
2012.04.13	2.3		2.2
2012.03.16	2.2		2.3
2012.02.17	2.3		2.2
2012.01.19	2.2		2.2
2011.12.16	2.2		2.1
2011.11.16	2.1		2.0
2011.10.19	2.0		2.0
2011.09.15	2.0		1.8
2011.08.18	1.8		1.6
2011.07.15	1.6		1.5
2011.06.15	1.5		1.3
2011.05.13	1.3		1.2
2011.04.15	1.2		1.1
2011.03.17	1.1		0.8
2011.02.17	1.0		0.8
2011.01.14	0.8		0.8
2010.12.15	0.8		0.6
2010.11.17	0.6		0.8
2010.10.15	0.8		0.9
2010.09.17	0.9		0.9
2010.08.13	0.9		0.9
2010.07.16	0.9		0.9
2010.06.17	0.9		0.9
2010.05.19	0.9		1.1
2010.04.14	1.1		1.3
2010.03.18	1.3		1.6
2010.02.19	1.6		1.8
2010.01.15	1.8		1.7
2009.12.16	1.7		1.7
2009.11.18	1.7		1.5
2009.10.15	1.5		1.4
2009.09.16	1.4		1.5
2009.08.14	1.5		1.7
2009.07.15	1.7		1.8
2009.06.17	1.8		1.9
2009.05.15	1.9		1.8
2009.04.15	1.8		1.8
2009.03.18	1.8		1.7
2009.02.20	1.7		1.8
2009.01.16	1.8		2.0
2008.12.16	2.0		2.2
2008.11.19	2.2		2.5
2008.10.16	2.5		2.5
2008.09.16	2.5		2.5
2008.08.14	2.5		2.4
2008.07.16	2.4		2.3
2008.06.13	2.3		2.3
2008.05.14	2.3		2.4
2008.04.16	2.4		2.3
2008.03.14	2.3		2.5
2008.02.20	2.5		2.4
2008.01.16	2.4		2.3
2007.12.14	2.3		2.2
2007.11.15	2.2		2.1
2007.10.17	2.1		2.1
2007.09.19	2.1		2.2
2007.08.15	2.2		2.2
2007.07.18	2.2		2.2
2007.06.15	2.2		2.3
2007.05.15	2.3		2.5
2007.04.17	2.5		2.7
2007.03.16	2.7		2.7
2007.02.21	2.7		
