Date	ActualValue	ForecastValue	PreviousValue
2020.07.01	56.4	36.1	31.8
2020.06.01	31.8	40.3	27.1
2020.05.01	27.1	44.1	42.2
2020.04.01	42.2	50.2	49.8
2020.03.02	49.8	49.8	52
2020.02.03	52	48.7	47.6
2020.01.03	46.8	46.7	47.2
2019.12.02	47.2	46.6	49.1
2019.11.01	49.1	47.5	47.3
2019.10.01	47.3	43.2	47.2
2019.09.03	47.2	48.5	50.8
2019.08.01	50.8	49.2	50
2019.07.01	50	52.7	52.7
2019.06.03	52.7	57.9	51.7
2019.05.01	51.7	54.6	57.4
2019.04.01	57.4	52.9	55.5
2019.03.01	55.5	54.5	58.2
2019.02.01	58.2	55	51.3
2019.01.03	51.1	59	62.1
2018.12.03	62.1	61.7	57.4
2018.11.01	57.4	62.8	61.8
2018.10.01	61.8	65.2	65.1
2018.09.04	65.1	65.1	60.2
2018.08.01	60.2	63.6	63.5
2018.07.02	63.5	63.3	63.7
2018.06.01	63.7	63.5	61.2
2018.05.01	61.2	59.8	61.9
2018.04.02	61.9	64.3	64.2
2018.03.01	64.2	67.7	65.4
2018.02.01	65.4	70.3	67.4
2018.01.03	69.4	62.8	64
2017.12.01	64	62	63.4
2017.11.01	63.4	61.6	64.6
2017.10.02	64.6	61.5	60.3
2017.09.01	60.3	67.6	60.4
2017.08.01	60.4		63.5
2017.07.03	63.5		59.5
2017.06.01	59.5		57.5
2017.05.01	57.5		64.5
2017.04.03	64.5		65.1
2017.03.01	65.1		60.4
2017.02.01	60.4		60.2
2017.01.03	60.2		53
2016.12.01	53		52.1
2016.11.01	52.1		55.1
2016.10.03	55.1		49.1
2016.09.01	49.1		56.9
2016.08.01	56.9		57
2016.07.01	57		55.7
2016.06.01	55.7		55.8
2016.05.02	55.8		58.3
2016.04.01	58.3		51.5
2016.03.01	51.5		51.5
2016.02.01	51.5		49.2
2016.01.04	49.2		48.9
2015.12.01	48.9		52.9
2015.11.02	52.9		50.1
2015.10.01	50.1		51.7
2015.09.01	51.7		56.5
2015.08.03	56.5		56
2015.07.01	56		55.8
2015.06.01	55.8		53.5
2015.05.01	53.5		51.8
2015.04.01	51.8		52.5
2015.03.02	52.5		52.9
2015.02.02	52.9		57.3
2015.01.02	57.3		66
2014.12.01	66		65.8
2014.11.03	65.8		60
2014.10.01	60		63.9
2014.09.02	63.9		62
2014.08.01	62		59.1
2014.07.01	59.1		58.7
2014.06.02	58.7		56.2
2014.05.01	56.2		56.4
2014.04.01	56.4		56.1
2014.03.03	56.1		52.8
2014.02.03	52.8		64.9
2014.01.02	64.9		60.2
2013.12.02	60.2		58.9
2013.11.01	58.9		
