Date	ActualValue	ForecastValue	PreviousValue
2020.07.06	66	41.7	41
2020.06.03	41	4.1	26
2020.05.05	26	58.6	48
2020.04.03	48	58.3	57.8
2020.03.04	57.8	58.7	60.9
2020.02.05	60.9	59	57
2020.01.07	57.2	58.2	51.6
2019.12.04	51.6	59	57
2019.11.05	57	60.6	55.2
2019.10.03	55.2	60	61.5
2019.09.05	61.5	60.3	53.1
2019.08.05	53.1	61.2	58.2
2019.07.03	58.2	61.9	61.2
2019.06.05	61.2	61.7	59.5
2019.05.03	59.5	61.7	57.4
2019.04.03	57.4	61.6	64.7
2019.03.05	64.7	61.5	59.7
2019.02.05	59.7	61.4	61.2
2019.01.07	59.9	61.3	65.2
2018.12.06	65.2	61	62.5
2018.11.05	62.5	60.8	65.2
2018.10.03	65.2	60.6	60.7
2018.09.06	60.7	62.2	56.5
2018.08.03	56.5	60.5	63.9
2018.07.05	63.9	59.8	61.3
2018.06.05	61.3	59.2	59.1
2018.05.03	59.1	61.7	60.6
2018.04.04	60.6	61.4	62.8
2018.03.05	62.8	58.6	59.8
2018.02.05	59.8	60.7	57.8
2018.01.05	57.3	61.6	61.4
2017.12.05	61.4	60.9	62.2
2017.11.03	62.2	58.6	61.3
2017.10.04	61.3	57.2	57.5
2017.09.06	57.5	59.4	55.9
2017.08.03	55.9		60.8
2017.07.06	60.8		60.7
2017.06.05	60.7		62.4
2017.05.03	62.4		58.9
2017.04.05	58.9		63.6
2017.03.03	63.6		60.3
2017.02.03	60.3		61.4
2017.01.05	61.4		61.7
2016.12.05	61.7		57.7
2016.11.03	57.7		60.3
2016.10.05	60.3		51.8
2016.09.06	51.8		59.3
2016.08.03	59.3		59.5
2016.07.06	59.5		55.1
2016.06.03	55.1		58.8
2016.05.04	58.8		59.8
2016.04.05	59.8		57.8
2016.03.03	57.8		53.9
2016.02.03	53.9		58.7
2016.01.06	58.7		58.2
2015.12.03	58.2		63
2015.11.04	63		60.2
2015.10.05	60.2		63.9
2015.09.03	63.9		64.9
2015.08.05	64.9		61.5
2015.07.06	61.5		59.5
2015.06.03	59.5		61.6
2015.05.05	61.6		57.5
2015.04.06	57.5		59.4
2015.03.04	59.4		61.5
2015.02.04	61.5		57.2
2015.01.06	57.2		64.4
2014.12.03	64.4		60
2014.11.05	60		62.9
2014.10.03	62.9		63.1
2014.09.04	63.1		61.3
2014.08.05	61.3		59.2
2014.07.03	59.2		61.1
2014.06.04	61.1		60.3
2014.05.05	60.3		54.2
2014.04.03	54.2		55.7
2014.03.05	55.7		56.6
2014.02.05	56.6		55.3
2014.01.06	55.3		54.5
2013.12.04	54.5		59.6
2013.11.05	59.6		
