Date	ActualValue	ForecastValue	PreviousValue
2020.10.23	55.5	54.3	54.3
2020.10.05	54.3	54.4	54.4
2020.09.23	54.4	54.6	54.6
2020.09.03	54.6	54.7	54.7
2020.08.21	54.7	50.1	50.3
2020.08.05	50.3	50.0	50.0
2020.07.24	50.0	47.3	47.9
2020.07.06	47.9	46.8	46.8
2020.06.23	46.8	50.0	37.0
2020.06.03	37.0	36.4	36.4
2020.05.21	36.4	21.1	27.0
2020.05.05	27.0	27.4	27.4
2020.04.23	27.4	38.7	40.9
2020.04.03	40.9	40.5	40.5
2020.03.24	40.5	47.5	49.6
2020.03.04	49.6	49.6	49.6
2020.02.21	49.6	53.3	53.3
2020.02.05	53.3	53.1	53.1
2020.01.24	53.1	52.5	52.7
2020.01.06	52.7	52.2	52.2
2019.12.16	52.2	51.9	52.0
2019.12.04	52.0	51.9	51.9
2019.11.22	51.9	51.9	50.9
2019.11.05	50.9	51.2	51.2
2019.10.24	51.2	51.6	51.0
2019.10.03	51.0	51.0	51.0
2019.09.23	51.0	49.6	50.7
2019.09.05	50.7	50.9	50.9
2019.08.22	50.9	53.9	52.6
2019.08.05	52.6	51.6	51.6
2019.07.24	51.6	52.1	51.5
2019.07.03	51.5	50.6	50.6
2019.06.21	50.6	50.2	50.9
2019.06.05	50.9	50.9	50.9
2019.05.23	50.9	52.9	53.0
2019.05.03	53.0	52.8	52.8
2019.04.18	52.8	54.3	54.6
2019.04.03	54.6	54.3	54.3
2019.03.22	54.3	55.2	55.5
2019.03.05	55.5	55.8	55.8
2019.02.21	55.8	55.1	54.4
2019.02.05	54.4	54.5	54.5
2019.01.24	54.5	54.0	54.4
2019.01.04	54.4	53.1	53.6
2018.12.14	53.6	53.9	54.7
2018.12.06	54.7	54.6	54.4
2018.11.23	54.4	56.2	54.9
2018.11.05	54.9	55.6	54.8
2018.10.24	54.8	53.3	53.9
2018.10.03	53.9	54.1	53.4
2018.09.21	53.4	55.0	54.7
2018.09.06	54.7	55.8	55.0
2018.08.23	55.0	56.3	55.7
2018.08.03	55.7	56.4	55.9
2018.07.24	55.9	56.0	56.2
2018.07.05	56.2	55.3	56.0
2018.06.22	56.0	55.1	56.6
2018.06.05	56.6	54.8	55.7
2018.05.23	55.7	55.0	54.9
2018.05.03	54.9	55.2	54.8
2018.04.23	54.8	55.3	54.2
2018.04.04	54.2	54.1	54.3
2018.03.22	54.3	55.7	55.8
2018.03.05	55.8	55.5	55.9
2018.02.21	55.9	54.4	53.8
2018.02.05	53.8	53.9	53.8
2018.01.24	53.8	53.5	54.1
2018.01.04	54.1	53.7	53.0
2017.12.14	53.0	54.5	54.5
2017.12.05	54.5	54.8	54.6
2017.11.24	54.6	55.4	55.2
2017.11.03	55.2	55.2	55.7
2017.10.24	55.7	54.6	54.8
2017.10.04	54.8	54.9	54.6
2017.09.22	54.6	55.1	55.3
2017.09.06	55.3	55.8	56.0
2017.08.23	56.0	54.8	54.6
2017.08.03	54.6	55.1	54.2
2017.07.24	54.2	54.0	53.9
2017.07.06	53.9	52.1	53.0
2017.06.23	53.0	53.5	53.6
2017.06.05	53.6	54.3	53.9
2017.05.23	53.9	52.9	53.2
2017.05.03	53.2	52.5	52.7
2017.04.21	52.7		53.0
2017.04.05	53.0		53.2
2017.03.24	53.2		54.1
2017.03.03	54.1		54.3
2017.02.21	54.3		55.8
2017.02.03	55.8		55.4
2017.01.26	55.4		54.1
2017.01.05	54.1		53.7
2016.12.19	53.7		54.9
2016.12.05	54.9		54.9
2016.11.25	54.9		54.9
2016.11.03	54.9		54.9
2016.10.26	54.9		52.3
2016.10.05	52.3		52.0
2016.09.27	52.0		51.5
2016.09.02	51.5		51.5
2016.08.25	51.5		51.8
2016.08.03	51.8		51.5
2016.07.26	51.5		51.2
2016.07.06	51.2		51.2
2016.06.27	51.2		50.9
2016.06.03	50.9		50.8
2016.05.25	50.8		52.4
2016.05.04	52.4		51.7
2016.04.26	51.7		51.3
2016.04.05	51.3		51.1
2016.03.24	51.1		50.0
2016.03.03	50.0		50.1
2016.02.24	50.1		53.2
2016.02.03	53.2		53.7
2016.01.26	53.7		54.0
2016.01.06	54.0		53.5
2015.12.18	53.5		55.9
2015.12.03	55.9		56.1
2015.11.25	56.1		55.0
2015.11.04	55.0		54.5
2015.10.27	54.5		55.0
2015.10.05	55.0		55.3
2015.09.25	55.3		55.7
2015.09.03	55.7		55.0
2015.08.25	55.0		55.7
2015.08.05	55.7		55.2
2015.07.28	55.2		54.6
2015.07.06	54.6		54.6
2015.06.25	54.6		56.0
2015.06.03	56.0		56.1
2015.05.26	56.1		57.0
2015.05.05	57.0		57.4
2015.04.27	57.4		59.2
2015.04.06	59.2		58.5
2015.03.26	58.5		57.2
2015.03.04	57.2		56.8
2015.02.24	56.8		54.4
2015.02.04	54.4		54.2
2015.01.27	54.2		53.5
2015.01.06	53.5		53.8
2014.12.18	53.8		56.1
2014.12.03	56.1		56.1
2014.11.24	56.1		57.2
2014.11.05	57.2		57.4
2014.10.27	57.4		59.0
2014.10.03	59.0		58.8
2014.09.25	58.8		59.7
2014.09.04	59.7		58.8
2014.08.25	58.8		60.6
2014.08.05	60.6		61.0
2014.07.28	61.0		61.0
2014.07.03	61.0		61.1
2014.06.25	61.1		58.6
2014.06.04	58.6		
