Date	ActualValue	ForecastValue	PreviousValue
2020.05.05	26.7	27	27
2020.04.23	27	36.9	39.8
2020.04.03	39.8	39.1	39.1
2020.03.24	39.1	47.4	49.4
2020.03.04	49.4	49.4	49.4
2020.02.21	49.4	52.9	53.4
2020.02.05	53.4	53.2	53.2
2020.01.24	53.2	53.1	52.8
2020.01.06	52.8	52.2	52.2
2019.12.16	52.2	51.4	51.6
2019.12.04	51.6	51.6	51.6
2019.11.22	51.6	50.6	50.6
2019.11.05	50.6	51	51
2019.10.24	51	52	50.9
2019.10.03	50.9	50.9	50.9
2019.09.23	50.9	49.4	50.7
2019.09.05	50.7	50.9	50.9
2019.08.22	50.9	53.7	53
2019.08.05	53	52.2	52.2
2019.07.24	52.2	52.1	51.5
2019.07.03	51.5	50.7	50.7
2019.06.21	50.7	50.7	50.9
2019.06.05	50.9	50.9	50.9
2019.05.23	50.9	52.9	53
2019.05.03	53	52.9	52.9
2019.04.18	52.9	54.4	55.3
2019.04.03	55.3	54.8	54.8
2019.03.22	54.8	56.3	56
2019.03.05	56	56.2	56.2
2019.02.21	56.2	55.2	54.2
2019.02.05	54.2	54.2	54.2
2019.01.24	54.2	53.5	54.4
2019.01.04	54.4	52.3	53.4
2018.12.14	53.4	53.6	54.7
2018.12.06	54.7	54.6	54.4
2018.11.23	54.4	53.7	54.8
2018.11.05	54.8	53	54.7
2018.10.24	54.7	52.8	53.5
2018.10.03	53.5	53.6	52.9
2018.09.21	52.9	55	54.8
2018.09.06	54.8	56	55.2
2018.08.23	55.2	56.6	56
2018.08.03	56	56.5	56.2
2018.07.24	56.2	56.1	56.5
2018.07.05	56.5	55.4	56.5
2018.06.22	56.5	54.9	56.8
2018.06.05	56.8	54.8	55.7
2018.05.23	55.7	55	54.6
2018.05.03	54.6	55.5	54.4
2018.04.23	54.4	55.5	54
2018.04.04	54	55.4	54.1
2018.03.22	54.1	55	55.9
2018.03.05	55.9	54.6	55.9
2018.02.21	55.9	53.3	53.3
2018.02.05	53.3	53.5	53.3
2018.01.24	53.3	53	53.7
2018.01.04	53.7	53.4	52.4
2017.12.14	52.4	54.6	54.5
2017.12.05	54.5	53.7	54.7
2017.11.24	54.7	56.1	55.3
2017.11.03	55.3	57.1	55.9
2017.10.24	55.9	54.6	55.3
2017.10.04	55.3	54.1	55.1
2017.09.22	55.1	56.6	56
2017.09.06	56	57.3	56.9
2017.08.23	56.9	55	54.7
2017.08.03	54.7	55.2	54.2
2017.07.24	54.2	54.1	54.2
2017.07.06	54.2	52.2	53
2017.06.23	53	53.7	53.6
2017.06.05	53.6	54.5	54
2017.05.23	54	53.2	53.1
2017.05.03	53.1	52.4	52.5
2017.04.21	52.5		52.8
2017.04.05	52.8		52.9
2017.03.24	52.9		53.8
2017.03.03	53.8		53.9
2017.02.21	53.9		55.6
2017.02.03	55.6		55.1
2017.01.26	55.1		53.9
2017.01.05	53.9		53.4
2016.12.19	53.4		54.6
2016.12.05	54.6		54.7
2016.11.25	54.7		54.8
2016.11.03	54.8		54.8
2016.10.26	54.8		52.3
2016.10.05	52.3		51.9
2016.09.27	51.9		51
2016.09.02	51		50.9
2016.08.25	50.9		51.4
2016.08.03	51.4		50.9
2016.07.26	50.9		51.4
2016.07.06	51.4		51.3
2016.06.27	51.3		51.3
2016.06.03	51.3		51.2
2016.05.25	51.2		52.8
2016.05.04	52.8		52.1
2016.04.26	52.1		51.3
2016.04.05	51.3		51
2016.03.24	51		49.7
2016.03.03	49.7		49.8
2016.02.24	49.8		53.2
2016.02.03	53.2		53.7
2016.01.26	53.7		54.3
2016.01.06	54.3		53.7
2015.12.18	53.7		56.1
2015.12.03	56.1		56.5
2015.11.25	56.5		54.8
2015.11.04	54.8		54.4
2015.10.27	54.4		55.1
2015.10.05	55.1		55.6
2015.09.25	55.6		56.1
2015.09.03	56.1		55.2
2015.08.25	55.2		55.7
2015.08.05	55.7		55.2
2015.07.28	55.2		54.8
2015.07.06	54.8		54.8
2015.06.25	54.8		56.2
2015.06.03	56.2		56.4
2015.05.26	56.4		57.4
2015.05.05	57.4		57.8
2015.04.27	57.8		59.2
2015.04.06	59.2		58.6
2015.03.26	58.6		57.1
2015.03.04	57.1		57
2015.02.24	57		54.2
2015.02.04	54.2		54
2015.01.27	54		53.3
2015.01.06	53.3		53.6
2014.12.18	53.6		56.2
2014.12.03	56.2		56.3
2014.11.24	56.3		57.1
2014.11.05	57.1		57.3
2014.10.27	57.3		58.9
2014.10.03	58.9		58.5
2014.09.25	58.5		59.5
2014.09.04	59.5		58.5
2014.08.25	58.5		60.8
2014.08.05	60.8		60.9
2014.07.28	60.9		61
2014.07.03	61		61.2
2014.06.25	61.2		58.1
2014.06.04	58.1		58.4
2014.05.27	58.4		55
2014.05.05	55		54.2
2014.04.25	54.2		55.3
2014.04.03	55.3		55.5
2014.03.26	55.5		53.3
2014.03.05	53.3		52.7
2014.02.24	52.7		56.7
2014.02.05	56.7		56.6
2014.01.27	56.6		55.7
2014.01.06	55.7		55.9
2013.12.04	55.9		
