Date	ActualValue	ForecastValue	PreviousValue
2020.05.29	65.9	67.7	67.7
2020.05.15	67.7	67	70.1
2020.04.24	70.1	70	70
2020.04.09	70	82.3	79.7
2020.03.27	79.7	85.3	85.3
2020.03.13	85.3	89	92.1
2020.02.28	92.1	92.6	92.6
2020.02.14	92.6	92.4	90.5
2020.01.31	90.5	88.3	88.3
2020.01.17	88.3	85.4	88.9
2019.12.20	88.9	88.9	88.9
2019.12.06	88.9	92.2	87.3
2019.11.22	87.3	85.9	85.9
2019.11.08	85.9	84.7	84.2
2019.10.25	84.2	84.8	84.8
2019.10.11	84.8	84.4	83.4
2019.09.27	83.4	82.4	82.4
2019.09.13	82.4	77	79.9
2019.08.30	79.9	82.3	82.3
2019.08.16	82.3	93.8	90.5
2019.08.02	90.5	90.1	90.1
2019.07.19	90.1	82.6	89.3
2019.06.28	89.3	88.6	88.6
2019.06.14	88.6	87.4	93.5
2019.05.31	93.5	96	96
2019.05.17	96	87.7	87.4
2019.04.26	87.4	85.8	85.8
2019.04.12	85.8	87.8	88.8
2019.03.29	88.8	89.2	89.2
2019.03.15	89.2	87.9	84.4
2019.03.01	84.4	86.2	86.2
2019.02.15	86.2	88.6	79.9
2019.02.01	79.9	78.3	78.3
2019.01.18	78.3	90	87
2018.12.21	87	90	86.1
2018.12.07	86.1	90	88.1
2018.11.21	88.1	90	88.7
2018.11.09	88.7	89.9	89.3
2018.10.26	89.3	89.7	89.1
2018.10.12	89.1	89.6	90.5
2018.09.28	90.5	89.5	91.1
2018.09.14	91.1	89.4	87.1
2018.08.31	87.1	89.4	87.3
2018.08.17	87.3	89.4	87.3
2018.07.27	87.3	89.4	86.4
2018.07.13	86.4	89.3	86.3
2018.06.29	86.3	89.2	87.4
2018.06.15	87.4	89.1	89.1
2018.05.25	89.1	88.9	89.5
2018.05.11	89.5	87	88.4
2018.04.27	88.4	87	86.8
2018.04.13	86.8	89.5	88.8
2018.03.29	88.8	90.9	88.6
2018.03.16	88.6	90.6	90
2018.03.02	90	88.6	90.2
2018.02.16	90.2	88.5	86.3
2018.02.02	86.3	85.8	84.8
2018.01.19	84.8	84.2	84.3
2017.12.22	84.3	82.3	84.6
2017.12.08	84.6	90.7	88.9
2017.11.22	88.9	90.7	87.6
2017.11.10	87.6	90.1	90.5
2017.10.27	90.5	93	91.3
2017.10.13	91.3	84.5	84.4
2017.09.29	84.4	86.1	83.4
2017.09.15	83.4	90.8	87.7
2017.09.01	87.7	85.8	89
2017.08.18	89	76.1	80.5
2017.07.28	80.5		80.2
2017.07.14	80.2		83.9
2017.06.30	83.9		84.7
2017.06.16	84.7		87.7
2017.05.26	87.7		88.1
2017.05.12	88.1		87
2017.04.28	87		86.9
2017.04.13	86.9		86.5
2017.03.31	86.5		86.7
2017.03.17	86.7		86.5
2017.02.24	86.5		85.7
2017.02.10	85.7		90.3
2017.01.27	90.3		88.9
2017.01.13	88.9		89.5
2016.12.23	89.5		88.9
2016.12.09	88.9		85.2
2016.11.23	85.2		82.5
2016.11.11	82.5		76.8
2016.10.28	76.8		76.6
2016.10.14	76.6		82.7
2016.09.30	82.7		81.1
2016.09.16	81.1		78.7
2016.08.26	78.7		80.3
2016.08.12	80.3		77.8
2016.07.29	77.8		77.1
2016.07.15	77.1		82.4
2016.06.24	82.4		83.2
2016.06.10	83.2		84.9
2016.05.27	84.9		87.5
2016.05.13	87.5		77.6
2016.04.29	77.6		79.6
2016.04.15	79.6		81.5
2016.04.01	81.5		80
2016.03.18	80		81.9
2016.02.26	81.9		81
2016.02.12	81		82.7
2016.01.29	82.7		85.7
2016.01.15	85.7		82.7
2015.12.23	82.7		82
2015.12.11	82		82.9
2015.11.25	82.9		85.6
2015.11.13	85.6		82.1
2015.10.30	82.1		82.7
2015.10.16	82.7		78.2
2015.09.25	78.2		76.4
2015.09.11	76.4		83.4
2015.08.28	83.4		83.8
2015.08.14	83.8		84.1
2015.07.31	84.1		85.2
2015.07.17	85.2		87.8
2015.06.26	87.8		86.8
2015.06.12	86.8		84.2
2015.05.29	84.2		81.5
2015.05.15	81.5		88.8
2015.05.01	88.8		88
2015.04.17	88		85.3
2015.03.27	85.3		83.7
2015.03.13	83.7		88
2015.02.27	88		87.5
2015.02.13	87.5		91
2015.01.30	91		91.6
2015.01.16	91.6		86.4
2014.12.23	86.4		86.1
2014.12.12	86.1		79.9
2014.11.26	79.9		80.6
2014.11.14	80.6		79.6
2014.10.31	79.6		78.4
2014.10.17	78.4		75.4
2014.09.26	75.4		75.6
2014.09.12	75.6		71.3
2014.08.29	71.3		66.2
2014.08.15	66.2		71.8
2014.08.01	71.8		71.1
2014.07.18	71.1		73.5
2014.06.27	73.5		72.2
2014.06.13	72.2		73.7
2014.05.30	73.7		73.2
2014.05.16	73.2		74.7
2014.04.25	74.7		73.3
2014.04.11	73.3		70
2014.03.28	70		69.4
2014.03.14	69.4		
