Date	ActualValue	ForecastValue	PreviousValue
2020.10.30	81.8	81.2	81.2
2020.10.16	81.2	79.5	80.4
2020.10.02	80.4	78.9	78.9
2020.09.18	78.9	77.3	74.1
2020.08.28	74.1	72.8	72.8
2020.08.14	72.8	70.1	72.5
2020.07.31	72.5	73.2	73.2
2020.07.17	73.2	80.2	78.1
2020.06.26	78.1	78.9	78.9
2020.06.12	78.9	73.0	72.3
2020.05.29	72.3	73.7	73.7
2020.05.15	73.7	71.4	71.8
2020.04.24	71.8	71.0	71.0
2020.04.09	71.0	92.6	89.1
2020.03.27	89.1	95.9	95.9
2020.03.13	95.9	101.2	101.0
2020.02.28	101.0	100.9	100.9
2020.02.14	100.9	99.8	99.8
2020.01.31	99.8	99.1	99.1
2020.01.17	99.1	99.6	99.3
2019.12.20	99.3	99.2	99.2
2019.12.06	99.2	96.5	96.8
2019.11.22	96.8	95.7	95.7
2019.11.08	95.7	96.0	95.5
2019.10.25	95.5	96.0	96.0
2019.10.11	96.0	92.8	93.2
2019.09.27	93.2	92.0	92.0
2019.09.13	92.0	91.1	89.8
2019.08.30	89.8	92.1	92.1
2019.08.16	92.1	98.6	98.4
2019.08.02	98.4	98.4	98.4
2019.07.19	98.4	98.3	98.2
2019.06.28	98.2	97.9	97.9
2019.06.14	97.9	101.4	100.0
2019.05.31	100.0	102.4	102.4
2019.05.17	102.4	96.0	97.2
2019.04.26	97.2	96.9	96.9
2019.04.12	96.9	102.9	98.4
2019.03.29	98.4	97.8	97.8
2019.03.15	97.8	94.8	93.8
2019.03.01	93.8	95.5	95.5
2019.02.15	95.5	91.1	91.2
2019.02.01	91.2	90.7	90.7
2019.01.18	90.7	98.2	98.3
2018.12.21	98.3	97.7	97.5
2018.12.07	97.5	98.1	97.5
2018.11.21	97.5	98.7	98.3
2018.11.09	98.3	97.2	98.6
2018.10.26	98.6	98.8	99.0
2018.10.12	99.0	101.2	100.1
2018.09.28	100.1	98.7	100.8
2018.09.14	100.8	97.8	96.2
2018.08.31	96.2	96.8	95.3
2018.08.17	95.3	97.4	97.9
2018.07.27	97.9	97.8	97.1
2018.07.13	97.1	98.0	98.2
2018.06.29	98.2	99.0	99.3
2018.06.15	99.3	98.2	98.0
2018.05.25	98.0	98.5	98.8
2018.05.11	98.8	99.8	98.8
2018.04.27	98.8	99.8	97.8
2018.04.13	97.8	100.2	101.4
2018.03.29	101.4	100.9	102.0
2018.03.16	102.0	102.4	99.7
2018.03.02	99.7	101.9	99.9
2018.02.16	99.9	96.8	95.7
2018.02.02	95.7	94.6	94.4
2018.01.19	94.4	96.6	95.9
2017.12.22	95.9	97.9	96.8
2017.12.08	96.8	98.5	98.5
2017.11.22	98.5	100.1	97.8
2017.11.10	97.8	100.9	100.7
2017.10.27	100.7	99.9	101.1
2017.10.13	101.1	98.3	95.1
2017.09.29	95.1	97.6	95.3
2017.09.15	95.3	97.5	96.8
2017.09.01	96.8	95.8	97.6
2017.08.18	97.6	91.9	93.4
2017.07.28	93.4		93.1
2017.07.14	93.1		95.1
2017.06.30	95.1		94.5
2017.06.16	94.5		97.1
2017.05.26	97.1		97.7
2017.05.12	97.7		97.0
2017.04.28	97.0		98.0
2017.04.13	98.0		96.9
2017.03.31	96.9		97.6
2017.03.17	97.6		96.3
2017.02.24	96.3		95.7
2017.02.10	95.7		98.5
2017.01.27	98.5		98.1
2017.01.13	98.1		98.2
2016.12.23	98.2		98.0
2016.12.09	98.0		93.8
2016.11.23	93.8		91.6
2016.11.11	91.6		87.2
2016.10.28	87.2		87.9
2016.10.14	87.9		91.2
2016.09.30	91.2		89.8
2016.09.16	89.8		89.8
2016.08.26	89.8		90.4
2016.08.12	90.4		90.0
2016.07.29	90.0		89.5
2016.07.15	89.5		93.5
2016.06.24	93.5		94.3
2016.06.10	94.3		94.7
2016.05.27	94.7		95.8
2016.05.13	95.8		89.0
2016.04.29	89.0		89.7
2016.04.15	89.7		91.0
2016.04.01	91.0		90.0
2016.03.18	90.0		91.7
2016.02.26	91.7		90.7
2016.02.12	90.7		92.0
2016.01.29	92.0		93.3
2016.01.15	93.3		92.6
2015.12.23	92.6		91.8
2015.12.11	91.8		91.3
2015.11.25	91.3		93.1
2015.11.13	93.1		90.0
2015.10.30	90.0		92.1
2015.10.16	92.1		87.2
2015.09.25	87.2		85.7
2015.09.11	85.7		91.9
2015.08.28	91.9		92.9
2015.08.14	92.9		93.1
2015.07.31	93.1		93.3
2015.07.17	93.3		96.1
2015.06.26	96.1		94.6
2015.06.12	94.6		90.7
2015.05.29	90.7		88.6
2015.05.15	88.6		95.9
2015.05.01	95.9		95.9
2015.04.17	95.9		93.0
2015.03.27	93.0		91.2
2015.03.13	91.2		95.4
2015.02.27	95.4		93.6
2015.02.13	93.6		98.1
2015.01.30	98.1		98.2
2015.01.16	98.2		93.6
2014.12.23	93.6		93.8
2014.12.12	93.8		88.8
2014.11.26	88.8		89.4
2014.11.14	89.4		86.9
2014.10.31	86.9		86.4
2014.10.17	86.4		84.6
2014.09.26	84.6		84.6
2014.09.12	84.6		82.5
2014.08.29	82.5		79.2
2014.08.15	79.2		81.8
2014.08.01	81.8		81.3
2014.07.18	81.3		82.5
2014.06.27	82.5		81.2
2014.06.13	81.2		81.9
2014.05.30	81.9		81.8
2014.05.16	81.8		84.1
2014.04.25	84.1		82.6
2014.04.11	82.6		80.0
2014.03.28	80.0		79.9
2014.03.14	79.9		81.6
2014.02.28	81.6		81.2
2014.02.14	81.2		81.2
2014.01.31	81.2		80.4
2014.01.17	80.4		82.5
2013.12.23	82.5		82.5
2013.12.06	82.5		75.1
2013.11.27	75.1		72.0
2013.11.08	72.0		73.2
2013.10.25	73.2		75.2
2013.10.11	75.2		77.5
2013.09.27	77.5		76.8
2013.09.13	76.8		82.1
2013.08.30	82.1		80.0
2013.08.16	80.0		85.1
2013.07.26	85.1		83.9
2013.07.12	83.9		84.1
2013.06.28	84.1		82.7
2013.06.14	82.7		84.5
2013.05.31	84.5		83.7
2013.05.17	83.7		76.4
2013.04.26	76.4		72.3
2013.04.12	72.3		78.6
2013.03.29	78.6		71.8
2013.03.15	71.8		77.6
2013.03.01	77.6		76.3
2013.02.15	76.3		73.8
2013.02.01	73.8		71.3
2013.01.18	71.3		72.9
2012.12.21	72.9		74.5
2012.12.07	74.5		82.7
2012.11.21	82.7		84.9
2012.11.09	84.9		82.6
2012.10.26	82.6		83.1
2012.10.12	83.1		78.3
2012.09.28	78.3		79.2
2012.09.14	79.2		74.3
2012.08.31	74.3		73.6
2012.08.17	73.6		72.3
2012.07.27	72.3		72.0
2012.07.13	72.0		73.2
2012.06.29	73.2		74.1
2012.06.15	74.1		79.3
2012.05.25	79.3		77.8
2012.05.11	77.8		76.4
2012.04.27	76.4		75.7
2012.04.13	75.7		76.2
2012.03.30	76.2		74.3
2012.03.16	74.3		75.3
2012.02.24	75.3		72.5
2012.02.10	72.5		75.0
2012.01.27	75.0		74.0
2012.01.13	74.0		69.9
2011.12.22	69.9		67.7
2011.12.09	67.7		64.1
2011.11.23	64.1		64.2
2011.11.11	64.2		60.9
2011.10.28	60.9		57.5
2011.10.14	57.5		59.4
2011.09.30	59.4		57.8
2011.09.16	57.8		55.7
2011.08.26	55.7		54.9
2011.08.12	54.9		63.7
2011.07.29	63.7		63.8
2011.07.15	63.8		71.5
2011.07.01	71.5		71.8
2011.06.17	71.8		74.3
2011.05.27	74.3		72.4
2011.05.13	72.4		69.8
2011.04.29	69.8		69.6
2011.04.15	69.6		67.5
2011.03.25	67.5		68.2
2011.03.11	68.2		77.5
2011.02.25	77.5		75.1
2011.02.11	75.1		74.2
2011.01.28	74.2		72.7
2011.01.14	72.7		74.5
2010.12.23	74.5		74.2
2010.12.10	74.2		71.6
2010.11.24	71.6		69.3
2010.11.12	69.3		67.7
2010.10.29	67.7		67.9
2010.10.15	67.9		68.2
2010.10.01	68.2		66.6
2010.09.17	66.6		68.9
2010.08.27	68.9		69.6
2010.08.13	69.6		67.8
2010.07.30	67.8		66.5
