Date	ActualValue	ForecastValue	PreviousValue
2020.11.13	85.8	85.4	85.9
2020.10.30	85.9	84.9	84.9
2020.10.16	84.9	87.6	87.8
2020.10.02	87.8	87.5	87.5
2020.09.18	87.5	82.7	82.9
2020.08.28	82.9	82.5	82.5
2020.08.14	82.5	83.5	82.8
2020.07.31	82.8	84.2	84.2
2020.07.17	84.2	87.4	87.1
2020.06.26	87.1	87.8	87.8
2020.06.12	87.8	103.4	82.3
2020.05.29	82.3	83.0	83.0
2020.05.15	83.0	76.3	74.3
2020.04.24	74.3	72.4	72.4
2020.04.09	72.4	106.1	103.7
2020.03.27	103.7	112.5	112.5
2020.03.13	112.5	114.7	114.8
2020.02.28	114.8	113.8	113.8
2020.02.14	113.8	113.2	114.4
2020.01.31	114.4	115.8	115.8
2020.01.17	115.8	117.0	115.5
2019.12.20	115.5	115.2	115.2
2019.12.06	115.2	108.6	111.6
2019.11.22	111.6	110.9	110.9
2019.11.08	110.9	113.7	113.2
2019.10.25	113.2	113.4	113.4
2019.10.11	113.4	110.2	108.5
2019.09.27	108.5	106.9	106.9
2019.09.13	106.9	106.3	105.3
2019.08.30	105.3	107.4	107.4
2019.08.16	107.4	110.9	110.7
2019.08.02	110.7	111.1	111.1
2019.07.19	111.1	113.6	111.9
2019.06.28	111.9	112.5	112.5
2019.06.14	112.5	110.0	110.0
2019.05.31	110.0	112.4	112.4
2019.05.17	112.4	112.3	112.3
2019.04.26	112.3	114.2	114.2
2019.04.12	114.2	113.3	113.3
2019.03.29	113.3	111.2	111.2
2019.03.15	111.2	114.6	108.5
2019.03.01	108.5	110.0	110.0
2019.02.15	110.0	116.6	108.8
2019.02.01	108.8	110.0	110.0
2019.01.18	110.0	116.8	116.1
2018.12.21	116.1	117.1	115.2
2018.12.07	115.2	117.2	112.3
2018.11.21	112.3	117.2	113.2
2018.11.09	113.2	117.2	113.1
2018.10.26	113.1	117.2	114.4
2018.10.12	114.4	118.7	115.2
2018.09.28	115.2	113.1	116.1
2018.09.14	116.1	112.4	110.3
2018.08.31	110.3	113.6	107.8
2018.08.17	107.8	114.5	114.4
2018.07.27	114.4	116.1	113.9
2018.07.13	113.9	116.8	116.5
2018.06.29	116.5	117.2	117.9
2018.06.15	117.9	115.1	111.8
2018.05.25	111.8	112.9	113.3
2018.05.11	113.3	112.4	114.9
2018.04.27	114.9	112.0	115.0
2018.04.13	115.0	127.0	121.2
2018.03.29	121.2	125.6	122.8
2018.03.16	122.8	111.3	114.9
2018.03.02	114.9	117.5	115.1
2018.02.16	115.1	109.7	110.5
2018.02.02	110.5	108.7	109.2
2018.01.19	109.2	115.8	113.8
2017.12.22	113.8	116.7	115.9
2017.12.08	115.9	110.9	113.5
2017.11.22	113.5	113.9	113.6
2017.11.10	113.6	118.8	116.5
2017.10.27	116.5	116.7	116.4
2017.10.13	116.4	113.3	111.7
2017.09.29	111.7	114.4	113.9
2017.09.15	113.9	111.1	110.9
2017.09.01	110.9	110.2	111.0
2017.08.18	111.0	113.9	113.4
2017.07.28	113.4		113.2
2017.07.14	113.2		112.5
2017.06.30	112.5		109.6
