Date	ActualValue	ForecastValue	PreviousValue
2020.06.16	58	18	37
2020.05.18	37	-18	30
2020.04.15	30	73	72
2020.03.17	72	74	74
2020.02.18	74	74	75
2020.01.16	75	73	76
2019.12.16	76	71	71
2019.11.18	70	72	71
2019.10.16	71	64	68
2019.09.17	68	62	67
2019.08.15	66	62	65
2019.07.16	65	62	64
2019.06.17	64	68	66
2019.05.15	66	65	63
2019.04.16	63	60	62
2019.03.18	62	53	62
2019.02.19	62	56	58
2019.01.16	58	64	56
2018.12.17	56	69	60
2018.11.19	60	69	68
2018.10.16	68	69	67
2018.09.18	67	68	67
2018.08.15	67	68	68
2018.07.17	68	67	68
2018.06.18	68	67	70
2018.05.15	70	67	68
2018.04.16	69	71	70
2018.03.15	70	75	71
2018.02.15	72	76	72
2018.01.17	72	74	74
2017.12.18	74	70	69
2017.11.16	70	67	68
2017.10.17	68	66	64
2017.09.18	64	67	67
2017.08.15	68	67	64
2017.07.18	64	70	66
2017.06.15	67	70	69
2017.05.15	70	69	68
2017.04.17	68		71
2017.03.15	71		65
2017.02.15	65		67
2017.01.18	67		69
2016.12.15	70		63
2016.11.16	63		63
2016.10.18	63		65
2016.09.19	65		59
2016.08.15	60		58
2016.07.18	59		60
2016.06.16	60		58
2016.05.16	58		58
2016.04.18	58		58
2016.03.15	58		58
2016.02.16	58		61
2016.01.19	60		60
2015.12.15	61		62
2015.11.17	62		65
2015.10.19	64		61
2015.09.16	62		61
2015.08.17	61		60
2015.07.16	60		60
2015.06.15	59		54
2015.05.18	54		56
2015.04.15	56		53
2015.03.16	52		55
2015.02.17	55		57
2015.01.20	57		57
2014.12.15	58		58
2014.11.18	58		54
2014.10.16	54		59
2014.09.17	59		55
2014.08.18	55		53
2014.07.16	53		49
2014.06.16	49		45
2014.05.15	45		47
2014.04.15	46		47
2014.03.17	46		46
2014.02.18	46		56
2014.01.16	56		58
2013.12.17	57		54
2013.11.18	54		55
2013.10.16	54		58
2013.09.17	57		59
2013.08.15	58		57
2013.07.16	56		52
2013.06.17	51		44
2013.05.15	44		42
2013.04.15	41		44
2013.03.18	44		46
2013.02.19	46		47
2013.01.16	47		47
2012.12.18	47		46
2012.11.19	45		41
2012.10.16	41		40
2012.09.18	40		37
2012.08.15	37		35
2012.07.17	35		29
2012.06.18	29		29
2012.05.15	28		25
2012.04.16	24		28
2012.03.19	28		28
2012.02.15	28		25
2012.01.18	25		21
2011.12.19	21		20
2011.11.16	19		17
2011.10.18	17		14
2011.09.19	14		15
2011.08.15	15		15
2011.07.18	15		13
2011.06.15	13		16
2011.05.16	16		16
2011.04.18	16		17
2011.03.15	17		16
2011.02.15	16		16
2011.01.18	16		16
2010.12.15	16		16
2010.11.16	16		15
2010.10.18	15		13
2010.09.20	13		13
2010.08.16	13		14
2010.07.19	14		17
2010.06.15	17		22
2010.05.17	22		19
2010.04.15	19		15
2010.03.15	15		17
2010.02.16	17		15
2010.01.19	15		16
2009.12.15	16		17
2009.11.17	17		18
2009.10.19	17		19
2009.09.16	19		18
2009.08.17	18		17
2009.07.17	17		15
2009.06.15	15		16
2009.05.18	16		14
2009.04.15	14		9
2009.03.16	9		9
2009.02.17	9		8
2009.01.21	8		9
2008.12.15	9		9
2008.11.18	9		14
2008.10.16	14		18
2008.09.16	18		16
2008.08.18	16		16
2008.07.16	16		18
2008.06.16	18		19
2008.05.15	19		20
2008.04.15	20		20
2008.03.17	20		20
2008.02.19	20		19
2008.01.16	19		19
2007.12.17	18		19
2007.11.19	19		18
2007.10.16	18		20
2007.09.18	20		22
2007.08.15	22		24
2007.07.17	24		28
2007.06.18	28		30
2007.05.15	30		
