Date	ActualValue	ForecastValue	PreviousValue
2020.08.27	122.1		115.3
2020.07.29	116.1		99.6
2020.06.29	99.6		69.0
2020.05.28	69.0		88.2
2020.04.29	88.2		111.4
2020.03.30	111.5		108.9
2020.02.27	108.8		103.4
2020.01.29	103.2		108.5
2019.12.30	108.5		107.2
2019.11.27	106.7		108.6
2019.10.29	108.7		107.1
2019.09.26	107.3		105.6
2019.08.29	105.6		108.3
2019.07.30	108.3		105.4
2019.06.27	105.4		104.3
2019.05.30	104.3		105.9
2019.04.30	105.8		101.9
2019.03.28	101.9		102.9
2019.02.27	103.2	100.1	98.7
2019.01.30	99.0	102.5	101.2
2018.12.28	101.4	103.5	102.1
2018.11.29	102.1	104.3	104.8
2018.10.25	104.6		104.1
2018.09.27	104.2		106.1
2018.08.29	106.2		107.0
2018.07.30	106.9		105.9
2018.06.27	105.9		106.4
2018.05.31	106.4		107.8
2018.04.30	107.6		107.2
2018.03.28	107.5		104.3
2018.02.28	104.6		109.8
2018.01.31	110.1		109.6
2017.12.27	109.5		109.3
2017.11.29	109.3		105.6
2017.10.26	106.0		106.0
2017.09.27	106.3		109.1
2017.08.31	109.1		110.0
2017.07.31	110.2		108.6
2017.06.28	108.5		109.4
2017.05.31	109.8		111.3
2017.04.27	111.4		112.3
2017.03.29	112.3		106.4
2017.02.27	106.4		109.5
2017.01.30	109.0		107.3
2016.12.28	107.3		110.0
2016.11.30	110.0		109.9
2016.10.27	110.0		108.4
2016.09.29	108.5		111.2
2016.08.31	111.3		109.9
2016.07.27	111.0		110.8
2016.06.29	110.8		115.0
2016.05.26	116.3		110.7
2016.04.27	110.5		109.0
2016.03.28	109.1		105.4
2016.02.29	106.0		108.7
2016.01.28	106.8		106.7
2015.12.30	106.9		107.7
2015.11.30	107.7		107.5
2015.10.29	106.8		109.3
2015.09.28	109.4		110.9
2015.08.27	110.9		110.4
2015.07.29	110.3		112.3
2015.06.29	112.6		111.6
2015.05.28	112.4		108.7
2015.04.29	108.6		107.4
2015.03.30	106.9		103.7
2015.02.27	104.2		102.5
2015.01.29	100.7		104.6
2014.12.31	104.8		104.1
2014.11.26	104.1		105.3
2014.10.27	105.0		104.7
2014.09.29	104.7		105.8
2014.08.28	105.9		
