Date,Value
1983-09-01,7.80%
1983-10-01,4.40%
1983-11-01,4.40%
1983-12-01,-4.90%
1984-01-01,9.50%
1984-02-01,-5.00%
1984-03-01,6.80%
1984-04-01,3.00%
1984-05-01,-0.90%
1984-06-01,5.00%
1984-07-01,-7.60%
1984-08-01,3.60%
1984-09-01,1.50%
1984-10-01,-7.30%
1984-11-01,3.20%
1984-12-01,2.00%
1985-01-01,0.10%
1985-02-01,0.50%
1985-03-01,-2.50%
1985-04-01,2.90%
1985-05-01,7.50%
1985-06-01,-9.70%
1985-07-01,3.00%
1985-08-01,-4.00%
1985-09-01,3.90%
1985-10-01,-5.10%
1985-11-01,7.50%
1985-12-01,-12.60%
1986-01-01,-2.80%
1986-02-01,2.20%
1986-03-01,-9.80%
1986-04-01,-4.90%
1986-05-01,0.10%
1986-06-01,-4.80%
1986-07-01,13.20%
1986-08-01,0.10%
1986-09-01,-10.00%
1986-10-01,0.60%
1986-11-01,0.40%
1986-12-01,0.00%
1987-01-01,3.50%
1987-02-01,-6.10%
1987-03-01,1.40%
1987-04-01,1.10%
1987-05-01,-3.30%
1987-06-01,4.70%
1987-07-01,1.80%
1987-08-01,2.80%
1987-09-01,1.00%
1987-10-01,4.20%
1987-11-01,5.10%
1987-12-01,3.90%
1988-01-01,1.90%
1988-02-01,7.90%
1988-03-01,-1.30%
1988-04-01,-1.50%
1988-05-01,7.70%
1988-06-01,0.50%
1988-07-01,6.90%
1988-08-01,2.20%
1988-09-01,8.80%
1988-10-01,-3.40%
1988-11-01,-2.60%
1988-12-01,0.20%
1989-01-01,-1.60%
1989-02-01,-1.30%
1989-03-01,2.10%
1989-04-01,-3.90%
1989-05-01,6.40%
1989-06-01,-5.80%
1989-07-01,-3.80%
1989-08-01,-14.60%
1989-09-01,0.00%
1989-10-01,0.20%
1989-11-01,-0.40%
1989-12-01,-1.60%
1990-01-01,-7.00%
1990-02-01,1.10%
1990-03-01,4.10%
1990-04-01,-1.00%
1990-05-01,-7.70%
1990-06-01,4.40%
1990-07-01,-3.00%
1990-08-01,-4.20%
1990-09-01,2.60%
1990-10-01,-1.20%
1990-11-01,0.30%
1990-12-01,2.20%
1991-01-01,-9.40%
1991-02-01,6.50%
1991-03-01,0.00%
1991-04-01,-3.10%
1991-05-01,-1.00%
1991-06-01,9.20%
1991-07-01,-3.70%
1991-08-01,10.60%
1991-09-01,0.70%
1991-10-01,1.70%
1991-11-01,0.20%
1991-12-01,-4.00%
1992-01-01,3.20%
1992-02-01,6.20%
1992-03-01,-3.90%
1992-04-01,4.80%
1992-05-01,6.70%
1992-06-01,-4.10%
1992-07-01,2.50%
1992-08-01,0.10%
1992-09-01,1.20%
1992-10-01,-1.30%
1992-11-01,3.60%
1992-12-01,3.10%
1993-01-01,4.60%
1993-02-01,1.70%
1993-03-01,-7.90%
1993-04-01,5.60%
1993-05-01,0.20%
1993-06-01,-4.30%
1993-07-01,0.90%
1993-08-01,8.40%
1993-09-01,-5.20%
1993-10-01,2.20%
1993-11-01,0.50%
1993-12-01,0.40%
1994-01-01,0.40%
1994-02-01,6.20%
1994-03-01,-6.00%
1994-04-01,-0.20%
1994-05-01,3.50%
1994-06-01,11.00%
1994-07-01,-6.70%
1994-08-01,-5.50%
1994-09-01,14.10%
1994-10-01,-2.70%
1994-11-01,-8.20%
1994-12-01,-7.20%
1995-01-01,-2.10%
1995-02-01,-5.30%
1995-03-01,-2.70%
1995-04-01,-4.60%
1995-05-01,-6.20%
1995-06-01,3.80%
1995-07-01,-5.50%
1995-08-01,-2.00%
1995-09-01,-5.60%
1995-10-01,2.60%
1995-11-01,-9.10%
1995-12-01,0.80%
1996-01-01,1.00%
1996-02-01,-6.80%
1996-03-01,9.20%
1996-04-01,-1.50%
1996-05-01,0.10%
1996-06-01,5.50%
1996-07-01,-5.40%
1996-08-01,7.30%
1996-09-01,0.40%
1996-10-01,-8.30%
1996-11-01,13.00%
1996-12-01,-3.30%
1997-01-01,-2.90%
1997-02-01,8.30%
1997-03-01,3.30%
1997-04-01,-1.50%
1997-05-01,1.80%
1997-06-01,5.00%
1997-07-01,-6.00%
1997-08-01,-2.70%
1997-09-01,17.30%
1997-10-01,-6.30%
1997-11-01,-4.30%
1997-12-01,7.00%
1998-01-01,0.30%
1998-02-01,1.80%
1998-03-01,-5.00%
1998-04-01,6.10%
1998-05-01,8.60%
1998-06-01,-8.10%
1998-07-01,6.60%
1998-08-01,-2.20%
1998-09-01,-9.10%
1998-10-01,-0.60%
1998-11-01,-0.70%
1998-12-01,6.40%
1999-01-01,-1.60%
1999-02-01,-4.20%
1999-03-01,5.10%
1999-04-01,-3.10%
1999-05-01,6.20%
1999-06-01,-1.80%
1999-07-01,5.00%
1999-08-01,7.60%
1999-09-01,0.10%
1999-10-01,-0.80%
1999-11-01,1.00%
1999-12-01,3.30%
2000-01-01,2.00%
2000-02-01,5.20%
2000-03-01,-2.60%
2000-04-01,-9.90%
2000-05-01,-4.10%
2000-06-01,-7.00%
2000-07-01,-14.70%
2000-08-01,-13.00%
2000-09-01,-6.20%
2000-10-01,2.20%
2000-11-01,1.00%
2000-12-01,12.90%
2001-01-01,-4.00%
2001-02-01,-0.60%
2001-03-01,-8.70%
2001-04-01,4.90%
2001-05-01,6.80%
2001-06-01,16.30%
2001-07-01,3.90%
2001-08-01,4.30%
2001-09-01,14.20%
2001-10-01,0.10%
2001-11-01,-1.20%
2001-12-01,-0.40%
2002-01-01,-1.80%
2002-02-01,-1.20%
2002-03-01,-3.40%
2002-04-01,6.40%
2002-05-01,9.30%
2002-06-01,-8.00%
2002-07-01,0.20%
2002-08-01,-4.10%
2002-09-01,24.50%
2002-10-01,-20.00%
2002-11-01,26.00%
2002-12-01,-20.30%
2003-01-01,0.00%
2003-02-01,4.50%
2003-03-01,-6.20%
2003-04-01,7.40%
2003-05-01,-1.60%
2003-06-01,-1.10%
2003-07-01,2.80%
2003-08-01,2.10%
2003-09-01,-1.40%
2003-10-01,9.90%
2003-11-01,0.30%
2003-12-01,-8.90%
2004-01-01,0.50%
2004-02-01,-0.40%
2004-03-01,-1.30%
2004-04-01,4.70%
2004-05-01,-1.50%
2004-06-01,-0.40%
2004-07-01,-3.30%
2004-08-01,-3.70%
2004-09-01,-2.30%
2004-10-01,-6.70%
2004-11-01,-0.80%
2004-12-01,1.80%
2005-01-01,5.90%
2005-02-01,1.80%
2005-03-01,-4.30%
2005-04-01,-3.00%
2005-05-01,3.20%
2005-06-01,10.10%
2005-07-01,-1.80%
2005-08-01,-12.00%
2005-09-01,-4.90%
2005-10-01,0.40%
2005-11-01,-1.10%
2005-12-01,5.20%
2006-01-01,-0.50%
2006-02-01,1.30%
2006-03-01,-0.70%
2006-04-01,2.60%
2006-05-01,-4.70%
2006-06-01,6.70%
2006-07-01,1.10%
2006-08-01,3.10%
2006-09-01,-7.80%
2006-10-01,1.40%
2006-11-01,-6.50%
2006-12-01,6.30%
2007-01-01,-2.00%
2007-02-01,0.30%
2007-03-01,9.00%
2007-04-01,-10.20%
2007-05-01,3.60%
2007-06-01,-1.40%
2007-07-01,4.90%
2007-08-01,-0.50%
2007-09-01,-1.50%
2007-10-01,6.60%
2007-11-01,-0.70%
2007-12-01,7.40%
2008-01-01,-3.00%
2008-02-01,1.30%
2008-03-05,1.9%
2008-04-06,0.1%
2008-04-30,-5.7%
2008-06-02,7.8%
2008-07-01,-6.5%
2008-07-29,-0.7%
2008-09-01,-2.3%
2008-09-29,-3.7%
2008-11-04,-7.2%
2008-12-03,-5.4%
2009-01-07,-12.8%
2009-02-03,-2.9%
2009-03-04,-3.7%
2009-03-31,7.8%
2009-05-04,3.5%
2009-06-01,5.1%
2009-06-30,-12.5%
2009-07-29,9.3%
2009-08-31,7.7%
2009-09-29,-0.1%
2009-11-03,2.7%
2009-11-30,-0.6%
2010-01-05,5.9%
2010-02-03,2.2%
2010-03-01,-7.0%
2010-03-30,-3.3%
2010-05-04,15.3%
2010-05-31,-14.8%
2010-06-30,-6.6%
2010-08-02,-3.3%
2010-08-30,2.3%
2010-09-29,-4.7%
2010-11-02,-6.6%
2010-11-29,9.3%
2011-01-05,-4.2%
2011-02-02,8.7%
2011-03-02,-15.9%
2011-03-30,-7.4%
2011-05-04,9.1%
2011-05-30,-1.3%
2011-07-03,-7.9%
2011-08-01,-3.5%
2011-08-29,1.0%
2011-10-03,11.4%
2011-11-01,-13.6%
2011-11-30,-10.7%
2012-01-09,8.4%
2012-02-01,-1.0%
2012-02-29,0.9%
2012-04-01,-7.8%
2012-05-06,7.4%
2012-05-30,-8.7%
2012-07-02,27.3%
2012-07-30,-2.5%
2012-08-29,-17.3%
2012-10-03,6.4%
2012-10-30,7.8%
2012-12-03,-7.6%
2013-01-09,2.9%
2013-02-03,-4.4%
2013-03-03,-2.4%
2013-04-03,3.1%
2013-05-01,-5.5%
2013-05-29,9.1%
2013-07-03,-1.1%
2013-07-29,-6.9%
2013-09-01,10.8%
2013-10-01,-4.7%
2013-10-30,14.4%
2013-12-01,-1.8%
2014-01-08,-1.5%
2014-02-02,-2.9%
2014-03-03,6.8%
2014-04-01,-5.0%
2014-05-04,-3.5%
2014-06-01,-5.6%
2014-07-02,9.9%
2014-07-30,-5.0%
2014-09-01,2.5%
2014-10-01,3.0%
