Date,Value
1978-04-01,8.30K
1978-05-01,30.10K
1978-06-01,-2.90K
1978-07-01,3.10K
1978-08-01,-2.80K
1978-09-01,1.70K
1978-10-01,0.70K
1978-11-01,5.50K
1978-12-01,-6.50K
1979-01-01,21.40K
1979-02-01,1.60K
1979-03-01,6.40K
1979-04-01,-5.30K
1979-05-01,10.60K
1979-06-01,1.60K
1979-07-01,30.90K
1979-08-01,-0.70K
1979-09-01,17.00K
1979-10-01,-0.40K
1979-11-01,38.20K
1979-12-01,31.40K
1980-01-01,0.20K
1980-02-01,20.60K
1980-03-01,15.30K
1980-04-01,12.40K
1980-05-01,12.40K
1980-06-01,21.20K
1980-07-01,8.30K
1980-08-01,32.70K
1980-09-01,2.90K
1980-10-01,3.30K
1980-11-01,-7.60K
1980-12-01,26.10K
1981-01-01,20.30K
1981-02-01,1.70K
1981-03-01,18.80K
1981-04-01,3.60K
1981-05-01,30.00K
1981-06-01,-2.40K
1981-07-01,15.70K
1981-08-01,-1.50K
1981-09-01,16.90K
1981-10-01,19.20K
1981-11-01,-26.20K
1981-12-01,-9.10K
1982-01-01,11.80K
1982-02-01,33.90K
1982-03-01,-13.70K
1982-04-01,-7.70K
1982-05-01,12.50K
1982-06-01,-23.00K
1982-07-01,-13.00K
1982-08-01,-0.20K
1982-09-01,-5.90K
1982-10-01,-18.30K
1982-11-01,5.70K
1982-12-01,-56.00K
1983-01-01,-48.50K
1983-02-01,-5.40K
1983-03-01,-1.30K
1983-04-01,-33.70K
1983-05-01,-20.70K
1983-06-01,28.40K
1983-07-01,6.10K
1983-08-01,6.00K
1983-09-01,10.30K
1983-10-01,25.70K
1983-11-01,4.60K
1983-12-01,33.90K
1984-01-01,29.70K
1984-02-01,-5.70K
1984-03-01,16.90K
1984-04-01,55.60K
1984-05-01,9.70K
1984-06-01,23.00K
1984-07-01,19.90K
1984-08-01,9.70K
1984-09-01,-1.00K
1984-10-01,27.30K
1984-11-01,0.70K
1984-12-01,8.40K
1985-01-01,9.60K
1985-02-01,15.30K
1985-03-01,54.50K
1985-04-01,-25.80K
1985-05-01,10.70K
1985-06-01,38.40K
1985-07-01,10.40K
1985-08-01,25.80K
1985-09-01,49.10K
1985-10-01,40.40K
1985-11-01,-13.40K
1985-12-01,90.10K
1986-01-01,-26.70K
1986-02-01,52.40K
1986-03-01,13.80K
1986-04-01,8.30K
1986-05-01,71.10K
1986-06-01,-1.40K
1986-07-01,36.60K
1986-08-01,-16.60K
1986-09-01,-17.00K
1986-10-01,27.60K
1986-11-01,25.40K
1986-12-01,-19.60K
1987-01-01,20.30K
1987-02-01,3.70K
1987-03-01,27.60K
1987-04-01,8.80K
1987-05-01,15.00K
1987-06-01,12.20K
1987-07-01,33.30K
1987-08-01,47.60K
1987-09-01,-16.70K
1987-10-01,-14.20K
1987-11-01,30.60K
1987-12-01,-17.40K
1988-01-01,78.50K
1988-02-01,63.40K
1988-03-01,-14.80K
1988-04-01,43.70K
1988-05-01,28.80K
1988-06-01,-13.20K
1988-07-01,16.10K
1988-08-01,22.60K
1988-09-01,30.50K
1988-10-01,43.70K
1988-11-01,17.50K
1988-12-01,16.50K
1989-01-01,30.40K
1989-02-01,29.70K
1989-03-01,56.70K
1989-04-01,19.40K
1989-05-01,28.30K
1989-06-01,52.50K
1989-07-01,4.60K
1989-08-01,28.50K
1989-09-01,37.10K
1989-10-01,8.90K
1989-11-01,12.80K
1989-12-01,51.80K
1990-01-01,-21.90K
1990-02-01,4.40K
1990-03-01,13.50K
1990-04-01,19.00K
1990-05-01,2.30K
1990-06-01,24.30K
1990-07-01,9.70K
1990-08-01,-0.80K
1990-09-01,-31.70K
1990-10-01,-25.20K
1990-11-01,-9.60K
1990-12-01,-15.40K
1991-01-01,-5.60K
1991-02-01,-61.20K
1991-03-01,5.10K
1991-04-01,-52.50K
1991-05-01,-3.80K
1991-06-01,-15.10K
1991-07-01,-29.10K
1991-08-01,-19.90K
1991-09-01,-0.20K
1991-10-01,6.50K
1991-11-01,-23.90K
1991-12-01,-10.20K
1992-01-01,10.30K
1992-02-01,17.40K
1992-03-01,12.40K
1992-04-01,-17.10K
1992-05-01,-2.60K
1992-06-01,-13.70K
1992-07-01,18.50K
1992-08-01,18.50K
1992-09-01,17.20K
1992-10-01,-37.10K
1992-11-01,12.10K
1992-12-01,-62.10K
1993-01-01,21.50K
1993-02-01,46.80K
1993-03-01,-69.60K
1993-04-01,48.00K
1993-05-01,-15.10K
1993-06-01,-2.80K
1993-07-01,14.00K
1993-08-01,3.60K
1993-09-01,20.90K
1993-10-01,18.70K
1993-11-01,51.20K
1993-12-01,21.70K
1994-01-01,8.90K
1994-02-01,13.40K
1994-03-01,26.40K
1994-04-01,14.80K
1994-05-01,9.00K
1994-06-01,40.10K
1994-07-01,20.20K
1994-08-01,75.30K
1994-09-01,-16.60K
1994-10-01,46.40K
1994-11-01,1.50K
1994-12-01,16.70K
1995-01-01,40.30K
1995-02-01,7.20K
1995-03-01,55.30K
1995-04-01,-0.30K
1995-05-01,61.80K
1995-06-01,5.90K
