Date,Value
2000-02-01,-27.60%
2000-03-01,67.40%
2000-04-01,13.60%
2000-05-01,9.80%
2000-06-01,-19.10%
2000-07-01,2.20%
2000-08-01,-39.20%
2000-09-01,-0.50%
2000-10-01,12.30%
2000-11-01,-1.00%
2000-12-01,18.90%
2001-01-01,-8.50%
2001-02-01,3.10%
2001-03-01,7.30%
2001-04-01,101.10%
2001-05-01,-55.00%
2001-06-01,72.80%
2001-07-01,-10.60%
2001-08-01,-0.30%
2001-09-01,-10.90%
2001-10-01,2.10%
2001-11-01,-6.60%
2001-12-01,10.10%
2002-01-01,-9.90%
2002-02-01,6.50%
2002-03-01,0.50%
2002-04-01,-21.10%
2002-05-01,7.10%
2002-06-01,8.10%
2002-07-01,-14.30%
2002-08-01,1.50%
2002-09-01,0.40%
2002-10-01,2.10%
2002-11-01,-3.00%
2002-12-01,10.10%
2003-01-01,2.20%
2003-02-01,4.70%
2003-03-01,7.30%
2003-04-01,-3.30%
2003-05-01,-6.90%
2003-06-01,-8.30%
2003-07-01,11.60%
2003-08-01,0.40%
2003-09-01,4.20%
2003-10-01,-4.40%
2003-11-01,-9.60%
2003-12-01,-6.00%
2004-01-01,0.20%
2004-02-01,-0.90%
2004-03-01,-1.80%
2004-04-01,-3.80%
2004-05-01,1.60%
2004-06-01,-6.50%
2004-07-01,10.10%
2004-08-01,2.40%
2004-09-01,-7.60%
2004-10-01,-7.30%
2004-11-01,-9.40%
2004-12-01,22.90%
2005-01-01,-16.00%
2005-02-01,-12.30%
2005-03-01,39.40%
2005-04-01,-0.80%
2005-05-01,4.30%
2005-06-01,-4.60%
2005-07-01,-2.10%
2005-08-01,-4.40%
2005-09-01,11.10%
2005-10-01,-16.90%
2005-11-01,2.10%
2005-12-01,-12.10%
2006-01-01,7.50%
2006-02-01,13.40%
2006-03-01,3.20%
2006-04-01,5.20%
2006-05-01,-6.50%
2006-06-01,-10.10%
2006-07-01,-8.40%
2006-08-01,-4.30%
2006-09-01,1.60%
2006-10-01,-3.00%
2006-11-01,2.00%
2006-12-01,-5.30%
2007-01-01,6.00%
2007-02-01,5.80%
2007-03-01,2.90%
2007-04-01,0.00%
2007-05-01,7.10%
2007-06-01,-4.40%
2007-07-01,-0.80%
2007-08-01,1.40%
2007-09-01,-8.60%
2007-10-01,9.90%
2007-11-01,0.80%
2007-12-01,-2.60%
2008-01-01,-1.30%
2008-02-01,11.30%
2008-03-01,-5.30%
2008-04-01,-6.00%
2008-05-01,0.10%
2008-06-01,-5.00%
2008-07-01,0.50%
2008-08-01,-8.10%
2008-09-01,-3.50%
2008-10-01,0.20%
2008-11-01,3.20%
2008-12-01,-4.10%
2009-01-06,-1.1%
2009-02-01,-1.7%
2009-03-01,8.3%
2009-03-29,3.9%
2009-04-28,4.2%
2009-05-31,0.5%
2009-06-29,-5.7%
2009-07-28,0.5%
2009-08-30,0.1%
2009-09-23,11.4%
2009-10-28,-4.5%
2009-11-29,-6.0%
2010-01-04,0.3%
2010-01-31,-4.6%
2010-02-28,9.5%
2010-03-28,-5.2%
2010-04-29,0.9%
2010-05-30,6.2%
2010-06-29,-6.4%
2010-08-01,-5.1%
2010-08-29,-7.0%
2010-09-28,-2.6%
2010-10-28,0.6%
2010-11-28,2.4%
2011-01-04,-0.2%
2011-02-01,-0.6%
2011-03-01,2.5%
2011-03-28,0.6%
2011-05-03,4.3%
2011-05-29,0.2%
2011-06-30,-0.2%
2011-07-31,-8.7%
2011-08-28,-8.0%
2011-09-27,1.1%
2011-10-31,-3.5%
2011-11-29,5.5%
2012-01-08,6.8%
2012-01-31,-4.9%
2012-02-28,-7.3%
2012-03-29,3.0%
2012-04-29,-9.4%
2012-05-28,6.9%
2012-06-27,0.7%
2012-07-29,2.8%
2012-08-27,-5.6%
2012-10-02,-5.3%
2012-10-29,-3.7%
2012-11-28,3.4%
2013-01-08,4.7%
2013-01-30,6.2%
2013-02-27,4.2%
2013-04-02,-5.3%
2013-04-30,4.2%
2013-05-28,3.9%
2013-07-02,1.6%
2013-07-31,3.4%
2013-08-28,-4.7%
2013-09-30,3.4%
2013-10-29,6.4%
2013-11-27,-3.8%
2014-01-09,7.5%
2014-01-29,-0.4%
2014-03-02,0.5%
2014-03-30,4.6%
2014-05-01,0.2%
2014-05-28,2.9%
2014-06-29,-4.3%
2014-07-28,1.2%
2014-08-27,-5.7%
2014-10-02,3.3%
2014-10-29,0.0%
2014-11-26,3.0%
2015-01-21,2.2%
2015-02-04,-1.9%
2015-03-01,1.8%
2015-03-30,1.1%
2015-05-05,4.4%
2015-05-28,0.6%
2015-06-29,-2.3%
2015-08-02,0.5%
2015-08-30,-0.4%
2015-10-01,2.3%
2015-10-28,-4.0%
2015-12-02,-3.0%
2016-01-20,-2.7%
2016-02-09,6.0%
2016-03-01,3.1%
2016-03-30,-5.3%
2016-05-04,8.9%
2016-05-29,-4.7%
2016-06-28,-4.4%
2016-07-31,8.2%
2016-08-28,-9.7%
2016-09-29,6.1%
2016-10-27,3.8%
2016-11-28,-8.5%
2017-01-19,6.1%
2017-02-08,0.2%
2017-02-27,-2.2%
2017-03-29,0.2%
2017-05-03,-1.1%
2017-06-01,0.8%
2017-06-28,1.1%
2017-07-30,-6.9%
2017-08-28,-3.7%
2017-10-02,9.1%
2017-10-30,-6.1%
2017-12-13,1.6%
2018-01-17,0.7%
2018-03-01,-2.1%
2018-03-26,-0.7%
2018-04-29,-2.0%
2018-06-06,-4.2%
2018-06-28,-4.4%
2018-07-30,2.2%
2018-08-31,-3.1%
2018-10-04,-2.9%
2018-10-28,1.1%
2018-11-28,-0.8%
2018-12-17,3.6%
2019-01-20,-6.7%
2019-03-03,-1.8%
2019-03-31,1.0%
2019-05-01,-0.1%
2019-05-29,-11.8%
2019-07-01,28.8%
2019-07-28,-12.4%
2019-08-29,-7.2%
2019-10-03,7.3%
2019-10-29,5.7%
2019-11-28,-0.5%
2020-01-16,-0.5%
2020-02-04,2.0%
2020-03-02,5.7%
2020-03-30,6.2%
2020-04-30,-23.2%
2020-06-16,-4.2%
2020-07-15,87.2%
2020-08-13,-10.6%
2020-09-15,-14.4%
