Date,Value
2008-09-10,4.4%
2008-10-08,4.4%
2008-11-12,3.3%
2008-12-10,0.0%
2009-01-14,2.0%
2009-01-21,2.7%
2009-02-11,2.3%
2009-03-11,2.2%
2009-04-08,2.4%
2009-05-20,2.3%
2009-06-10,2.8%
2009-07-08,3.2%
2009-08-12,3.5%
2009-09-09,3.5%
2009-10-14,3.5%
2009-11-11,3.2%
2009-12-09,3.6%
2010-01-20,3.5%
2010-02-10,3.2%
2010-03-10,3.2%
2010-04-14,4.1%
2010-05-19,3.6%
2010-06-09,3.4%
2010-07-14,3.3%
2010-08-11,2.8%
2010-09-15,3.1%
2010-10-13,3.8%
2010-11-10,3.1%
2010-12-15,2.8%
2011-01-19,4.6%
2011-02-09,4.3%
2011-03-09,3.6%
2011-04-13,3.5%
2011-05-18,3.3%
2011-06-15,3.3%
2011-07-13,3.4%
2011-08-10,2.7%
2011-09-14,2.8%
2011-10-12,3.1%
2011-11-09,2.5%
2011-12-14,2.4%
2012-01-18,2.8%
2012-02-15,2.5%
2012-03-14,2.7%
2012-04-11,3.3%
2012-05-16,3.1%
2012-06-13,2.3%
2012-07-11,3.3%
2012-08-15,2.4%
2012-09-12,2.4%
2012-10-10,2.6%
2012-11-14,2.2%
2012-12-12,1.8%
2013-01-16,2.0%
2013-02-13,2.2%
2013-03-13,2.3%
2013-04-10,2.2%
2013-05-22,2.3%
2013-06-12,2.3%
2013-07-10,2.6%
2013-08-14,2.3%
2013-09-11,1.5%
2013-10-09,2.0%
2013-11-13,1.9%
2013-12-11,2.1%
2014-01-22,2.3%
2014-02-12,2.3%
2014-03-12,2.1%
2014-04-09,2.4%
2014-05-21,4.4%
2014-06-11,4.0%
2014-07-09,3.8%
2014-08-13,3.1%
2014-09-10,3.5%
2014-10-15,3.4%
2014-11-12,4.1%
2014-12-10,3.4%
2015-01-21,3.2%
2015-02-11,4.0%
2015-03-11,3.2%
2015-04-15,3.4%
2015-05-20,3.6%
2015-06-10,3.0%
2015-07-15,3.4%
2015-08-12,3.7%
2015-09-09,3.2%
2015-10-14,3.5%
2015-11-11,3.5%
2015-12-09,4.0%
2016-01-20,3.6%
2016-02-10,3.6%
2016-03-09,3.4%
2016-04-13,3.6%
2016-05-11,3.2%
2016-06-15,3.5%
2016-07-13,3.7%
2016-08-10,3.5%
2016-09-14,3.3%
2016-10-12,3.7%
2016-11-09,3.2%
2016-12-14,3.4%
2017-01-18,4.3%
2017-02-15,4.1%
2017-03-15,4.0%
2017-04-12,4.1%
2017-05-17,4.0%
2017-06-14,3.6%
2017-07-12,4.4%
2017-08-09,4.2%
2017-09-13,3.8%
2017-10-11,4.3%
2017-11-15,3.7%
2017-12-13,3.7%
2018-01-17,3.7%
2018-02-14,3.6%
2018-03-14,3.7%
2018-04-11,3.6%
2018-05-16,3.7%
2018-06-13,4.2%
2018-07-11,3.9%
2018-08-15,4.0%
2018-09-12,4.0%
2018-10-10,4.0%
2018-11-14,3.6%
2018-12-12,4.0%
2019-01-16,3.5%
2019-02-13,3.7%
2019-03-13,4.1%
2019-04-10,3.9%
2019-05-15,3.3%
2019-06-12,3.3%
2019-07-10,3.2%
2019-08-14,3.5%
2019-09-11,3.1%
2019-10-09,3.6%
2019-11-13,4.0%
2019-12-11,4.0%
2020-01-22,4.7%
2020-02-12,4.0%
2020-03-11,4.0%
2020-04-15,4.6%
2020-05-13,3.4%
2020-06-10,3.3%
2020-07-15,3.2%
2020-08-12,3.3%
2020-09-09,3.1%
