Date,Value
2008-02-19,0.0%
2008-03-18,-0.1%
2008-04-15,0.0%
2008-06-17,0.4%
2008-07-15,0.0%
2008-08-19,0.1%
2008-09-16,0.2%
2008-10-13,-0.1%
2008-11-17,-1.0%
2008-12-15,-0.1%
2009-01-26,-1.0%
2009-02-16,-0.4%
2009-03-16,-0.2%
2009-04-14,-0.3%
2009-05-26,0.3%
2009-06-16,0.7%
2009-07-14,-0.2%
2009-08-18,0.7%
2009-09-15,1.1%
2009-10-20,1.1%
2009-11-17,0.9%
2009-12-15,0.4%
2010-01-26,1.0%
2010-02-16,0.5%
2010-03-16,0.2%
2010-04-20,0.5%
2010-05-25,0.9%
2010-06-15,0.0%
2010-07-20,0.2%
2010-08-17,0.0%
2010-09-21,0.4%
2010-10-19,-0.1%
2010-11-16,0.0%
2010-12-21,0.3%
2011-01-26,0.0%
2011-02-15,0.8%
2011-03-15,-0.1%
2011-04-19,0.4%
2011-05-24,0.5%
2011-06-21,0.2%
2011-07-19,-0.1%
2011-08-16,0.1%
2011-09-20,0.5%
2011-10-18,0.8%
2011-11-15,-0.3%
2011-12-20,0.1%
2012-01-24,-0.2%
2012-02-21,0.5%
2012-03-20,0.6%
2012-04-17,0.2%
2012-05-22,0.4%
2012-06-19,0.5%
2012-07-17,0.8%
2012-08-21,0.5%
2012-09-18,0.4%
2012-10-16,0.5%
2012-11-20,0.7%
2012-12-18,0.1%
2013-01-22,0.6%
2013-02-19,0.2%
2013-03-19,0.3%
2013-04-16,0.6%
2013-05-28,0.2%
2013-06-18,0.6%
2013-07-16,0.2%
2013-08-20,0.0%
2013-09-17,0.6%
2013-10-15,-0.1%
2013-11-19,0.1%
2013-12-17,-0.1%
2014-01-28,0.1%
2014-02-18,-0.2%
2014-03-18,-0.1%
2014-04-15,0.0%
2014-05-27,-0.5%
2014-06-17,0.1%
2014-07-15,0.1%
2014-08-19,-0.1%
2014-09-16,-0.1%
2014-10-21,-0.1%
2014-11-18,0.0%
2014-12-16,-0.1%
2015-01-27,0.0%
2015-02-17,0.1%
2015-03-17,0.3%
2015-04-21,-0.3%
2015-05-26,0.1%
2015-06-16,-0.1%
2015-07-21,0.0%
2015-08-18,0.0%
2015-09-15,-0.3%
2015-10-20,0.1%
2015-11-17,0.1%
2015-12-15,-0.2%
2016-01-26,-0.3%
2016-02-16,0.0%
2016-03-15,-0.2%
2016-05-17,0.2%
2016-06-21,0.2%
2016-07-19,-0.2%
2016-08-16,0.1%
2016-09-20,0.0%
2016-10-18,0.1%
2016-11-15,0.1%
2016-12-20,0.0%
2017-01-24,0.4%
2017-02-21,0.0%
2017-03-21,-0.1%
2017-04-18,0.1%
2017-05-23,-0.1%
2017-06-20,0.0%
2017-07-18,-0.1%
2017-08-15,0.1%
2017-09-19,-0.1%
2017-10-17,0.1%
2017-11-21,0.1%
2017-12-19,0.1%
2018-01-23,0.3%
2018-02-20,-0.2%
2018-03-20,0.3%
2018-04-17,-0.2%
2018-05-22,0.2%
2018-06-19,-0.2%
2018-07-17,0.0%
2018-08-21,0.0%
2018-09-18,0.1%
2018-10-16,-0.1%
2018-11-20,0.1%
2018-12-18,-0.1%
2019-01-22,-0.2%
2019-02-19,0.0%
2019-03-19,0.0%
2019-04-16,0.2%
2019-05-21,-0.1%
2019-06-18,-0.1%
2019-07-16,-0.1%
2019-08-20,0.1%
2019-09-17,-0.3%
2019-10-15,-0.1%
2019-11-19,-0.1%
2019-12-17,-0.1%
2020-01-28,0.1%
2020-02-18,0.1%
2020-03-17,-0.4%
2020-04-21,-0.8%
2020-05-19,-1.5%
2020-06-16,0.2%
2020-07-21,0.4%
2020-08-18,0.1%
