Date,Value
2018-12-13,53.7
2019-01-01,54.0
2019-01-23,54.3
2019-01-31,53.9
2019-02-20,53.1
2019-02-28,52.9
2019-03-21,52.0
2019-03-31,52.0
2019-04-17,51.0
2019-04-30,50.9
2019-05-22,51.1
2019-06-02,51.0
2019-06-20,51.7
2019-06-30,52.0
2019-07-23,51.4
2019-07-31,51.6
2019-08-21,51.3
2019-09-01,50.9
2019-09-22,49.4
2019-09-30,50.3
2019-10-23,50.1
2019-10-31,50.0
2019-11-21,49.9
2019-12-01,49.9
2019-12-15,49.4
2020-01-01,49.2
2020-01-23,49.1
2020-02-02,49.6
2020-02-20,49.8
2020-03-01,50.2
2020-03-23,50.1
2020-03-31,49.7
2020-04-22,45.6
2020-04-30,44.1
2020-05-20,42.8
2020-05-31,44.0
2020-06-22,49.8
2020-06-30,51.2
2020-07-23,53.4
2020-08-02,54.0
2020-08-20,53.9
