Date,Value
1974-11-01,0.60%
1974-12-01,0.60%
1975-01-01,0.60%
1975-02-01,6.00%
1975-03-01,9.20%
1975-04-01,6.80%
1975-05-01,-2.90%
1975-06-01,-3.00%
1975-07-01,-3.10%
1975-08-01,-1.10%
1975-09-01,-1.10%
1975-10-01,-1.10%
1975-11-01,1.10%
1975-12-01,1.10%
1976-01-01,5.10%
1976-02-01,3.20%
1976-03-01,-1.30%
1976-04-01,-2.90%
1976-05-01,3.00%
1976-06-01,-2.70%
1976-07-01,-0.70%
1976-08-01,-0.70%
1976-09-01,1.00%
1976-10-01,0.90%
1976-11-01,0.90%
1976-12-01,-6.80%
1977-01-01,1.40%
1977-02-01,-0.30%
1977-03-01,-1.00%
1977-04-01,-2.80%
1977-05-01,3.40%
1977-06-01,2.10%
1977-07-01,-0.20%
1977-08-01,-4.20%
1977-09-01,5.40%
1977-10-01,-0.20%
1977-11-01,-0.20%
1977-12-01,4.70%
1978-01-01,3.00%
1978-02-01,1.40%
1978-03-01,4.40%
1978-04-01,-3.50%
1978-05-01,-3.50%
1978-06-01,-1.20%
1978-07-01,-3.50%
1978-08-01,-3.60%
1978-09-01,-10.20%
1978-10-01,7.10%
1978-11-01,6.70%
1978-12-01,-0.70%
1979-01-01,2.00%
1979-02-01,0.30%
1979-03-01,3.50%
1979-04-01,-3.60%
1979-05-01,3.40%
1979-06-01,-7.80%
1979-07-01,-8.40%
1979-08-01,-2.40%
1979-09-01,4.90%
1979-10-01,4.70%
1979-11-01,-1.60%
1979-12-01,1.10%
1980-01-01,0.20%
1980-02-01,-1.60%
1980-03-01,2.70%
1980-04-01,0.90%
1980-05-01,-3.60%
1980-06-01,2.30%
1980-07-01,2.30%
1980-08-01,-3.70%
1980-09-01,3.30%
1980-10-01,3.20%
1980-11-01,4.80%
1980-12-01,-2.80%
1981-01-01,3.20%
1981-02-01,1.40%
1981-03-01,0.80%
1981-04-01,-0.80%
1981-05-01,-4.40%
1981-06-01,-4.60%
1981-07-01,-1.10%
1981-08-01,-5.60%
1981-09-01,-2.70%
1981-10-01,3.10%
1981-11-01,3.00%
1981-12-01,0.20%
1982-01-01,-2.90%
1982-02-01,-5.10%
1982-03-01,1.80%
1982-04-01,-0.40%
1982-05-01,1.90%
1982-06-01,-0.60%
1982-07-01,-0.60%
1982-08-01,-13.20%
1982-09-01,5.40%
1982-10-01,-2.20%
1982-11-01,-2.20%
1982-12-01,-6.70%
1983-01-01,8.20%
1983-02-01,5.00%
1983-03-01,8.10%
1983-04-01,5.20%
1983-05-01,1.90%
1983-06-01,-2.00%
1983-07-01,-2.10%
1983-08-01,3.20%
1983-09-01,2.50%
1983-10-01,2.80%
1983-11-01,2.80%
1983-12-01,6.30%
1984-01-01,5.00%
1984-02-01,2.80%
1984-03-01,-1.00%
1984-04-01,-0.10%
1984-05-01,-0.10%
1984-06-01,-2.10%
1984-07-01,-2.20%
1984-08-01,1.10%
1984-09-01,1.20%
1984-10-01,-0.20%
1984-11-01,-0.20%
1984-12-01,-1.40%
1985-01-01,-1.40%
1985-02-01,-1.80%
