Date,Value
2001-06-01,47.39
2001-07-01,53.28
2001-08-01,50.65
2001-09-01,53.90
2001-10-01,54.50
2001-11-01,53.33
2001-12-01,54.72
2002-01-01,50.44
2002-02-01,56.13
2002-03-01,57.93
2002-04-01,60.50
2002-05-01,58.07
2002-06-01,62.13
2002-07-01,58.42
2002-08-01,53.38
2002-09-01,58.27
2002-10-01,53.86
2002-11-01,56.33
2002-12-01,58.03
2003-01-01,55.26
2003-02-01,54.23
2003-03-01,55.67
2003-04-01,51.03
2003-05-01,53.98
2003-06-01,52.74
2003-07-01,50.15
2003-08-01,52.45
2003-09-01,52.35
2003-10-01,51.17
2003-11-01,56.60
2003-12-01,57.61
2004-01-01,52.66
2004-02-01,57.42
2004-03-01,52.26
2004-04-01,53.98
2004-05-01,58.17
2004-06-01,53.15
2004-07-01,51.42
2004-08-01,55.55
2004-09-01,52.32
2004-10-01,50.38
2004-11-01,52.51
2004-12-01,53.69
2005-01-01,57.83
2005-02-01,55.65
2005-03-01,52.15
2005-04-01,51.29
2005-05-01,52.62
2005-06-01,50.84
2005-07-01,54.64
2005-08-01,50.12
2005-09-01,43.92
2005-10-01,51.02
2005-11-01,47.15
2005-12-01,44.73
2006-01-01,50.49
2006-02-01,49.86
2006-03-01,48.33
2006-04-01,52.91
2006-05-01,51.24
2006-06-01,48.39
2006-07-01,54.99
2006-08-01,49.00
2006-09-01,49.52
2006-10-01,52.28
2006-11-01,51.10
2006-12-01,53.72
2007-01-01,53.10
2007-02-01,52.90
2007-03-01,57.88
2007-04-01,53.84
2007-05-01,52.05
2007-06-01,55.23
2007-07-01,52.72
2007-08-01,57.58
2007-09-01,51.61
2007-10-01,49.65
2007-11-01,51.95
2007-12-01,54.90
2008-01-01,56.05
2008-02-01,46.95
2008-03-02,51.4
2008-03-31,51.2
2008-04-30,52.7
2008-06-01,51.2
2008-06-30,47.0
2008-07-30,46.9
2008-11-02,40.4
2008-12-31,33.7
2009-01-31,36.6
2009-02-28,31.7
2009-03-31,33.4
2009-04-30,30.1
2009-05-31,37.5
2009-06-30,38.4
2009-08-02,44.5
2009-08-31,51.7
2009-09-30,52.0
2009-11-01,51.7
2009-11-30,51.2
2010-01-03,48.5
2010-01-31,51.0
2010-02-28,53.8
2010-03-31,50.2
2010-05-02,59.8
2010-05-31,56.3
2010-06-30,52.9
2010-08-01,54.4
2010-08-31,51.7
2010-09-30,47.3
2010-10-31,49.4
2010-11-30,47.6
2011-01-03,46.3
2011-01-31,46.7
2011-02-28,51.1
2011-03-31,47.9
2011-05-01,48.4
2011-05-31,47.7
2011-06-30,52.9
2011-07-31,43.4
2011-08-31,43.3
2011-10-02,42.3
2011-10-31,47.4
2011-11-30,47.8
2012-01-02,50.2
2012-01-31,51.6
2012-02-29,51.3
2012-04-01,49.5
2012-04-30,43.9
2012-05-31,42.4
2012-07-01,47.2
2012-07-31,40.3
2012-09-02,45.3
2012-09-30,44.1
2012-10-31,45.2
2012-12-02,43.6
2013-01-01,44.3
2013-01-31,40.2
2013-02-28,45.6
2013-04-01,44.4
2013-04-30,36.7
2013-06-02,43.8
2013-06-30,49.6
2013-07-31,42.0
2013-09-01,46.4
2013-09-30,51.7
2013-10-31,53.2
2013-12-01,47.7
2014-01-01,47.6
2014-02-02,46.7
2014-03-02,48.6
2014-03-31,47.9
2014-04-30,44.8
2014-06-01,49.2
2014-06-30,48.9
2014-07-31,50.7
2014-08-31,47.3
2014-09-30,46.5
2014-11-02,49.4
2014-11-30,50.1
2015-01-04,46.9
2015-02-01,49.0
2015-03-01,45.4
2015-03-31,46.3
2015-04-30,48.0
2015-05-31,52.3
2015-06-30,44.2
2015-08-02,50.4
2015-08-31,51.7
2015-09-30,52.1
2015-11-01,50.2
2015-11-30,52.5
2016-01-03,51.9
2016-01-31,51.5
2016-02-29,53.5
2016-03-31,58.1
2016-05-01,53.4
2016-05-31,51.0
2016-06-01,51.0
2016-06-30,51.8
2016-07-31,56.4
2016-08-31,46.9
2016-10-02,49.8
2016-10-31,50.9
2016-11-30,54.2
2017-01-02,55.4
2017-01-31,51.2
2017-02-01,51.2
2017-02-28,59.3
2017-04-02,57.5
2017-04-30,59.2
2017-05-31,54.8
2017-07-02,55.0
2017-07-31,56.0
2017-08-31,59.8
2017-10-01,54.2
2017-10-31,51.1
2017-11-30,57.3
2018-01-01,56.2
2018-01-31,58.7
2018-02-28,57.5
2018-04-02,63.1
2018-04-30,58.3
2018-05-31,57.5
2018-07-01,57.4
2018-07-31,52.0
2018-09-02,56.7
2018-09-30,59.0
2018-10-01,59.0
2018-10-31,58.3
2018-12-02,51.3
2019-01-06,49.5
2019-01-31,52.5
2019-02-28,54.0
2019-03-31,51.0
2019-04-30,54.8
2019-06-02,52.7
2019-06-30,49.4
2019-07-31,51.3
2019-09-01,53.1
2019-09-30,54.7
2019-10-31,51.6
2019-12-01,48.1
2020-01-05,48.3
2020-02-02,45.4
2020-03-01,44.3
2020-03-31,53.7
2020-04-30,35.8
2020-05-31,41.6
2020-06-30,51.5
2020-08-02,53.5
