Date,Value
2003-03-01,56.82
2003-04-01,56.45
2003-05-01,55.63
2003-06-01,58.09
2003-07-01,57.19
2003-08-01,56.14
2003-09-01,56.82
2003-10-01,57.68
2003-11-01,59.81
2003-12-01,56.88
2004-01-01,56.29
2004-02-01,56.76
2004-03-01,58.06
2004-04-01,55.20
2004-05-01,53.44
2004-06-01,55.43
2004-07-01,51.05
2004-08-01,55.02
2004-09-01,53.64
2004-10-01,55.06
2004-11-01,53.52
2004-12-01,55.72
2005-01-01,60.49
2005-02-01,52.47
2005-03-01,52.37
2005-04-01,54.48
2005-05-01,53.37
2005-06-01,50.30
2005-07-01,51.44
2005-08-01,53.85
2005-09-01,56.36
2005-10-01,53.66
2005-11-01,49.46
2005-12-01,53.01
2006-01-01,52.03
2006-02-01,52.02
2006-03-01,52.34
2006-04-01,53.82
2006-05-01,55.44
2006-06-01,48.34
2006-07-01,50.54
2006-08-01,49.91
2006-09-01,52.04
2006-10-01,48.40
2006-11-01,50.57
2006-12-01,50.42
2007-01-01,50.55
2007-02-01,49.99
2007-03-01,53.85
2007-04-01,52.83
2007-05-01,55.31
2007-06-01,58.85
2007-07-01,52.85
2007-08-01,55.91
2007-09-01,53.11
2007-10-01,54.00
2007-11-01,53.00
2007-12-01,56.13
2008-01-01,56.41
2008-02-01,54.66
2008-03-04,53.2
2008-04-02,53.8
2008-05-04,47.3
2008-06-03,49.7
2008-07-02,45.4
2008-08-04,42.8
2008-09-02,39.3
2008-10-02,44.9
2008-11-04,42.1
2008-12-02,37.8
2009-01-05,39.3
2009-02-03,41.0
2009-03-03,32.2
2009-04-02,35.6
2009-05-04,39.8
2009-06-02,39.9
2009-07-02,50.2
2009-08-04,44.1
2009-09-02,48.0
2009-10-04,49.3
2009-11-03,54.8
2009-12-02,52.5
2010-01-05,50.0
2010-02-02,47.4
2010-03-02,48.3
2010-04-06,48.4
2010-05-04,52.3
2010-06-02,47.5
2010-07-04,48.8
2010-08-03,46.6
2010-09-02,47.5
2010-10-04,45.6
2010-11-02,50.7
2010-12-02,46.2
2011-01-05,46.4
2011-02-02,45.5
2011-03-02,48.7
2011-04-04,46.5
2011-05-03,51.5
2011-06-02,49.9
2011-07-04,48.5
2011-08-02,48.8
2011-09-04,52.1
2011-10-04,50.3
2011-11-02,48.8
2011-12-04,47.7
2012-01-04,49.0
2012-02-02,51.9
2012-03-04,46.7
2012-04-03,47.0
2012-05-02,39.6
2012-06-04,43.5
2012-07-03,48.8
2012-08-02,46.5
2012-09-04,42.4
2012-10-02,41.9
2012-11-04,42.8
2012-12-04,47.1
2013-01-03,43.2
2013-02-04,45.3
2013-03-04,48.5
2013-04-03,49.6
2013-05-02,44.1
2013-06-04,40.6
2013-07-02,41.5
2013-08-04,39.4
2013-09-03,39.0
2013-10-02,47.1
2013-11-04,47.9
2013-12-03,48.9
2014-01-05,46.1
2014-02-04,49.3
2014-03-04,55.2
2014-04-02,48.9
2014-05-04,48.6
2014-06-03,49.9
2014-07-02,47.6
2014-08-04,49.3
2014-09-02,49.4
2014-10-02,45.4
2014-11-04,43.6
2014-12-02,43.8
2015-01-06,47.5
2015-02-03,49.9
2015-03-03,51.7
2015-04-06,50.2
2015-05-04,49.7
2015-06-02,49.6
2015-07-02,51.2
2015-08-04,54.1
2015-09-02,55.6
2015-10-04,52.3
2015-11-03,48.9
2015-12-02,48.2
2016-01-05,46.3
2016-02-02,48.4
2016-03-02,51.8
2016-04-04,49.5
2016-05-03,49.7
2016-06-02,51.5
2016-07-04,51.3
2016-08-02,53.9
2016-09-04,45.0
2016-10-04,48.9
2016-11-02,50.5
2016-12-04,51.1
2017-01-04,57.7
2017-02-02,54.5
2017-03-02,49.0
2017-04-04,51.7
2017-05-02,53.0
2017-06-04,51.5
2017-07-04,54.8
2017-08-02,56.4
2017-09-04,53.0
2017-10-03,52.1
2017-11-02,51.4
2017-12-04,51.7
2018-01-03,52.0
2018-02-04,54.9
2018-03-04,54.0
2018-04-04,56.9
2018-05-02,55.2
2018-06-04,59.0
2018-07-03,63.0
2018-08-02,53.6
2018-09-04,52.2
2018-10-02,52.5
2018-11-04,51.1
2018-12-04,55.1
2019-01-08,52.1
2019-02-04,44.3
2019-03-04,44.5
2019-04-02,44.8
2019-05-02,46.5
2019-06-04,52.5
2019-07-02,52.2
2019-08-04,43.9
2019-09-03,51.4
2019-10-02,51.5
2019-11-04,54.2
2019-12-03,53.7
2020-01-09,48.7
2020-02-06,46.6
2020-03-05,47.0
2020-04-06,38.7
2020-05-06,27.1
2020-06-04,31.6
2020-07-06,31.5
2020-08-06,44.0
2020-09-06,42.5
