Date,Value
1993-05-01,-0.01B
1993-06-01,0.18B
1993-07-01,0.41B
1993-08-01,0.27B
1993-09-01,0.14B
1993-10-01,0.46B
1993-11-01,0.21B
1993-12-01,0.37B
1994-01-01,0.27B
1994-02-01,0.36B
1994-03-01,0.19B
1994-04-01,0.41B
1994-05-01,0.59B
1994-06-01,0.32B
1994-07-01,0.62B
1994-08-01,0.50B
1994-09-01,0.54B
1994-10-01,0.54B
1994-11-01,0.47B
1994-12-01,0.48B
1995-01-01,0.71B
1995-02-01,0.57B
1995-03-01,0.63B
1995-04-01,0.71B
1995-05-01,0.45B
1995-06-01,0.45B
1995-07-01,0.79B
1995-08-01,0.74B
1995-09-01,0.60B
1995-10-01,0.83B
1995-11-01,0.85B
1995-12-01,0.71B
1996-01-01,0.87B
1996-02-01,0.56B
1996-03-01,0.79B
1996-04-01,0.75B
1996-05-01,1.11B
1996-06-01,0.71B
1996-07-01,0.77B
1996-08-01,1.17B
1996-09-01,1.08B
1996-10-01,1.17B
1996-11-01,0.99B
1996-12-01,1.00B
1997-01-01,0.91B
1997-02-01,0.86B
1997-03-01,1.48B
1997-04-01,0.52B
1997-05-01,0.93B
1997-06-01,1.13B
1997-07-01,1.16B
1997-08-01,0.62B
1997-09-01,1.00B
1997-10-01,0.69B
1997-11-01,1.03B
1997-12-01,1.21B
1998-01-01,1.45B
1998-02-01,1.38B
1998-03-01,1.27B
1998-04-01,1.09B
1998-05-01,0.88B
1998-06-01,1.50B
1998-07-01,1.14B
1998-08-01,1.19B
1998-09-01,1.28B
1998-10-01,1.40B
1998-11-01,1.19B
1998-12-01,1.17B
1999-01-01,1.02B
1999-02-01,1.24B
1999-03-01,1.30B
1999-04-01,1.24B
1999-05-01,1.27B
1999-06-01,1.08B
1999-07-01,1.21B
1999-08-01,1.36B
1999-09-01,1.19B
1999-10-01,1.20B
1999-11-01,1.15B
1999-12-01,1.26B
2000-01-01,1.30B
2000-02-01,1.29B
2000-03-01,1.34B
2000-04-01,1.61B
2000-05-01,0.93B
2000-06-01,1.59B
2000-07-01,1.01B
2000-08-01,1.20B
2000-09-01,0.76B
2000-10-01,1.09B
2000-11-01,1.33B
2000-12-01,1.22B
2001-01-01,0.98B
