Date,Value
1970-01-01,14.20%
1970-02-01,-18.40%
1970-03-01,10.50%
1970-04-01,-19.30%
1970-05-01,4.80%
1970-06-01,16.00%
1970-07-01,-5.50%
1970-08-01,-13.80%
1970-09-01,15.90%
1970-10-01,22.20%
1970-11-01,-0.20%
1970-12-01,3.60%
1971-01-01,-10.30%
1971-02-01,4.10%
1971-03-01,1.30%
1971-04-01,2.90%
1971-05-01,-3.70%
1971-06-01,-0.30%
1971-07-01,20.60%
1971-08-01,-7.60%
1971-09-01,-1.30%
1971-10-01,-7.00%
1971-11-01,18.30%
1971-12-01,-8.90%
1972-01-01,7.50%
1972-02-01,-1.50%
1972-03-01,-1.90%
1972-04-01,-4.80%
1972-05-01,16.20%
1972-06-01,-10.30%
1972-07-01,7.60%
1972-08-01,-0.20%
1972-09-01,-3.90%
1972-10-01,11.80%
1972-11-01,-4.70%
1972-12-01,9.50%
1973-01-01,-4.00%
1973-02-01,5.40%
1973-03-01,8.40%
1973-04-01,2.70%
1973-05-01,-4.70%
1973-06-01,5.50%
1973-07-01,-5.20%
1973-08-01,9.60%
1973-09-01,4.70%
1973-10-01,-2.80%
1973-11-01,4.00%
1973-12-01,11.90%
1974-01-01,2.40%
1974-02-01,-8.10%
1974-03-01,2.90%
1974-04-01,11.80%
1974-05-01,-12.60%
1974-06-01,14.70%
1974-07-01,-21.70%
1974-08-01,0.70%
1974-09-01,8.70%
1974-10-01,1.90%
1974-11-01,-7.40%
1974-12-01,-9.40%
1975-01-01,-4.40%
1975-02-01,35.50%
1975-03-01,-16.00%
1975-04-01,-4.50%
1975-05-01,19.40%
1975-06-01,-0.20%
1975-07-01,4.50%
1975-08-01,3.10%
1975-09-01,6.00%
1975-10-01,-1.60%
1975-11-01,5.70%
1975-12-01,3.90%
1976-01-01,-1.30%
1976-02-01,4.80%
1976-03-01,3.70%
1976-04-01,-7.30%
1976-05-01,-1.40%
1976-06-01,-2.10%
1976-07-01,17.30%
1976-08-01,-9.80%
1976-09-01,-10.10%
1976-10-01,-2.00%
1976-11-01,10.20%
1976-12-01,5.20%
1977-01-01,-11.40%
1977-02-01,4.40%
1977-03-01,3.80%
1977-04-01,8.20%
1977-05-01,-4.20%
1977-06-01,-1.00%
1977-07-01,4.30%
1977-08-01,-11.50%
1977-09-01,9.50%
1977-10-01,1.20%
1977-11-01,-8.60%
1977-12-01,10.20%
1978-01-01,-6.90%
1978-02-01,7.00%
1978-03-01,-6.00%
