Date,Value
1985-02-01,3.70%
1985-03-01,3.70%
1985-04-01,3.20%
1985-05-01,3.40%
1985-06-01,3.30%
1985-07-01,3.50%
1985-08-01,3.30%
1985-09-01,3.50%
1985-10-01,3.50%
1985-11-01,3.60%
1985-12-01,3.60%
1986-01-01,3.80%
1986-02-01,3.40%
1986-03-01,3.60%
1986-04-01,3.70%
1986-05-01,3.90%
1986-06-01,4.30%
1986-07-01,4.30%
1986-08-01,4.50%
1986-09-01,4.60%
1986-10-01,5.00%
1986-11-01,5.20%
1986-12-01,5.30%
1987-01-01,5.30%
1987-02-01,5.40%
1987-03-01,5.00%
1987-04-01,4.90%
1987-05-01,4.90%
1987-06-01,4.60%
1987-07-01,4.60%
1987-08-01,4.70%
1987-09-01,4.50%
1987-10-01,4.10%
1987-11-01,4.20%
1987-12-01,4.20%
1988-01-01,3.60%
1988-02-01,3.70%
1988-03-01,4.00%
1988-04-01,4.30%
1988-05-01,4.10%
1988-06-01,4.00%
1988-07-01,4.10%
1988-08-01,3.80%
1988-09-01,4.20%
1988-10-01,4.20%
1988-11-01,4.30%
1988-12-01,4.30%
1989-01-01,4.60%
1989-02-01,4.60%
1989-03-01,4.70%
1989-04-01,4.50%
1989-05-01,4.60%
1989-06-01,4.60%
1989-07-01,4.30%
1989-08-01,4.60%
1989-09-01,4.20%
1989-10-01,4.20%
1989-11-01,3.90%
1989-12-01,3.80%
1990-01-01,3.70%
1990-02-01,3.80%
1990-03-01,3.80%
1990-04-01,3.50%
1990-05-01,3.40%
1990-06-01,3.40%
1990-07-01,3.50%
1990-08-01,3.40%
1990-09-01,3.40%
1990-10-01,3.50%
1990-11-01,3.60%
1990-12-01,3.30%
1991-01-01,3.20%
1991-02-01,3.60%
1991-03-01,3.40%
1991-04-01,3.30%
1991-05-01,3.00%
1991-06-01,2.90%
1991-07-01,3.00%
1991-08-01,2.60%
1991-09-01,2.70%
1991-10-01,2.50%
1991-11-01,2.10%
1991-12-01,2.20%
1992-01-01,2.10%
1992-02-01,1.60%
1992-03-01,1.60%
1992-04-01,1.80%
1992-05-01,2.00%
1992-06-01,2.10%
1992-07-01,1.70%
1992-08-01,1.80%
1992-09-01,1.60%
1992-10-01,1.60%
1992-11-01,1.80%
1992-12-01,1.90%
1993-01-01,2.20%
1993-02-01,2.30%
1993-03-01,2.30%
1993-04-01,2.00%
1993-05-01,1.90%
1993-06-01,1.70%
1993-07-01,1.80%
1993-08-01,2.20%
1993-09-01,2.20%
1993-10-01,2.30%
1993-11-01,2.00%
1993-12-01,2.10%
1994-01-01,2.10%
1994-02-01,1.90%
1994-03-01,2.00%
1994-04-01,2.00%
1994-05-01,2.10%
1994-06-01,1.90%
1994-07-01,2.00%
1994-08-01,1.60%
1994-09-01,1.60%
1994-10-01,1.90%
1994-11-01,1.80%
1994-12-01,1.50%
1995-01-01,1.70%
1995-02-01,2.00%
1995-03-01,2.00%
1995-04-01,2.10%
1995-05-01,2.10%
1995-06-01,2.40%
1995-07-01,2.30%
1995-08-01,2.40%
1995-09-01,2.50%
1995-10-01,2.40%
1995-11-01,2.40%
1995-12-01,2.40%
1996-01-01,1.80%
1996-02-01,1.70%
1996-03-01,1.70%
1996-04-01,1.60%
1996-05-01,1.60%
1996-06-01,1.70%
1996-07-01,1.70%
1996-08-01,1.70%
1996-09-01,1.70%
1996-10-01,1.70%
1996-11-01,1.70%
1996-12-01,1.90%
1997-01-01,2.10%
1997-02-01,2.10%
1997-03-01,1.90%
1997-04-01,2.10%
1997-05-01,2.20%
1997-06-01,2.10%
1997-07-01,2.20%
1997-08-01,2.00%
1997-09-01,2.00%
1997-10-01,1.80%
1997-11-01,1.90%
1997-12-01,1.20%
1998-01-01,1.30%
1998-02-01,1.40%
1998-03-01,1.50%
1998-04-01,1.40%
1998-05-01,1.20%
1998-06-01,1.30%
1998-07-01,1.20%
1998-08-01,1.30%
1998-09-01,1.20%
1998-10-01,1.10%
1998-11-01,1.30%
1998-12-01,1.40%
1999-01-01,1.30%
1999-02-01,1.00%
1999-03-01,1.00%
1999-04-01,1.20%
1999-05-01,1.30%
1999-06-01,1.40%
1999-07-01,1.50%
1999-08-01,1.50%
1999-09-01,1.60%
1999-10-01,1.90%
1999-11-01,1.50%
1999-12-01,1.40%
2000-01-01,1.40%
2000-02-01,1.20%
2000-03-01,1.30%
2000-04-01,1.30%
2000-05-01,1.20%
2000-06-01,1.10%
2000-07-01,1.30%
2000-08-01,1.20%
2000-09-01,1.20%
2000-10-01,1.10%
2000-11-01,1.30%
2000-12-01,1.50%
2001-01-01,1.70%
2001-02-01,1.80%
2001-03-01,1.70%
2001-04-01,1.90%
2001-05-01,2.20%
2001-06-01,2.30%
2001-07-01,2.20%
2001-08-01,2.50%
2001-09-01,2.40%
2001-10-01,2.30%
2001-11-01,2.20%
2001-12-01,1.80%
2002-01-01,1.70%
2002-02-01,1.90%
2002-03-01,2.30%
2002-04-01,2.20%
2002-05-01,2.30%
2002-06-01,2.10%
2002-07-01,2.10%
2002-08-01,2.00%
2002-09-01,2.40%
2002-10-01,2.50%
2002-11-01,2.50%
2002-12-01,3.20%
2003-01-01,2.80%
2003-02-01,3.30%
2003-03-01,3.00%
2003-04-01,2.80%
2003-05-01,2.10%
2003-06-01,2.40%
2003-07-01,2.10%
2003-08-01,1.90%
2003-09-01,1.50%
2003-10-01,1.70%
2003-11-01,1.80%
2003-12-01,1.80%
2004-01-01,2.10%
2004-02-01,1.50%
2004-03-01,1.20%
2004-04-01,1.30%
2004-05-01,1.80%
2004-06-01,1.50%
2004-07-01,1.70%
2004-08-01,1.90%
2004-09-01,1.60%
2004-10-01,1.50%
2004-11-01,1.40%
2004-12-01,1.70%
2005-01-01,1.80%
2005-02-01,1.70%
2005-03-01,1.70%
2005-04-01,1.80%
2005-05-01,1.60%
2005-06-01,1.60%
2005-07-01,1.50%
2005-08-01,1.30%
2005-09-01,1.70%
2005-10-01,1.70%
2005-11-01,1.70%
2005-12-01,1.50%
2006-01-01,1.50%
2006-02-01,1.60%
2006-03-01,1.70%
2006-04-01,1.70%
2006-05-01,1.60%
2006-06-01,2.00%
2006-07-01,1.70%
2006-08-01,2.00%
2006-09-01,2.00%
2006-10-01,2.30%
2006-11-01,2.40%
2006-12-01,2.20%
2007-01-01,2.10%
2007-02-01,2.30%
2007-03-01,2.30%
2007-04-01,2.30%
2007-05-01,2.50%
2007-06-01,2.20%
2007-07-01,2.50%
2007-08-01,2.30%
2007-09-01,2.20%
2007-10-01,2.00%
2007-11-01,1.80%
2007-12-01,1.60%
2008-01-01,1.50%
2008-02-01,1.40%
2008-03-01,1.50%
2008-04-01,1.30%
2008-05-01,1.50%
2008-06-01,1.50%
2008-07-01,1.50%
2008-08-01,1.50%
2008-09-01,1.70%
2008-10-01,1.70%
2008-11-01,1.70%
2008-12-01,2.40%
2009-01-01,2.40%
2009-02-01,1.90%
2009-03-01,1.90%
2009-04-01,2.00%
2009-05-01,1.80%
2009-06-01,2.00%
2009-07-01,1.90%
2009-08-01,1.80%
2009-09-01,1.60%
2009-10-01,1.50%
2009-11-01,1.80%
2009-12-01,1.50%
2010-01-01,1.50%
2010-02-01,2.00%
2010-03-01,2.10%
2010-04-01,1.70%
2010-05-01,1.90%
2010-06-01,1.80%
2010-07-01,1.70%
2010-08-01,1.60%
2010-09-01,1.60%
2010-10-01,1.50%
2010-11-01,1.80%
2010-12-01,1.40%
2011-01-01,1.50%
2011-02-01,1.40%
2011-03-01,0.90%
2011-04-01,1.70%
2011-05-01,1.60%
2011-06-01,1.80%
2011-07-01,1.30%
2011-08-01,1.60%
2011-09-01,1.90%
2011-10-01,2.20%
2011-11-01,2.10%
2011-12-01,2.10%
2012-01-01,1.90%
2012-02-01,2.10%
2012-03-01,2.30%
2012-04-01,1.90%
2012-05-01,2.10%
2012-06-01,1.80%
2012-07-01,2.00%
2012-08-01,1.70%
2012-09-01,1.60%
2012-10-01,1.30%
2012-11-01,1.30%
2012-12-01,1.20%
2013-01-01,1.10%
2013-02-01,1.00%
2013-03-01,1.40%
2013-04-01,1.40%
2013-05-01,1.10%
2013-06-21,1.1%
2013-07-19,1.3%
2013-08-23,1.4%
2013-09-20,1.3%
2013-10-18,1.3%
2013-11-22,1.2%
2013-12-20,1.1%
2014-01-24,1.3%
2014-02-21,1.4%
2014-03-21,1.2%
2014-04-17,1.3%
2014-05-23,1.4%
2014-06-20,1.7%
2014-07-18,1.8%
2014-08-22,1.7%
2014-09-19,2.1%
2014-10-17,2.1%
2014-11-21,2.3%
2014-12-19,2.1%
2015-01-23,2.2%
2015-02-26,2.2%
