Date,Value
1976-03-01,23.10K
1976-04-01,44.40K
1976-05-01,34.00K
1976-06-01,-12.10K
1976-07-01,22.20K
1976-08-01,11.20K
1976-09-01,21.00K
1976-10-01,14.70K
1976-11-01,-12.70K
1976-12-01,46.50K
1977-01-01,33.60K
1977-02-01,6.70K
1977-03-01,4.90K
1977-04-01,-8.50K
1977-05-01,26.90K
1977-06-01,19.40K
1977-07-01,-5.10K
1977-08-01,4.50K
1977-09-01,25.20K
1977-10-01,0.40K
1977-11-01,25.10K
1977-12-01,14.20K
1978-01-01,26.00K
1978-02-01,10.70K
1978-03-01,54.50K
1978-04-01,32.80K
1978-05-01,28.40K
1978-06-01,18.00K
1978-07-01,60.90K
1978-08-01,47.40K
1978-09-01,32.50K
1978-10-01,18.00K
1978-11-01,63.30K
1978-12-01,18.40K
1979-01-01,41.10K
1979-02-01,54.80K
1979-03-01,6.90K
1979-04-01,45.90K
1979-05-01,24.90K
1979-06-01,50.60K
1979-07-01,34.00K
1979-08-01,56.70K
1979-09-01,40.00K
1979-10-01,14.40K
1979-11-01,52.50K
1979-12-01,32.30K
1980-01-01,18.60K
1980-02-01,22.70K
1980-03-01,20.30K
1980-04-01,-5.10K
1980-05-01,40.50K
1980-06-01,-46.70K
1980-07-01,45.20K
1980-08-01,-1.80K
1980-09-01,35.30K
1980-10-01,81.60K
1980-11-01,31.20K
1980-12-01,43.90K
1981-01-01,13.00K
1981-02-01,66.50K
1981-03-01,76.80K
1981-04-01,-4.60K
1981-05-01,37.10K
1981-06-01,30.00K
1981-07-01,29.80K
1981-08-01,-39.20K
1981-09-01,17.40K
1981-10-01,-25.10K
1981-11-01,-28.60K
1981-12-01,-8.60K
1982-01-01,-55.50K
1982-02-01,-30.40K
1982-03-01,-38.70K
1982-04-01,-26.40K
1982-05-01,-64.20K
1982-06-01,-54.40K
1982-07-01,-81.30K
1982-08-01,-47.00K
1982-09-01,-57.30K
1982-10-01,-29.60K
1982-11-01,-19.50K
1982-12-01,-23.10K
1983-01-01,10.00K
1983-02-01,27.00K
1983-03-01,17.10K
1983-04-01,56.70K
1983-05-01,57.70K
1983-06-01,19.90K
1983-07-01,68.90K
1983-08-01,52.00K
1983-09-01,53.20K
1983-10-01,47.60K
1983-11-01,-10.90K
1983-12-01,-1.30K
1984-01-01,25.40K
1984-02-01,-18.80K
1984-03-01,35.30K
1984-04-01,2.00K
1984-05-01,-7.40K
1984-06-01,47.00K
1984-07-01,69.00K
1984-08-01,42.10K
1984-09-01,-7.30K
1984-10-01,24.50K
1984-11-01,13.90K
1984-12-01,3.40K
1985-01-01,39.20K
1985-02-01,51.40K
1985-03-01,24.60K
1985-04-01,25.10K
1985-05-01,40.10K
1985-06-01,42.20K
1985-07-01,13.30K
1985-08-01,54.10K
1985-09-01,31.00K
1985-10-01,11.20K
1985-11-01,30.70K
1985-12-01,65.00K
1986-01-01,41.50K
1986-02-01,43.00K
1986-03-01,14.40K
1986-04-01,8.40K
1986-05-01,81.80K
1986-06-01,-30.90K
1986-07-01,39.70K
1986-08-01,0.20K
1986-09-01,7.60K
1986-10-01,10.50K
1986-11-01,24.40K
1986-12-01,22.40K
1987-01-01,-2.30K
1987-02-01,22.30K
1987-03-01,29.40K
1987-04-01,50.60K
1987-05-01,47.50K
1987-06-01,56.20K
1987-07-01,33.70K
1987-08-01,26.10K
1987-09-01,30.70K
1987-10-01,45.70K
1987-11-01,65.50K
1987-12-01,32.00K
1988-01-01,63.90K
1988-02-01,18.60K
1988-03-01,40.70K
1988-04-01,20.00K
1988-05-01,13.40K
1988-06-01,3.70K
1988-07-01,18.40K
1988-08-01,13.70K
1988-09-01,8.20K
1988-10-01,12.80K
1988-11-01,32.20K
1988-12-01,30.80K
1989-01-01,53.60K
1989-02-01,72.60K
1989-03-01,14.80K
1989-04-01,45.60K
1989-05-01,-22.50K
1989-06-01,2.30K
1989-07-01,17.20K
1989-08-01,0.40K
1989-09-01,49.30K
1989-10-01,0.40K
1989-11-01,5.00K
1989-12-01,25.20K
1990-01-01,7.10K
1990-02-01,34.60K
1990-03-01,33.50K
1990-04-01,-8.80K
1990-05-01,15.20K
1990-06-01,-39.40K
1990-07-01,32.50K
1990-08-01,-20.80K
1990-09-01,-13.30K
1990-10-01,-10.80K
1990-11-01,-50.20K
1990-12-01,-54.00K
1991-01-01,-50.60K
1991-02-01,-40.50K
1991-03-01,-49.10K
1991-04-01,-35.90K
1991-05-01,41.50K
1991-06-01,29.20K
1991-07-01,6.40K
1991-08-01,-14.00K
1991-09-01,3.90K
1991-10-01,-20.80K
1991-11-01,5.60K
1991-12-01,-37.80K
1992-01-01,-13.00K
1992-02-01,-20.00K
1992-03-01,-18.90K
1992-04-01,-26.40K
1992-05-01,-14.00K
1992-06-01,5.70K
1992-07-01,-19.30K
1992-08-01,15.20K
1992-09-01,-38.80K
1992-10-01,6.40K
1992-11-01,12.90K
1992-12-01,-8.20K
1993-01-01,17.10K
1993-02-01,33.10K
1993-03-01,8.20K
1993-04-01,17.50K
1993-05-01,-31.90K
1993-06-01,7.10K
1993-07-01,24.10K
1993-08-01,9.60K
1993-09-01,18.50K
1993-10-01,32.40K
1993-11-01,-15.20K
1993-12-01,48.60K
1994-01-01,-25.50K
1994-02-01,8.00K
1994-03-01,33.10K
1994-04-01,39.10K
1994-05-01,12.10K
1994-06-01,71.70K
1994-07-01,29.10K
1994-08-01,57.00K
1994-09-01,16.70K
1994-10-01,61.70K
1994-11-01,-8.10K
1994-12-01,90.40K
