Date,Value
1988-02-01,11.43B
1988-03-01,11.80B
1988-04-01,11.91B
1988-05-01,11.83B
1988-06-01,11.75B
1988-07-01,12.34B
1988-08-01,11.61B
1988-09-01,12.05B
1988-10-01,11.97B
1988-11-01,11.94B
1988-12-01,12.35B
1989-01-01,12.27B
1989-02-01,12.92B
1989-03-01,12.74B
1989-04-01,11.97B
1989-05-01,11.98B
1989-06-01,12.70B
1989-07-01,11.69B
1989-08-01,11.87B
1989-09-01,12.16B
1989-10-01,11.98B
1989-11-01,12.04B
1989-12-01,12.34B
1990-01-01,12.25B
1990-02-01,12.14B
1990-03-01,12.40B
1990-04-01,12.79B
1990-05-01,12.46B
1990-06-01,12.92B
1990-07-01,12.67B
1990-08-01,13.00B
1990-09-01,12.64B
1990-10-01,12.89B
1990-11-01,13.00B
1990-12-01,12.54B
1991-01-01,12.32B
1991-02-01,12.15B
1991-03-01,11.99B
1991-04-01,11.62B
1991-05-01,12.31B
1991-06-01,12.21B
1991-07-01,12.10B
1991-08-01,12.72B
1991-09-01,12.65B
1991-10-01,12.34B
1991-11-01,12.44B
1991-12-01,12.29B
1992-01-01,12.47B
1992-02-01,12.52B
1992-03-01,12.98B
1992-04-01,13.02B
1992-05-01,13.31B
1992-06-01,13.53B
1992-07-01,13.16B
1992-08-01,13.67B
1992-09-01,13.56B
1992-10-01,13.88B
1992-11-01,14.47B
1992-12-01,14.30B
1993-01-01,14.62B
1993-02-01,14.94B
1993-03-01,15.00B
1993-04-01,15.41B
1993-05-01,15.41B
1993-06-01,15.72B
1993-07-01,15.89B
1993-08-01,15.30B
1993-09-01,15.79B
1993-10-01,16.43B
1993-11-01,16.70B
1993-12-01,16.64B
1994-01-01,16.38B
1994-02-01,16.20B
1994-03-01,16.49B
1994-04-01,17.84B
1994-05-01,17.97B
1994-06-01,17.94B
1994-07-01,19.16B
1994-08-01,19.90B
1994-09-01,19.66B
1994-10-01,19.78B
1994-11-01,20.17B
1994-12-01,20.89B
1995-01-01,21.61B
1995-02-01,22.73B
1995-03-01,22.39B
1995-04-01,21.74B
1995-05-01,21.69B
1995-06-01,21.63B
1995-07-01,21.87B
1995-08-01,20.42B
1995-09-01,22.26B
1995-10-01,22.40B
1995-11-01,22.38B
1995-12-01,22.42B
1996-01-01,22.80B
1996-02-01,22.62B
1996-03-01,22.67B
1996-04-01,22.34B
1996-05-01,23.00B
1996-06-01,23.45B
1996-07-01,23.42B
1996-08-01,23.62B
1996-09-01,24.06B
1996-10-01,24.31B
1996-11-01,22.66B
1996-12-01,23.60B
1997-01-01,23.56B
1997-02-01,24.93B
1997-03-01,24.70B
1997-04-01,24.54B
1997-05-01,24.79B
1997-06-01,24.89B
1997-07-01,24.62B
1997-08-01,25.47B
1997-09-01,25.10B
1997-10-01,25.52B
1997-11-01,25.15B
1997-12-01,26.12B
1998-01-01,26.73B
1998-02-01,25.75B
1998-03-01,26.64B
1998-04-01,26.29B
1998-05-01,26.93B
1998-06-01,26.67B
1998-07-01,25.82B
1998-08-01,26.11B
1998-09-01,27.71B
1998-10-01,28.23B
1998-11-01,28.76B
1998-12-01,28.58B
1999-01-01,28.82B
1999-02-01,29.24B
1999-03-01,29.54B
1999-04-01,29.36B
1999-05-01,29.31B
1999-06-01,29.34B
1999-07-01,29.96B
1999-08-01,30.78B
1999-09-01,31.96B
1999-10-01,31.35B
1999-11-01,31.75B
1999-12-01,32.44B
2000-01-01,32.85B
2000-02-01,33.81B
2000-03-01,33.24B
2000-04-01,34.60B
2000-05-01,33.76B
2000-06-01,35.66B
2000-07-01,36.61B
2000-08-01,35.76B
2000-09-01,36.09B
2000-10-01,36.37B
2000-11-01,36.94B
2000-12-01,37.04B
2001-01-01,38.12B
2001-02-01,38.97B
2001-03-01,35.95B
2001-04-01,36.81B
2001-05-01,36.61B
2001-06-01,36.17B
2001-07-01,35.00B
2001-08-01,34.11B
2001-09-01,33.95B
2001-10-01,33.10B
2001-11-01,32.25B
2001-12-01,33.77B
2002-01-01,32.41B
2002-02-01,33.63B
2002-03-01,34.20B
2002-04-01,32.88B
2002-05-01,34.78B
2002-06-01,34.27B
2002-07-01,32.84B
2002-08-01,34.82B
2002-09-01,34.88B
2002-10-01,34.94B
2002-11-01,35.85B
2002-12-01,34.78B
2003-01-01,34.25B
2003-02-01,35.11B
2003-03-01,34.99B
2003-04-01,35.44B
2003-05-01,33.04B
2003-06-01,32.04B
2003-07-01,31.30B
2003-08-01,32.53B
2003-09-01,31.36B
2003-10-01,33.32B
2003-11-01,32.52B
2003-12-01,32.60B
2004-01-01,33.03B
2004-02-01,31.97B
2004-03-01,34.21B
