Date,Value
1997-03-01,0.60%
1997-04-01,0.00%
1997-05-01,0.70%
1997-06-01,0.40%
1997-07-01,0.20%
1997-08-01,1.10%
1997-09-01,0.10%
1997-10-01,0.20%
1997-11-01,0.40%
1997-12-01,0.10%
1998-01-01,0.90%
1998-02-01,-0.40%
1998-03-01,1.00%
1998-04-01,0.40%
1998-05-01,0.10%
1998-06-01,-0.20%
1998-07-01,0.00%
1998-08-01,0.00%
1998-09-01,1.00%
1998-10-01,0.40%
1998-11-01,0.50%
1998-12-01,0.30%
1999-01-01,1.00%
1999-02-01,0.40%
1999-03-01,0.50%
1999-04-01,0.10%
1999-05-01,0.70%
1999-06-01,0.20%
1999-07-01,0.70%
1999-08-01,0.60%
1999-09-01,0.50%
1999-10-01,0.70%
1999-11-01,0.30%
1999-12-01,0.80%
2000-01-01,0.70%
2000-02-01,0.50%
2000-03-01,0.00%
2000-04-01,0.80%
2000-05-01,-0.10%
2000-06-01,0.60%
2000-07-01,0.40%
2000-08-01,0.20%
2000-09-01,0.40%
2000-10-01,0.20%
2000-11-01,0.20%
2000-12-01,0.10%
2001-01-01,0.20%
2001-02-01,0.00%
2001-03-01,0.00%
2001-04-01,0.00%
2001-05-01,-0.10%
2001-06-01,0.40%
2001-07-01,-0.10%
2001-08-01,-0.20%
2001-09-01,0.30%
2001-10-01,-0.60%
2001-11-01,0.40%
2001-12-01,0.60%
2002-01-01,-0.20%
2002-02-01,1.00%
2002-03-01,0.50%
2002-04-01,-0.20%
2002-05-01,0.70%
2002-06-01,0.10%
2002-07-01,0.10%
2002-08-01,0.40%
2002-09-01,0.40%
2002-10-01,-0.20%
2002-11-01,0.60%
2002-12-01,0.00%
2003-01-01,-0.30%
2003-02-01,0.60%
2003-03-01,0.30%
2003-04-01,-0.10%
2003-05-01,-0.30%
2003-06-01,0.30%
2003-07-01,0.30%
2003-08-01,0.50%
2003-09-01,-1.00%
2003-10-01,1.20%
2003-11-01,0.40%
2003-12-01,0.10%
2004-01-01,0.40%
2004-02-01,0.10%
2004-03-01,-0.10%
2004-04-01,0.90%
2004-05-01,0.20%
2004-06-01,0.10%
2004-07-01,0.50%
2004-08-01,0.10%
2004-09-01,0.40%
2004-10-01,0.30%
2004-11-01,0.00%
2004-12-01,0.40%
2005-01-01,0.00%
2005-02-01,0.50%
2005-03-01,0.10%
2005-04-01,-0.30%
2005-05-01,0.70%
2005-06-01,0.40%
2005-07-01,0.30%
2005-08-01,0.30%
2005-09-01,0.40%
2005-10-01,0.10%
2005-11-01,0.30%
2005-12-01,0.50%
2006-01-01,0.50%
2006-02-01,0.20%
2006-03-01,0.20%
2006-04-01,0.20%
2006-05-01,0.00%
2006-06-01,0.00%
2006-07-01,-0.20%
2006-08-01,0.20%
2006-09-01,0.10%
2006-10-01,-0.10%
2006-11-01,0.20%
2006-12-01,0.30%
2007-01-01,0.70%
2007-02-01,-0.20%
2007-03-01,0.50%
2007-04-01,0.20%
2007-05-01,0.10%
2007-06-01,0.30%
2007-07-01,0.30%
2007-08-01,0.00%
2007-09-01,0.50%
2007-10-01,0.00%
2007-11-01,0.00%
2007-12-01,0.20%
2008-01-01,-0.30%
2008-02-01,0.40%
2008-03-03,-0.7%
2008-03-31,0.6%
2008-04-30,-0.2%
2008-05-30,-0.2%
2008-06-30,0.4%
2008-07-31,-0.1%
2008-08-29,0.1%
2008-09-30,0.7%
2008-10-31,-0.3%
2008-12-01,0.1%
2008-12-24,-0.1%
2009-01-30,-0.7%
2009-03-02,-1.0%
2009-03-31,-0.7%
2009-04-30,-0.1%
2009-06-01,-0.3%
2009-06-30,-0.1%
2009-07-31,-0.5%
2009-08-31,0.1%
2009-09-30,0.0%
2009-10-30,-0.1%
2009-11-30,0.4%
2009-12-23,0.2%
2010-01-29,0.4%
2010-03-01,0.6%
2010-03-31,0.6%
2010-04-30,0.3%
2010-05-31,0.6%
2010-06-30,0.0%
2010-07-30,0.1%
2010-08-31,0.2%
2010-09-30,-0.1%
2010-10-29,0.3%
2010-11-30,-0.1%
2010-12-23,0.2%
2011-01-31,0.4%
2011-02-28,0.5%
2011-03-31,0.5%
2011-04-29,-0.2%
2011-05-30,0.3%
2011-06-30,0.0%
2011-07-29,-0.3%
2011-08-31,0.2%
2011-09-30,0.3%
2011-10-31,0.3%
2011-11-30,0.2%
2011-12-23,0.0%
2012-01-31,-0.1%
2012-03-02,0.4%
2012-03-30,0.1%
2012-04-30,-0.2%
2012-06-01,0.1%
2012-06-29,0.3%
2012-07-31,0.1%
2012-08-31,0.2%
2012-09-28,0.2%
2012-10-31,-0.1%
2012-11-30,0.0%
2012-12-21,0.1%
2013-01-31,0.3%
2013-03-01,-0.2%
2013-03-28,0.2%
2013-04-30,0.3%
2013-05-31,0.2%
2013-06-28,0.1%
2013-07-31,0.2%
2013-08-30,-0.5%
2013-09-30,0.6%
2013-10-31,0.3%
2013-11-29,0.3%
2013-12-23,0.3%
2014-01-31,0.2%
2014-02-28,-0.5%
2014-03-31,0.5%
2014-04-30,0.2%
2014-05-30,0.1%
2014-06-30,0.1%
2014-07-31,0.4%
2014-08-29,0.3%
2014-09-30,0.0%
2014-10-31,-0.1%
2014-11-28,0.4%
2014-12-23,0.3%
2015-01-30,-0.2%
2015-03-03,0.3%
2015-03-31,-0.1%
2015-04-30,0.0%
2015-05-29,-0.2%
2015-06-30,-0.1%
2015-07-31,-0.2%
2015-09-01,0.5%
2015-09-30,0.3%
2015-10-30,0.1%
2015-12-01,-0.5%
2015-12-23,0.0%
2016-01-29,0.3%
2016-03-01,0.2%
2016-03-31,0.6%
2016-04-29,-0.1%
2016-05-31,-0.2%
2016-06-30,0.1%
2016-07-29,-0.6%
2016-08-31,0.6%
2016-09-30,0.5%
2016-11-01,0.2%
2016-11-30,0.3%
2016-12-23,-0.3%
2017-01-31,0.4%
2017-03-02,0.3%
2017-03-31,0.6%
2017-04-28,0.0%
2017-05-31,0.5%
2017-06-30,0.2%
2017-07-28,0.6%
2017-08-31,0.3%
2017-09-29,0.0%
2017-10-31,-0.1%
2017-12-01,0.2%
2017-12-22,0.0%
2018-01-31,0.4%
2018-03-02,0.1%
2018-03-29,-0.1%
2018-05-01,0.4%
2018-05-31,0.3%
2018-06-29,0.1%
2018-07-31,0.5%
2018-08-30,0.0%
2018-09-28,0.2%
2018-10-31,0.1%
2018-11-30,-0.1%
2018-12-21,0.3%
2019-01-31,-0.1%
2019-03-01,-0.1%
2019-03-29,0.3%
2019-04-30,-0.1%
2019-05-31,0.5%
2019-06-28,0.3%
2019-07-31,0.2%
2019-08-30,0.2%
2019-10-01,0.0%
2019-10-31,0.1%
2019-11-29,0.1%
2019-12-23,-0.1%
2020-01-31,0.1%
2020-02-28,0.3%
2020-03-31,0.1%
2020-04-30,0.0%
2020-05-29,-7.2%
2020-06-30,-11.6%
2020-07-31,4.5%
2020-08-28,6.5%
2020-09-30,3.0%
