Date,Value
1977-02-01,231.30K
1977-03-01,232.40K
1977-04-01,221.50K
1977-05-01,247.40K
1977-06-01,258.10K
1977-07-01,266.60K
1977-08-01,260.60K
1977-09-01,250.90K
1977-10-01,257.00K
1977-11-01,228.30K
1977-12-01,232.30K
1978-01-01,263.90K
1978-02-01,266.40K
1978-03-01,281.80K
1978-04-01,291.60K
1978-05-01,203.90K
1978-06-01,199.90K
1978-07-01,203.10K
1978-08-01,218.00K
1978-09-01,218.50K
1978-10-01,205.60K
1978-11-01,213.40K
1978-12-01,234.90K
1979-01-01,193.00K
1979-02-01,218.60K
1979-03-01,182.60K
1979-04-01,184.10K
1979-05-01,187.70K
1979-06-01,205.80K
1979-07-01,190.30K
1979-08-01,180.40K
1979-09-01,203.40K
1979-10-01,187.20K
1979-11-01,217.60K
1979-12-01,207.90K
1980-01-01,197.20K
1980-02-01,175.20K
1980-03-01,148.90K
1980-04-01,134.80K
1980-05-01,146.70K
1980-06-01,126.50K
1980-07-01,148.70K
1980-08-01,160.30K
1980-09-01,160.80K
1980-10-01,173.70K
1980-11-01,197.80K
1980-12-01,170.70K
1981-01-01,160.50K
1981-02-01,166.20K
1981-03-01,166.60K
1981-04-01,176.60K
1981-05-01,218.60K
1981-06-01,205.90K
1981-07-01,206.40K
1981-08-01,187.30K
1981-09-01,180.30K
1981-10-01,190.70K
1981-11-01,126.90K
1981-12-01,131.20K
1982-01-01,181.30K
1982-02-01,157.70K
1982-03-01,162.20K
1982-04-01,144.40K
1982-05-01,119.60K
1982-06-01,98.20K
1982-07-01,107.20K
1982-08-01,106.00K
1982-09-01,90.70K
1982-10-01,93.10K
1982-11-01,131.40K
1982-12-01,151.30K
1983-01-01,150.00K
1983-02-01,167.90K
1983-03-01,162.30K
1983-04-01,171.00K
1983-05-01,175.40K
1983-06-01,248.00K
1983-07-01,194.90K
1983-08-01,143.10K
1983-09-01,132.70K
1983-10-01,140.50K
1983-11-01,132.60K
1983-12-01,140.10K
1984-01-01,140.50K
1984-02-01,156.20K
1984-03-01,159.40K
1984-04-01,131.70K
1984-05-01,123.30K
1984-06-01,127.40K
1984-07-01,134.50K
1984-08-01,130.60K
1984-09-01,151.30K
1984-10-01,137.60K
1984-11-01,123.20K
1984-12-01,118.30K
1985-01-01,129.90K
1985-02-01,136.10K
1985-03-01,140.20K
1985-04-01,139.00K
1985-05-01,155.50K
1985-06-01,157.30K
1985-07-01,154.40K
1985-08-01,167.50K
1985-09-01,172.00K
1985-10-01,185.80K
1985-11-01,194.10K
1985-12-01,198.60K
1986-01-01,190.60K
1986-02-01,174.70K
1986-03-01,194.40K
1986-04-01,173.20K
1986-05-01,206.50K
1986-06-01,193.30K
1986-07-01,201.60K
1986-08-01,200.40K
1986-09-01,191.10K
1986-10-01,226.80K
1986-11-01,214.40K
1986-12-01,206.30K
1987-01-01,214.50K
1987-02-01,256.10K
1987-03-01,230.60K
1987-04-01,261.60K
1987-05-01,238.80K
1987-06-01,257.50K
1987-07-01,262.20K
1987-08-01,263.00K
1987-09-01,260.30K
1987-10-01,235.80K
1987-11-01,227.80K
1987-12-01,238.40K
1988-01-01,220.30K
1988-02-01,215.10K
1988-03-01,215.20K
1988-04-01,217.50K
1988-05-01,224.70K
1988-06-01,236.20K
1988-07-01,218.10K
1988-08-01,207.60K
1988-09-01,232.40K
1988-10-01,219.50K
1988-11-01,222.20K
1988-12-01,235.60K
1989-01-01,225.00K
1989-02-01,243.20K
1989-03-01,232.40K
1989-04-01,223.30K
1989-05-01,216.00K
1989-06-01,203.60K
1989-07-01,198.90K
1989-08-01,197.00K
1989-09-01,199.40K
1989-10-01,227.60K
1989-11-01,209.90K
1989-12-01,210.10K
1990-01-01,221.10K
1990-02-01,276.60K
1990-03-01,255.00K
1990-04-01,254.40K
1990-05-01,216.90K
1990-06-01,216.90K
1990-07-01,185.80K
1990-08-01,171.30K
1990-09-01,164.70K
1990-10-01,143.20K
1990-11-01,145.00K
1990-12-01,140.40K
1991-01-01,137.20K
1991-02-01,117.50K
1991-03-01,115.20K
1991-04-01,116.60K
1991-05-01,134.50K
1991-06-01,154.60K
1991-07-01,159.20K
1991-08-01,181.40K
1991-09-01,177.90K
1991-10-01,171.10K
1991-11-01,190.80K
1991-12-01,172.10K
1992-01-01,162.70K
1992-02-01,167.60K
1992-03-01,163.30K
1992-04-01,168.00K
1992-05-01,168.50K
1992-06-01,170.50K
1992-07-01,170.40K
1992-08-01,184.20K
1992-09-01,162.30K
1992-10-01,173.20K
1992-11-01,164.70K
1992-12-01,170.30K
1993-01-01,167.40K
1993-02-01,142.60K
1993-03-01,148.10K
1993-04-01,153.30K
1993-05-01,164.50K
1993-06-01,146.90K
1993-07-01,148.90K
1993-08-01,174.90K
1993-09-01,161.30K
1993-10-01,155.10K
1993-11-01,162.30K
1993-12-01,163.70K
1994-01-01,161.20K
1994-02-01,148.30K
1994-03-01,141.90K
1994-04-01,149.60K
1994-05-01,161.60K
1994-06-01,162.70K
1994-07-01,170.00K
1994-08-01,164.80K
1994-09-01,151.20K
1994-10-01,154.60K
1994-11-01,150.70K
1994-12-01,144.80K
1995-01-01,125.50K
1995-02-01,135.50K
1995-03-01,122.20K
1995-04-01,97.90K
1995-05-01,114.90K
1995-06-01,97.60K
1995-07-01,112.30K
1995-08-01,105.70K
1995-09-01,108.80K
1995-10-01,111.90K
1995-11-01,110.30K
1995-12-01,114.20K
1996-01-01,118.30K
1996-02-01,100.40K
1996-03-01,101.40K
1996-04-01,108.50K
1996-05-01,106.20K
1996-06-01,128.60K
1996-07-01,139.50K
1996-08-01,131.90K
1996-09-01,130.40K
1996-10-01,136.70K
1996-11-01,118.10K
1996-12-01,139.50K
1997-01-01,136.40K
1997-02-01,133.50K
1997-03-01,147.80K
1997-04-01,141.90K
1997-05-01,143.20K
1997-06-01,150.20K
1997-07-01,144.70K
1997-08-01,156.30K
1997-09-01,155.20K
1997-10-01,153.20K
1997-11-01,146.00K
1997-12-01,147.60K
1998-01-01,147.80K
1998-02-01,130.60K
1998-03-01,141.30K
1998-04-01,143.40K
1998-05-01,145.70K
1998-06-01,140.90K
1998-07-01,131.70K
1998-08-01,125.30K
1998-09-01,142.30K
1998-10-01,139.50K
1998-11-01,138.10K
1998-12-01,131.40K
1999-01-01,142.00K
1999-02-01,130.60K
1999-03-01,138.90K
1999-04-01,141.50K
1999-05-01,146.60K
1999-06-01,152.60K
1999-07-01,153.40K
1999-08-01,146.10K
1999-09-01,152.50K
1999-10-01,156.80K
1999-11-01,152.20K
1999-12-01,164.90K
2000-01-01,161.00K
2000-02-01,136.20K
2000-03-01,149.00K
2000-04-01,153.60K
2000-05-01,157.00K
2000-06-01,144.70K
2000-07-01,132.40K
2000-08-01,167.50K
2000-09-01,150.50K
2000-10-01,165.50K
2000-11-01,165.90K
2000-12-01,156.90K
2001-01-01,144.50K
2001-02-01,160.90K
2001-03-01,145.10K
2001-04-01,150.30K
2001-05-01,166.10K
2001-06-01,160.00K
2001-07-01,176.70K
2001-08-01,149.40K
2001-09-01,167.70K
2001-10-01,158.60K
2001-11-01,169.60K
2001-12-01,174.10K
2002-01-01,177.40K
2002-02-01,212.50K
2002-03-01,182.70K
2002-04-01,203.60K
2002-05-01,192.10K
2002-06-01,211.50K
2002-07-01,205.20K
2002-08-01,198.60K
2002-09-01,216.90K
2002-10-01,199.50K
2002-11-01,225.00K
2002-12-01,218.40K
2003-01-01,197.50K
2003-02-01,187.70K
2003-03-01,239.50K
2003-04-01,196.90K
2003-05-01,210.40K
2003-06-01,195.90K
2003-07-01,208.70K
2003-08-01,225.20K
2003-09-01,240.00K
2003-10-01,234.10K
2003-11-01,253.50K
2003-12-01,216.50K
2004-01-01,216.00K
2004-02-01,193.10K
2004-03-01,216.70K
2004-04-01,244.00K
2004-05-01,242.30K
2004-06-01,233.10K
2004-07-01,233.50K
2004-08-01,222.70K
2004-09-01,267.10K
2004-10-01,239.20K
2004-11-01,239.30K
2004-12-01,246.40K
2005-01-01,228.60K
2005-02-01,184.10K
2005-03-01,211.10K
2005-04-01,212.60K
2005-05-01,253.00K
2005-06-01,224.40K
2005-07-01,237.60K
2005-08-01,249.90K
2005-09-01,209.80K
2005-10-01,232.90K
2005-11-01,219.00K
2005-12-01,235.80K
2006-01-01,232.60K
2006-02-01,222.10K
2006-03-01,236.70K
2006-04-01,248.30K
2006-05-01,235.50K
2006-06-01,222.00K
2006-07-01,242.60K
2006-08-01,242.00K
2006-09-01,211.30K
2006-10-01,204.80K
2006-11-01,231.50K
2006-12-01,235.70K
2007-01-01,210.40K
2007-02-01,242.30K
2007-03-01,195.20K
2007-04-01,219.50K
2007-05-01,227.50K
2007-06-01,237.50K
2007-07-01,229.40K
2007-08-01,222.90K
2007-09-01,231.80K
2007-10-01,290.40K
2007-11-01,234.40K
2007-12-01,235.50K
2008-01-01,174.80K
2008-02-01,201.40K
2008-03-10,257.00K
2008-04-08,255.00K
2008-05-08,214.00K
