Date,Value
1999-05-01,59.10
1999-06-01,59.20
1999-07-01,69.10
1999-08-01,53.60
1999-09-01,58.20
1999-10-01,61.80
1999-11-01,65.90
1999-12-01,57.40
2000-01-01,68.30
2000-02-01,60.80
2000-03-01,61.70
2000-04-01,66.70
2000-05-01,59.00
2000-06-01,61.00
2000-07-01,51.10
2000-08-01,50.50
2000-09-01,53.40
2000-10-01,69.40
2000-11-01,49.40
2000-12-01,58.90
2001-01-01,56.10
2001-02-01,47.50
2001-03-01,57.70
2001-04-01,58.70
2001-05-01,51.40
2001-06-01,64.00
2001-07-01,57.00
2001-08-01,44.70
2001-09-01,53.50
2001-10-01,45.40
2001-11-01,48.50
2001-12-01,44.20
2002-01-01,41.70
2002-02-01,48.50
2002-03-01,54.30
2002-04-01,61.60
2002-05-01,55.90
2002-06-01,56.60
2002-07-01,56.50
2002-08-01,46.50
2002-09-01,51.10
2002-10-01,58.50
2002-11-01,60.90
2002-12-01,56.90
2003-01-01,50.00
2003-02-01,56.30
2003-03-01,59.20
2003-04-01,65.90
2003-05-01,54.20
2003-06-01,50.60
2003-07-01,67.40
2003-08-01,47.30
2003-09-01,51.10
2003-10-01,59.40
2003-11-01,56.50
2003-12-01,58.70
2004-01-01,58.50
2004-02-01,53.80
2004-03-01,59.60
2004-04-01,64.00
2004-05-01,57.10
2004-06-01,64.70
2004-07-01,66.00
2004-08-01,51.00
2004-09-01,64.60
2004-10-01,66.00
2004-11-01,56.50
2004-12-01,58.70
2005-01-01,54.60
2005-02-01,50.00
2005-03-01,63.40
2005-04-01,63.70
2005-05-01,58.30
2005-06-01,62.00
2005-07-01,63.30
2005-08-01,51.50
2005-09-01,54.10
2005-10-01,67.30
2005-11-01,64.80
2005-12-01,65.80
2006-01-01,48.30
2006-02-01,54.10
2006-03-01,59.50
2006-04-01,67.20
2006-05-01,55.70
2006-06-01,75.00
2006-07-01,62.20
2006-08-01,60.10
2006-09-01,55.70
2006-10-01,59.90
2006-11-01,59.50
2006-12-01,52.80
2007-01-01,49.40
2007-02-01,53.80
2007-03-01,60.50
2007-04-01,67.30
2007-05-01,60.90
2007-06-01,62.70
2007-07-01,67.40
2007-08-01,54.60
2007-09-01,58.50
2007-10-01,56.00
2007-11-01,57.10
2007-12-01,58.70
2008-01-01,45.90
2008-02-01,56.20
2008-03-01,62.00
2008-04-01,59.00
2008-05-01,57.60
2008-06-01,62.50
2008-07-01,69.60
2008-08-01,65.50
2008-09-01,51.50
2008-10-01,61.00
2008-11-01,52.20
2008-12-01,40.20
2009-01-01,39.10
2009-02-01,36.10
2009-03-01,45.20
2009-04-01,43.20
2009-05-01,53.70
2009-06-01,48.40
2009-07-01,58.20
2009-08-01,51.80
2009-09-01,55.70
2009-10-01,61.70
2009-11-01,61.20
2009-12-01,55.90
2010-01-01,48.40
2010-02-01,50.80
2010-03-01,51.90
2010-04-01,57.80
2010-05-01,58.70
2010-06-01,62.70
2010-07-01,58.90
2010-08-01,54.00
2010-09-01,65.90
2010-10-01,70.30
2010-11-01,56.70
2010-12-01,57.50
2011-01-01,50.00
2011-02-01,41.40
2011-03-01,69.30
2011-04-01,73.20
2011-05-01,57.70
2011-06-01,69.10
2011-07-01,68.20
2011-08-01,45.40
2011-09-01,57.60
2011-10-01,63.40
2011-11-01,55.60
2011-12-01,57.10
2012-01-01,53.60
2012-02-01,55.70
2012-03-01,66.00
2012-04-01,65.00
2012-05-01,52.20
2012-06-01,66.30
2012-07-01,55.30
2012-08-01,58.80
2012-09-01,65.20
2012-10-01,68.50
2012-11-01,58.30
2012-12-01,46.40
2013-01-01,43.10
2013-02-01,54.80
2013-03-01,51.60
2013-04-01,64.40
2013-05-01,50.90
2013-06-01,70.80
2013-07-01,56.60
2013-08-01,45.70
2013-09-01,51.90
2013-10-01,59.40
2013-11-01,64.20
2013-12-01,48.20
2014-01-01,40.20
2014-02-01,53.60
2014-03-01,57.80
2014-04-01,61.80
2014-05-01,51.10
2014-06-01,52.20
2014-07-01,49.70
2014-08-01,50.40
2014-09-01,49.10
2014-10-06,65.2
2014-11-06,54.2
2014-12-04,49.2
2015-01-07,46.7
2015-02-04,42.6
2015-03-05,50.8
2015-04-06,56.0
2015-05-06,55.7
2015-06-04,65.2
2015-07-06,59.5
2015-08-07,50.0
2015-09-04,55.6
2015-10-06,63.3
2015-11-05,52.3
2015-12-04,57.9
2016-01-07,42.5
2016-02-05,56.7
2016-03-04,56.8
2016-04-06,57.9
2016-05-06,50.6
2016-06-07,58.4
2016-07-07,54.7
2016-08-05,49.4
2016-09-07,53.8
2016-10-07,68.1
2016-11-04,56.5
2016-12-06,56.5
2017-01-06,49.4
2017-02-07,52.3
2017-03-07,55.1
2017-04-07,67.6
2017-05-05,58.5
2017-06-06,62.6
2017-07-07,63.9
2017-08-04,52.9
2017-09-07,56.8
2017-10-06,68.6
2017-11-06,63.5
2017-12-07,62.4
2018-01-05,49.3
2018-02-06,51.3
2018-03-06,58.4
2018-04-06,64.7
2018-05-04,70.4
2018-06-06,69.5
2018-07-06,65.1
2018-08-07,56.7
2018-09-07,61.3
2018-10-04,56.5
2018-11-07,64.6
2018-12-06,57.3
2019-01-07,48.2
2019-02-06,49.5
2019-03-06,48.9
2019-04-04,57.6
2019-05-07,56.7
2019-06-06,61.8
2019-07-05,53.7
2019-08-07,51.2
2019-09-06,58.6
2019-10-04,55.8
2019-11-06,51.8
2019-12-05,58.4
2020-01-07,43.6
2020-02-07,51.1
2020-03-06,53.2
2020-04-07,28.2
2020-05-07,23.6
2020-06-05,42.1
2020-07-07,62.9
2020-08-07,65.2
