Date,Value
2008-03-07,62.0
2008-04-05,59.0
2008-05-07,57.6
2008-06-06,62.5
2008-08-07,65.5
2008-09-06,51.5
2008-10-07,61.0
2008-11-07,52.2
2008-12-05,40.2
2009-01-09,39.1
2009-02-06,36.1
2009-03-06,45.2
2009-04-07,43.2
2009-05-07,53.7
2009-06-05,48.4
2009-07-08,58.2
2009-08-08,51.8
2009-09-05,55.7
2009-10-07,61.7
2009-11-06,61.2
2009-12-05,55.9
2010-01-08,48.4
2010-02-05,50.8
2010-03-05,51.9
2010-04-08,57.8
2010-05-07,58.7
2010-06-05,62.7
2010-07-08,58.9
2010-08-07,54.0
2010-09-09,65.9
2010-10-07,70.3
2010-11-05,56.7
2010-12-07,57.5
2011-01-07,50.0
2011-02-05,41.4
2011-03-05,70.8
2011-04-07,73.2
2011-05-06,57.8
2011-06-07,65.5
2011-07-08,59.9
2011-08-06,46.8
2011-09-08,56.4
2011-10-07,55.7
2011-11-05,54.4
2011-12-07,59.9
2012-01-06,63.5
2012-02-07,64.1
2012-03-07,66.5
2012-04-06,63.5
2012-05-05,52.7
2012-06-08,60.5
2012-07-07,49.0
2012-08-08,62.8
2012-09-08,62.5
2012-10-05,60.4
2012-11-07,58.3
2012-12-07,47.5
2013-01-08,52.8
2013-02-07,58.9
2013-03-07,51.1
2013-04-06,61.6
2013-05-07,52.2
2013-06-07,63.1
2013-07-06,55.3
2013-08-08,48.4
2013-09-07,51.0
2013-10-05,51.9
2013-11-07,62.8
2013-12-06,53.7
2014-01-08,46.3
2014-02-07,56.8
2014-03-07,57.2
2014-04-05,55.2
2014-05-07,54.1
2014-06-06,48.2
2014-07-08,46.9
2014-08-08,54.1
2014-09-06,50.9
2014-10-07,58.6
2014-11-07,51.2
2014-12-05,56.9
2015-01-08,55.4
2015-02-05,45.4
2015-03-06,49.7
2015-04-07,47.9
2015-05-07,58.2
2015-06-05,62.3
2015-07-07,55.9
2015-08-08,52.9
2015-09-05,58.0
2015-10-07,53.7
2015-11-06,53.1
2015-12-05,63.6
2016-01-08,49.9
2016-02-06,66.0
2016-03-05,53.4
2016-04-07,50.1
2016-05-07,53.1
2016-06-08,49.4
2016-07-08,51.7
2016-08-06,57.0
2016-09-08,52.3
2016-10-08,58.4
2016-11-05,59.7
2016-12-07,56.8
2017-01-07,60.8
2017-02-08,57.2
2017-03-08,55.0
2017-04-08,61.1
2017-05-06,62.4
2017-06-07,53.8
2017-07-08,61.6
2017-08-05,60.0
2017-09-08,56.3
2017-10-07,59.6
2017-11-07,63.8
2017-12-08,63.0
2018-01-06,60.4
2018-02-07,55.2
2018-03-07,59.6
2018-04-07,59.8
2018-05-05,71.5
2018-06-07,62.5
2018-07-07,63.1
2018-08-08,61.8
2018-09-08,61.9
2018-10-05,50.4
2018-11-08,61.8
2018-12-07,57.2
2019-01-08,59.7
2019-02-07,54.7
2019-03-07,50.6
2019-04-05,54.3
2019-05-08,55.9
2019-06-07,55.9
2019-07-06,52.4
2019-08-08,54.2
2019-09-07,60.6
2019-10-05,48.7
2019-11-07,48.2
2019-12-06,60.0
2020-01-08,51.9
2020-02-08,57.3
2020-03-07,54.1
2020-04-08,26.0
2020-05-08,22.8
2020-06-06,39.1
2020-07-08,58.2
2020-08-08,68.5
