Date,Value
1982-02-01,8.70%
1982-03-01,11.40%
1982-04-01,10.30%
1982-05-01,11.00%
1982-06-01,10.90%
1982-07-01,5.80%
1982-08-01,6.50%
1982-09-01,5.70%
1982-10-01,7.00%
1982-11-01,3.00%
1982-12-01,3.50%
1983-01-01,7.60%
1983-02-01,6.00%
1983-03-01,5.50%
1983-04-01,5.10%
1983-05-01,5.70%
1983-06-01,4.40%
1983-07-01,4.80%
1983-08-01,1.80%
1983-09-01,3.50%
1983-10-01,2.30%
1983-11-01,4.10%
1983-12-01,4.20%
1984-01-01,4.60%
1984-02-01,3.10%
1984-03-01,2.60%
1984-04-01,4.00%
1984-05-01,3.40%
1984-06-01,3.60%
1984-07-01,3.60%
1984-08-01,3.40%
1984-09-01,1.40%
1984-10-01,1.60%
1984-11-01,0.40%
1984-12-01,5.00%
1985-01-01,4.20%
1985-02-01,3.20%
1985-03-01,3.10%
1985-04-01,2.50%
1985-05-01,1.70%
1985-06-01,1.50%
1985-07-01,0.40%
1985-08-01,-0.60%
1985-09-01,0.00%
1985-10-01,0.00%
1985-11-01,1.80%
1985-12-01,-0.60%
1986-01-01,0.40%
1986-02-01,-2.50%
1986-03-01,-9.70%
1986-04-01,-17.10%
1986-05-01,-23.00%
1986-06-01,-23.00%
1986-07-01,-21.20%
1986-08-01,-21.10%
1986-09-01,-20.00%
1986-10-01,-17.90%
1986-11-01,-18.50%
1986-12-01,-19.00%
1987-01-01,-19.40%
1987-02-01,-14.90%
1987-03-01,-7.20%
1987-04-01,0.00%
1987-05-01,9.10%
1987-06-01,13.10%
1987-07-01,13.40%
1987-08-01,16.30%
1987-09-01,17.00%
1987-10-01,13.90%
1987-11-01,12.40%
1987-12-01,11.60%
1988-01-01,10.80%
1988-02-01,6.50%
1988-03-01,2.00%
1988-04-01,1.80%
1988-05-01,0.70%
1988-06-01,-1.10%
1988-07-01,-2.40%
1988-08-01,-4.70%
1988-09-01,-7.80%
1988-10-01,-8.00%
1988-11-01,-8.10%
1988-12-01,-8.50%
1989-01-01,-7.40%
1989-02-01,-3.00%
1989-03-01,0.00%
1989-04-01,4.00%
1989-05-01,4.90%
1989-06-01,3.80%
1989-07-01,2.60%
1989-08-01,3.80%
1989-09-01,5.00%
1989-10-01,3.90%
1989-11-01,5.60%
1989-12-01,5.10%
1990-01-01,3.40%
1990-02-01,1.30%
1990-03-01,3.60%
1990-04-01,0.40%
1990-05-01,-3.00%
1990-06-01,-3.80%
1990-07-01,-5.20%
1990-08-01,-5.40%
1990-09-01,1.50%
1990-10-01,11.30%
1990-11-01,16.90%
1990-12-01,18.10%
1991-01-01,14.20%
1991-02-01,10.40%
1991-03-01,1.90%
1991-04-01,-2.20%
1991-05-01,-1.50%
1991-06-01,-2.70%
1991-07-01,-0.20%
1991-08-01,-0.50%
1991-09-01,-6.20%
1991-10-01,-13.70%
1991-11-01,-17.80%
1991-12-01,-17.90%
1992-01-01,-17.10%
1992-02-01,-16.00%
1992-03-01,-9.10%
1992-04-01,-5.10%
1992-05-01,-1.80%
1992-06-01,2.70%
1992-07-01,5.00%
1992-08-01,5.50%
1992-09-01,4.60%
1992-10-01,7.60%
1992-11-01,5.70%
1992-12-01,7.10%
1993-01-01,9.20%
1993-02-01,10.00%
