Date,Value
1985-02-01,97.00
1985-03-01,95.60
1985-04-01,94.30
1985-05-01,95.20
1985-06-01,96.00
1985-07-01,95.50
1985-08-01,95.40
1985-09-01,95.40
1985-10-01,96.70
1985-11-01,97.40
1985-12-01,98.60
1986-01-01,98.30
1986-02-01,100.10
1986-03-01,101.10
1986-04-01,101.80
1986-05-01,101.60
1986-06-01,101.80
1986-07-01,101.80
1986-08-01,101.70
1986-09-01,101.80
1986-10-01,100.80
1986-11-01,100.40
1986-12-01,100.60
1987-01-01,101.70
1987-02-01,99.90
1987-03-01,99.20
1987-04-01,100.60
1987-05-01,100.90
1987-06-01,100.70
1987-07-01,100.20
1987-08-01,101.30
1987-09-01,102.40
1987-10-01,103.30
1987-11-01,102.80
1987-12-01,102.40
1988-01-01,102.60
1988-02-01,102.80
1988-03-01,103.70
1988-04-01,104.90
1988-05-01,106.00
1988-06-01,106.70
1988-07-01,108.90
1988-08-01,108.60
1988-09-01,109.10
1988-10-01,109.90
1988-11-01,112.20
1988-12-01,112.20
1989-01-01,112.40
1989-02-01,112.30
1989-03-01,112.50
1989-04-01,111.80
1989-05-01,112.30
1989-06-01,113.00
1989-07-01,114.60
1989-08-01,114.90
1989-09-01,113.50
1989-10-01,113.00
1989-11-01,112.50
1989-12-01,113.30
1990-01-01,113.50
1990-02-01,113.60
1990-03-01,112.10
1990-04-01,113.10
1990-05-01,113.00
1990-06-01,112.20
1990-07-01,111.70
1990-08-01,111.80
1990-09-01,111.00
1990-10-01,108.30
1990-11-01,106.20
1990-12-01,106.00
1991-01-01,105.90
1991-02-01,104.00
1991-03-01,101.60
1991-04-01,102.40
1991-05-01,101.10
1991-06-01,101.30
1991-07-01,99.40
1991-08-01,97.40
1991-09-01,97.70
1991-10-01,97.50
1991-11-01,96.80
1991-12-01,97.20
1992-01-01,96.10
1992-02-01,96.60
1992-03-01,98.60
1992-04-01,96.10
1992-05-01,95.00
1992-06-01,94.80
1992-07-01,93.30
1992-08-01,90.70
1992-09-01,88.90
1992-10-01,85.90
1992-11-01,82.20
1992-12-01,78.90
1993-01-01,77.80
1993-02-01,76.10
1993-03-01,77.20
1993-04-01,76.80
1993-05-01,77.40
1993-06-01,78.30
1993-07-01,75.90
1993-08-01,76.40
1993-09-01,77.00
1993-10-01,79.60
1993-11-01,81.40
1993-12-01,82.50
1994-01-01,83.80
1994-02-01,86.50
1994-03-01,89.20
1994-04-01,91.90
1994-05-01,95.70
1994-06-01,98.20
1994-07-01,100.80
1994-08-01,103.10
1994-09-01,104.10
1994-10-01,107.70
1994-11-01,110.10
1994-12-01,109.50
1995-01-01,109.90
1995-02-01,110.50
1995-03-01,110.30
1995-04-01,108.40
1995-05-01,107.70
1995-06-01,107.00
1995-07-01,106.80
1995-08-01,106.60
1995-09-01,103.80
1995-10-01,102.20
1995-11-01,100.30
1995-12-01,98.20
1996-01-01,97.00
1996-02-01,97.20
1996-03-01,93.80
1996-04-01,92.90
1996-05-01,93.70
1996-06-01,92.50
1996-07-01,93.60
1996-08-01,93.80
1996-09-01,94.40
1996-10-01,95.10
1996-11-01,97.70
1996-12-01,97.70
1997-01-01,98.20
1997-02-01,99.90
1997-03-01,100.50
1997-04-01,101.40
1997-05-01,102.10
1997-06-01,104.10
1997-07-01,104.90
1997-08-01,106.00
1997-09-01,107.20
1997-10-01,108.40
1997-11-01,108.30
1997-12-01,109.60
1998-01-01,110.70
1998-02-01,111.00
1998-03-01,112.00
1998-04-01,113.30
1998-05-01,112.50
1998-06-01,113.30
1998-07-01,114.40
1998-08-01,113.30
1998-09-01,113.70
1998-10-01,111.10
1998-11-01,108.40
1998-12-01,109.40
1999-01-01,108.30
1999-02-01,106.10
1999-03-01,106.20
1999-04-01,106.00
1999-05-01,104.50
1999-06-01,105.40
1999-07-01,105.60
1999-08-01,105.90
1999-09-01,106.60
1999-10-01,108.30
1999-11-01,110.80
1999-12-01,111.90
2000-01-01,112.60
2000-02-01,114.00
2000-03-01,116.10
2000-04-01,117.20
2000-05-01,117.60
2000-06-01,118.80
2000-07-01,116.90
2000-08-01,117.50
2000-09-01,118.00
2000-10-01,115.40
2000-11-01,116.10
2000-12-01,113.70
2001-01-01,113.60
2001-02-01,114.10
2001-03-01,111.10
2001-04-01,109.50
2001-05-01,108.90
2001-06-01,106.20
2001-07-01,105.50
2001-08-01,104.20
2001-09-01,101.20
2001-10-01,98.10
2001-11-01,94.10
2001-12-01,90.90
2002-01-01,92.70
2002-02-01,95.90
2002-03-01,96.40
2002-04-01,98.30
2002-05-01,99.50
2002-06-01,100.00
2002-07-01,98.50
2002-08-01,97.20
2002-09-01,95.00
2002-10-01,97.60
2002-11-01,95.40
2002-12-01,94.90
2003-01-01,93.00
2003-02-01,94.10
2003-03-01,93.60
2003-04-01,91.20
2003-05-01,93.70
2003-06-01,92.90
2003-07-01,93.70
2003-08-01,93.90
2003-09-01,96.40
2003-10-01,97.60
2003-11-01,98.60
2003-12-01,100.30
2004-01-01,99.00
2004-02-01,99.40
2004-03-01,100.00
2004-04-01,99.40
2004-05-01,101.60
2004-06-01,101.30
2004-07-01,101.90
2004-08-01,102.00
2004-09-01,101.70
2004-10-01,103.00
2004-11-01,103.40
2004-12-01,102.90
2005-01-01,101.90
2005-02-01,102.00
2005-03-01,99.70
2005-04-01,99.00
2005-05-01,98.90
2005-06-01,98.40
2005-07-01,98.80
2005-08-01,99.50
2005-09-01,100.00
2005-10-01,100.90
2005-11-01,102.70
2005-12-01,102.30
2006-01-01,103.10
2006-02-01,104.00
2006-03-01,104.30
2006-04-01,105.60
2006-05-01,107.70
2006-06-01,108.40
2006-07-01,108.60
2006-08-01,109.20
2006-09-01,109.00
2006-10-01,109.90
2006-11-01,110.40
2006-12-01,110.80
2007-01-01,111.20
2007-02-01,110.60
2007-03-01,111.20
2007-04-01,112.40
2007-05-01,112.50
2007-06-01,113.10
2007-07-01,113.00
2007-08-01,112.20
2007-09-01,111.50
2007-10-01,109.30
2007-11-01,107.90
2007-12-01,107.00
2008-01-01,105.90
2008-02-01,104.80
2008-03-01,103.50
2008-04-01,103.20
2008-05-01,101.50
2008-06-01,101.20
2008-07-01,98.20
2008-08-01,95.40
2008-09-01,93.80
2008-10-01,91.60
2008-11-01,85.30
2008-12-01,80.30
2009-01-01,73.50
2009-02-01,73.00
2009-03-01,70.80
2009-04-01,69.30
2009-05-01,71.70
2009-06-01,74.60
2009-07-01,77.60
2009-08-01,80.20
2009-09-01,84.20
2009-10-01,86.80
2009-11-01,89.20
2009-12-01,91.50
2010-01-01,94.00
2010-02-01,95.80
2010-03-01,96.20
2010-04-01,98.40
2010-05-01,100.90
2010-06-01,99.00
2010-07-01,99.80
2010-08-01,101.90
2010-09-01,102.70
2010-10-28,104.1
2010-11-29,105.3
2011-01-06,106.2
2011-01-27,106.5
2011-02-24,107.8
2011-03-30,107.3
2011-04-29,106.2
2011-05-27,105.5
2011-06-29,105.1
2011-07-28,103.2
2011-08-30,98.3
2011-09-29,95.0
2011-10-27,94.8
2011-11-29,93.7
2012-01-06,93.3
2012-01-30,93.4
2012-02-28,94.4
2012-03-29,94.4
2012-04-26,92.8
2012-05-30,90.6
2012-06-28,89.9
2012-07-30,87.9
2012-08-30,86.1
2012-09-27,85.0
2012-10-30,84.5
2012-11-29,85.7
2013-01-08,87.0
2013-01-30,89.2
2013-02-27,91.1
2013-03-27,90.0
2013-04-29,88.6
2013-05-30,89.4
2013-06-27,91.3
2013-07-30,92.5
2013-08-30,95.2
2013-09-27,96.9
2013-10-30,97.8
2013-11-28,98.5
2014-01-09,100.0
2014-01-30,100.9
2014-02-27,101.2
2014-03-28,102.4
2014-04-29,102.0
2014-05-28,102.7
2014-06-27,102.0
2014-07-30,102.2
2014-08-28,100.6
2014-09-29,99.9
2014-10-30,100.7
2014-11-27,100.8
