Date,Value
1985-02-01,0.00
1985-03-01,-17.30
1985-04-01,-17.40
1985-05-01,-15.70
1985-06-01,-15.20
1985-07-01,-15.50
1985-08-01,-15.70
1985-09-01,-15.50
1985-10-01,-15.10
1985-11-01,-13.30
1985-12-01,-12.50
1986-01-01,-12.90
1986-02-01,-9.80
1986-03-01,-9.30
1986-04-01,-7.30
1986-05-01,-6.50
1986-06-01,-5.60
1986-07-01,-7.40
1986-08-01,-8.00
1986-09-01,-8.00
1986-10-01,-8.20
1986-11-01,-7.70
1986-12-01,-8.00
1987-01-01,-8.60
1987-02-01,-9.70
1987-03-01,-11.10
1987-04-01,-11.10
1987-05-01,-11.50
1987-06-01,-12.20
1987-07-01,-11.20
1987-08-01,-11.30
1987-09-01,-12.30
1987-10-01,-10.30
1987-11-01,-12.20
1987-12-01,-13.10
1988-01-01,-13.00
1988-02-01,-13.70
1988-03-01,-13.30
1988-04-01,-12.70
1988-05-01,-11.20
1988-06-01,-9.90
1988-07-01,-9.40
1988-08-01,-10.10
1988-09-01,-9.40
1988-10-01,-9.50
1988-11-01,-7.50
1988-12-01,-5.80
1989-01-01,-6.40
1989-02-01,-6.10
1989-03-01,-7.60
1989-04-01,-7.20
1989-05-01,-6.60
1989-06-01,-5.80
1989-07-01,-4.60
1989-08-01,-3.30
1989-09-01,-4.30
1989-10-01,-4.40
1989-11-01,-5.20
1989-12-01,-6.00
1990-01-01,-4.60
1990-02-01,-4.70
1990-03-01,-6.70
1990-04-01,-6.20
1990-05-01,-4.30
1990-06-01,-4.80
1990-07-01,-4.90
1990-08-01,-4.20
1990-09-01,-5.30
1990-10-01,-12.40
1990-11-01,-12.40
1990-12-01,-12.70
1991-01-01,-12.40
1991-02-01,-15.90
1991-03-01,-17.00
1991-04-01,-12.90
1991-05-01,-14.30
1991-06-01,-13.70
1991-07-01,-14.30
1991-08-01,-17.00
1991-09-01,-17.30
1991-10-01,-14.30
1991-11-01,-15.30
1991-12-01,-16.10
1992-01-01,-17.00
1992-02-01,-16.30
1992-03-01,-15.80
1992-04-01,-17.20
1992-05-01,-17.00
1992-06-01,-17.30
1992-07-01,-18.10
1992-08-01,-18.90
1992-09-01,-20.20
1992-10-01,-21.40
1992-11-01,-24.20
