Date,Value
1985-02-01,30.90
1985-03-01,31.10
1985-04-01,34.30
1985-05-01,31.40
1985-06-01,31.30
1985-07-01,32.30
1985-08-01,28.50
1985-09-01,28.30
1985-10-01,27.80
1985-11-01,28.00
1985-12-01,26.60
1986-01-01,25.70
1986-02-01,24.90
1986-03-01,21.80
1986-04-01,19.70
1986-05-01,22.10
1986-06-01,19.50
1986-07-01,15.30
1986-08-01,14.40
1986-09-01,13.90
1986-10-01,13.60
1986-11-01,11.50
1986-12-01,12.80
1987-01-01,13.70
1987-02-01,16.50
1987-03-01,18.40
1987-04-01,14.30
1987-05-01,13.80
1987-06-01,15.50
1987-07-01,16.60
1987-08-01,19.10
1987-09-01,19.60
1987-10-01,20.80
1987-11-01,21.40
1987-12-01,22.70
1988-01-01,21.50
1988-02-01,21.60
1988-03-01,19.30
1988-04-01,19.90
1988-05-01,18.90
1988-06-01,19.20
1988-07-01,22.70
1988-08-01,25.20
1988-09-01,24.30
1988-10-01,23.20
1988-11-01,23.50
1988-12-01,21.50
1989-01-01,24.50
1989-02-01,27.50
1989-03-01,28.00
1989-04-01,32.30
1989-05-01,32.90
1989-06-01,31.70
1989-07-01,28.50
1989-08-01,27.10
1989-09-01,27.80
1989-10-01,27.30
1989-11-01,30.60
1989-12-01,31.00
1990-01-01,29.00
1990-02-01,31.10
1990-03-01,31.20
1990-04-01,33.80
1990-05-01,33.40
1990-06-01,33.60
1990-07-01,34.60
1990-08-01,32.60
1990-09-01,34.80
1990-10-01,48.40
1990-11-01,48.10
1990-12-01,43.80
1991-01-01,39.80
1991-02-01,51.00
1991-03-01,49.80
1991-04-01,42.50
1991-05-01,38.80
1991-06-01,41.20
1991-07-01,42.10
1991-08-01,42.80
1991-09-01,42.10
1991-10-01,38.30
1991-11-01,38.60
1991-12-01,39.00
1992-01-01,40.00
1992-02-01,36.30
1992-03-01,36.10
1992-04-01,36.20
1992-05-01,36.80
1992-06-01,37.10
1992-07-01,37.70
1992-08-01,38.10
1992-09-01,38.30
1992-10-01,37.20
1992-11-01,38.20
1992-12-01,39.40
1993-01-01,37.60
1993-02-01,34.80
1993-03-01,32.20
1993-04-01,34.50
1993-05-01,34.90
1993-06-01,36.80
1993-07-01,33.80
1993-08-01,35.80
1993-09-01,35.40
1993-10-01,29.30
1993-11-01,27.70
1993-12-01,27.30
1994-01-01,26.70
1994-02-01,27.10
1994-03-01,24.00
1994-04-01,23.60
1994-05-01,21.90
1994-06-01,19.90
1994-07-01,19.00
1994-08-01,21.20
1994-09-01,20.30
1994-10-01,21.70
1994-11-01,21.60
1994-12-01,21.90
1995-01-01,22.80
1995-02-01,21.90
1995-03-01,25.10
1995-04-01,27.80
1995-05-01,26.20
1995-06-01,24.60
1995-07-01,27.90
1995-08-01,29.40
1995-09-01,29.60
1995-10-01,25.00
1995-11-01,24.90
1995-12-01,23.30
1996-01-01,25.10
1996-02-01,24.00
1996-03-01,19.80
1996-04-01,19.00
1996-05-01,21.30
1996-06-01,19.30
1996-07-01,18.60
1996-08-01,17.30
1996-09-01,14.90
1996-10-01,15.90
1996-11-01,17.20
1996-12-01,18.00
1997-01-01,17.40
1997-02-01,16.70
1997-03-01,17.20
1997-04-01,16.20
1997-05-01,16.20
1997-06-01,14.60
1997-07-01,13.70
1997-08-01,10.90
1997-09-01,13.40
1997-10-01,15.60
1997-11-01,16.90
1997-12-01,18.30
1998-01-01,18.10
1998-02-01,15.90
1998-03-01,17.60
1998-04-01,17.20
1998-05-01,19.10
1998-06-01,15.70
1998-07-01,16.20
1998-08-01,14.00
1998-09-01,12.70
1998-10-01,14.00
1998-11-01,12.90
1998-12-01,11.30
1999-01-01,10.30
1999-02-01,8.10
1999-03-01,10.20
1999-04-01,11.50
1999-05-01,18.20
1999-06-01,18.00
1999-07-01,18.40
1999-08-01,17.10
1999-09-01,15.90
1999-10-01,19.70
1999-11-01,18.50
1999-12-01,18.30
2000-01-01,22.00
2000-02-01,24.00
2000-03-01,22.70
2000-04-01,25.50
2000-05-01,18.40
2000-06-01,22.80
2000-07-01,26.60
2000-08-01,23.80
2000-09-01,24.40
2000-10-01,29.80
2000-11-01,26.10
2000-12-01,28.50
2001-01-01,27.10
2001-02-01,26.40
2001-03-01,28.50
2001-04-01,29.60
2001-05-01,30.20
2001-06-01,33.60
2001-07-01,32.00
2001-08-01,32.80
2001-09-01,35.50
2001-10-01,35.10
2001-11-01,35.20
2001-12-01,32.50
2002-01-01,32.40
2002-02-01,28.30
2002-03-01,20.60
2002-04-01,17.60
2002-05-01,22.80
2002-06-01,16.70
2002-07-01,13.50
2002-08-01,12.70
2002-09-01,12.40
2002-10-01,7.10
2002-11-01,8.10
2002-12-01,9.80
2003-01-01,9.40
2003-02-01,11.00
2003-03-01,12.80
2003-04-01,16.20
2003-05-01,12.10
2003-06-01,4.90
2003-07-01,3.20
2003-08-01,5.00
2003-09-01,6.80
2003-10-01,5.90
2003-11-01,4.80
2003-12-01,3.70
2004-01-01,3.40
2004-02-01,6.30
2004-03-01,7.30
2004-04-01,5.50
2004-05-01,2.80
2004-06-01,9.50
2004-07-01,10.00
2004-08-01,9.10
2004-09-01,9.50
2004-10-01,7.30
2004-11-01,6.90
2004-12-01,7.20
2005-01-01,5.00
2005-02-01,7.70
2005-03-01,9.40
2005-04-01,9.50
2005-05-01,9.90
2005-06-01,12.20
2005-07-01,12.40
2005-08-01,16.50
2005-09-01,13.50
2005-10-01,15.60
