Date,Value
1997-02-01,1.60%
1997-03-01,1.60%
1997-04-01,1.60%
1997-05-01,1.40%
1997-06-01,1.50%
1997-07-01,1.40%
1997-08-01,1.40%
1997-09-01,1.50%
1997-10-01,1.40%
1997-11-01,1.40%
1997-12-01,1.50%
1998-01-01,1.50%
1998-02-01,1.30%
1998-03-01,1.30%
1998-04-01,1.30%
1998-05-01,1.50%
1998-06-01,1.40%
1998-07-01,1.50%
1998-08-01,1.50%
1998-09-01,1.50%
1998-10-01,1.50%
1998-11-01,1.50%
1998-12-01,1.50%
1999-01-01,1.40%
1999-02-01,1.30%
1999-03-01,1.20%
1999-04-01,1.30%
1999-05-01,1.20%
1999-06-01,1.10%
1999-07-01,1.10%
1999-08-01,1.10%
1999-09-01,1.00%
1999-10-01,1.00%
1999-11-01,0.90%
1999-12-01,1.00%
2000-01-01,1.10%
2000-02-01,1.10%
2000-03-01,0.90%
2000-04-01,0.90%
2000-05-01,1.00%
2000-06-01,0.90%
2000-07-01,0.90%
2000-08-01,0.90%
2000-09-01,0.90%
2000-10-01,1.00%
2000-11-01,1.10%
2000-12-01,1.00%
2001-01-01,1.50%
2001-02-01,1.20%
2001-03-01,1.00%
2001-04-01,1.40%
2001-05-01,1.70%
2001-06-01,1.90%
2001-07-01,1.90%
2001-08-01,1.80%
2001-09-01,1.70%
2001-10-01,1.90%
2001-11-01,2.20%
2001-12-01,2.20%
2002-01-01,2.20%
2002-02-01,2.40%
2002-03-01,2.50%
2002-04-01,2.60%
2002-05-01,2.40%
2002-06-01,2.50%
2002-07-01,2.50%
2002-08-01,2.40%
2002-09-01,2.40%
2002-10-01,2.40%
2002-11-01,2.30%
2002-12-01,2.30%
2003-01-01,2.20%
2003-02-01,1.90%
2003-03-01,1.90%
2003-04-01,1.80%
2003-05-01,2.00%
2003-06-01,1.80%
2003-07-01,1.80%
2003-08-01,1.60%
2003-09-01,1.70%
2003-10-01,1.80%
2003-11-01,1.70%
2003-12-01,1.70%
2004-01-01,1.60%
2004-02-01,1.70%
2004-03-01,1.80%
2004-04-01,1.80%
2004-05-01,1.80%
2004-06-01,1.80%
2004-07-01,1.90%
2004-08-01,1.90%
2004-09-01,1.90%
2004-10-01,1.80%
2004-11-01,1.80%
2004-12-01,1.90%
2005-01-01,1.90%
2005-02-01,1.60%
2005-03-01,1.40%
2005-04-01,1.60%
2005-05-01,1.40%
2005-06-01,1.60%
2005-07-01,1.40%
2005-08-01,1.30%
2005-09-01,1.30%
2005-10-01,1.30%
2005-11-01,1.40%
2005-12-01,1.40%
2006-01-01,1.40%
2006-02-01,1.20%
2006-03-01,1.20%
2006-04-01,1.30%
2006-05-01,1.50%
2006-06-01,1.30%
2006-07-01,1.50%
2006-08-01,1.50%
2006-09-01,1.40%
2006-10-01,1.50%
2006-11-01,1.50%
2006-12-01,1.50%
2007-01-01,1.50%
2007-02-01,1.70%
2007-03-01,1.90%
2007-04-01,1.90%
2007-05-01,1.90%
2007-06-01,1.90%
2007-07-01,1.90%
2007-08-01,1.90%
2007-09-01,1.90%
2007-10-01,1.80%
2007-11-01,1.90%
2007-12-01,1.90%
2008-01-01,1.90%
2008-02-01,1.70%
2008-03-27,2.5%
2008-06-16,1.7%
2008-07-16,1.8%
2008-09-16,1.9%
2008-10-15,1.9%
2008-11-14,1.9%
2008-12-17,1.9%
2009-01-15,1.8%
2009-02-27,1.6%
2009-03-16,1.7%
2009-04-16,1.5%
2009-05-15,1.8%
2009-06-16,1.5%
2009-07-15,1.4%
2009-08-14,1.3%
2009-09-16,1.3%
2009-10-15,1.2%
2009-11-16,1.2%
2009-12-16,1.0%
2010-01-15,1.1%
2010-02-26,0.9%
2010-03-16,0.8%
2010-04-16,1.0%
2010-05-18,0.8%
2010-06-16,0.8%
2010-07-14,0.9%
2010-08-16,1.0%
2010-09-15,1.0%
2010-10-15,1.0%
2010-11-16,1.1%
2010-12-16,1.1%
2011-01-14,1.1%
2011-02-28,1.1%
2011-03-16,1.0%
2011-04-15,1.3%
2011-05-16,1.6%
2011-06-16,1.5%
2011-07-14,1.6%
2011-08-17,1.2%
2011-09-15,1.2%
2011-10-14,1.6%
2011-11-16,1.6%
2011-12-15,1.6%
2012-01-17,1.6%
2012-02-29,1.5%
2012-03-14,1.5%
2012-04-17,1.6%
2012-05-16,1.6%
2012-06-14,1.6%
2012-07-16,1.6%
2012-08-16,1.7%
2012-09-14,1.5%
2012-10-16,1.5%
2012-11-15,1.5%
2012-12-14,1.4%
2013-01-16,1.5%
2013-02-28,1.3%
2013-03-15,1.3%
2013-04-16,1.5%
2013-05-16,1.0%
2013-06-14,1.2%
2013-07-16,1.2%
2013-08-16,1.1%
2013-08-30,1.1%
2013-09-16,1.1%
2013-09-30,1.0%
2013-10-16,1.0%
2013-10-31,0.8%
2013-11-15,0.8%
2013-11-29,1.0%
2013-12-17,0.9%
2014-01-07,0.7%
2014-01-16,0.7%
2014-01-31,0.8%
2014-02-24,0.8%
2014-02-28,1.0%
2014-03-17,1.0%
2014-03-31,0.8%
2014-04-16,0.7%
2014-04-30,1.0%
2014-05-15,1.0%
2014-06-03,0.7%
2014-06-16,0.7%
2014-06-30,0.8%
2014-07-17,0.8%
2014-07-31,0.8%
2014-08-14,0.8%
2014-08-29,0.9%
2014-09-17,0.9%
2014-09-30,0.7%
2014-10-16,0.8%
2014-10-31,0.7%
2014-11-14,0.7%
2014-11-28,0.7%
2014-12-17,0.7%
2015-01-07,0.8%
2015-01-16,0.7%
2015-01-30,0.6%
2015-02-24,0.6%
2015-03-02,0.6%
2015-03-17,0.7%
2015-03-31,0.6%
2015-04-17,0.6%
2015-04-30,0.6%
2015-05-19,0.6%
2015-06-02,0.9%
2015-06-17,0.9%
2015-06-30,0.8%
2015-07-16,0.8%
2015-07-31,1.0%
2015-08-14,1.0%
2015-08-31,1.0%
2015-09-16,0.9%
2015-09-30,0.9%
2015-10-16,0.9%
2015-10-30,1.0%
2015-11-16,1.1%
2015-12-02,0.9%
2015-12-16,0.9%
2016-01-05,0.9%
2016-01-19,0.9%
2016-01-29,1.0%
2016-02-25,1.0%
2016-02-29,0.7%
2016-03-17,0.8%
2016-03-31,1.0%
2016-04-14,1.0%
2016-04-29,0.8%
2016-05-18,0.7%
2016-05-31,0.8%
2016-06-16,0.8%
2016-06-30,0.9%
2016-07-15,0.9%
2016-07-29,0.9%
2016-08-18,0.9%
2016-08-31,0.8%
2016-09-15,0.8%
2016-09-30,0.8%
2016-10-17,0.8%
2016-10-31,0.8%
2016-11-17,0.8%
2016-11-30,0.8%
2016-12-16,0.8%
2017-01-04,0.9%
2017-01-18,0.9%
2017-01-31,0.9%
2017-02-22,0.9%
2017-03-02,0.9%
2017-03-16,0.9%
2017-03-31,0.7%
2017-04-19,0.7%
2017-04-28,1.2%
2017-05-17,1.2%
2017-05-31,0.9%
2017-06-16,0.9%
2017-06-30,1.1%
2017-07-17,1.1%
2017-07-31,1.2%
2017-08-17,1.2%
2017-08-31,1.2%
2017-09-18,1.2%
2017-09-29,1.1%
2017-10-17,1.1%
2017-10-31,0.9%
2017-11-16,0.9%
2017-11-30,0.9%
2017-12-18,0.9%
2018-01-05,0.9%
2018-01-17,0.9%
2018-01-31,1.0%
2018-02-23,1.0%
2018-02-28,1.0%
2018-03-16,1.0%
2018-04-04,1.0%
2018-04-18,1.0%
2018-05-03,0.7%
