Date,Value
2013-11-14,-0.4%
2013-12-04,-0.4%
2014-01-10,-0.3%
2014-02-14,0.5%
2014-03-05,0.5%
2014-04-02,0.5%
2014-05-15,0.9%
2014-06-04,0.9%
2014-07-02,0.9%
2014-08-14,0.7%
2014-09-05,0.7%
2014-11-14,0.8%
2014-12-05,0.8%
2015-02-13,0.9%
2015-03-06,0.9%
2015-05-13,1.0%
2015-06-09,1.0%
2015-08-14,1.2%
2015-09-08,1.5%
2015-11-13,1.6%
2015-12-08,1.6%
2016-02-12,1.5%
2016-03-08,1.6%
2016-04-29,1.6%
2016-05-13,1.5%
2016-06-07,1.7%
2016-07-29,1.6%
2016-08-12,1.6%
2016-09-06,1.6%
2016-10-31,1.6%
2016-11-15,1.6%
2016-12-06,1.7%
2017-01-31,1.8%
2017-02-14,1.7%
2017-03-07,1.7%
2017-05-03,1.7%
2017-05-16,1.7%
2017-06-08,1.9%
2017-08-01,2.1%
2017-08-16,2.2%
2017-09-07,2.3%
2017-10-31,2.5%
2017-11-14,2.5%
2017-12-07,2.6%
2018-01-30,2.7%
2018-02-14,2.7%
2018-03-07,2.7%
2018-05-02,2.5%
2018-05-15,2.5%
2018-06-07,2.5%
2018-07-31,2.1%
2018-08-14,2.2%
2018-09-07,2.1%
2018-10-30,1.7%
2018-11-14,1.7%
2018-12-07,1.6%
2019-01-31,1.2%
2019-02-14,1.2%
2019-03-07,1.1%
2019-04-30,1.2%
2019-05-15,1.2%
2019-06-06,1.2%
2019-07-31,1.1%
2019-08-14,1.1%
2019-09-06,1.2%
2019-10-31,1.1%
2019-11-14,1.2%
2019-12-05,1.2%
2020-01-31,1.0%
2020-02-14,0.9%
2020-03-10,1.0%
2020-05-15,-3.2%
2020-06-09,-3.1%
2020-07-31,-15.0%
2020-08-14,-15.0%
