Date,Value
2008-02-22,52.3
2008-03-03,52.3
2008-03-20,52.0
2008-04-01,52.0
2008-04-23,51.8
2008-05-02,50.7
2008-05-23,50.5
2008-06-02,50.6
2008-06-23,49.1
2008-07-01,49.2
2008-07-24,47.5
2008-08-01,47.4
2008-08-21,47.5
2008-09-01,47.6
2008-09-23,45.3
2008-10-01,45.0
2008-10-24,41.3
2008-11-03,38.9
2008-11-21,36.2
2008-12-01,35.6
2008-12-16,34.5
2009-01-02,33.9
2009-01-23,34.5
2009-02-02,34.4
2009-02-20,33.6
2009-03-02,33.5
2009-03-24,34.0
2009-04-01,33.9
2009-04-23,36.7
2009-05-04,36.8
2009-05-21,40.5
2009-06-01,40.7
2009-06-23,42.4
2009-07-01,42.6
2009-07-24,46.0
2009-08-03,46.3
2009-08-21,47.9
2009-09-01,48.2
2009-09-23,49.0
2009-10-01,49.3
2009-10-23,50.7
2009-11-02,50.7
2009-11-23,51.0
2009-12-01,51.2
2009-12-16,51.6
2010-01-04,51.6
2010-01-21,52.0
2010-02-01,52.4
2010-02-19,54.1
2010-03-01,54.2
2010-03-24,56.3
2010-04-01,56.6
2010-04-22,57.5
2010-05-03,57.6
2010-05-21,55.9
2010-06-01,55.8
2010-06-23,55.6
2010-07-01,55.6
2010-07-22,56.5
2010-08-02,56.7
2010-08-23,55.0
2010-09-01,55.1
2010-09-23,53.6
2010-10-01,53.7
2010-10-21,54.1
2010-11-02,54.6
2010-11-23,55.5
2010-12-01,55.3
2010-12-16,56.8
2011-01-03,57.1
2011-01-24,56.9
2011-02-01,57.3
2011-02-21,59.0
2011-03-01,59.0
2011-03-24,57.7
2011-04-01,57.5
2011-04-19,57.7
2011-05-02,58.0
2011-05-23,54.8
2011-06-01,54.6
2011-06-23,52.0
2011-07-01,52.0
2011-07-21,50.4
2011-08-01,50.4
2011-08-23,49.7
2011-09-01,49.0
2011-09-22,48.4
2011-10-03,48.5
2011-10-24,47.3
2011-11-02,47.1
2011-11-23,46.4
2011-12-01,46.4
2011-12-15,46.9
2012-01-02,46.9
2012-01-24,48.7
2012-02-01,48.8
2012-02-22,49.0
2012-03-01,49.0
2012-03-22,47.7
2012-04-02,47.7
2012-04-23,46.0
2012-05-02,45.9
2012-05-24,45.0
2012-06-01,45.1
2012-06-21,44.8
2012-07-02,45.1
2012-07-24,44.1
2012-08-01,44.0
2012-08-23,45.3
2012-09-03,45.1
2012-09-20,46.0
2012-10-01,46.1
2012-10-24,45.3
2012-11-02,45.4
2012-11-22,46.2
